# File: A00.india_state_laborforce.csv
# Title: Estimated labour force projections
# Units: NA
# Description: Estimated to correct the trajectory of GDP growth rates
# Column types: cin
# ----------
region,year,laborforce
GA,2050,0.420093162
GA,2055,0.420093162
GA,2060,0.420093162
GA,2065,0.420093162
GA,2070,0.420093162
GA,2075,0.420093162
GA,2080,0.420093162
GA,2085,0.420093162
GA,2090,0.420093162
GA,2095,0.420093162
GA,2100,0.420093162
GJ,1975,0.5
GJ,1990,0.5
GJ,2005,0.5
GJ,2010,0.320624844
GJ,2015,0.357825159
GJ,2020,0.357825159
GJ,2025,0.357825159
GJ,2030,0.357825159
GJ,2035,0.357825159
GJ,2040,0.357825159
GJ,2045,0.357825159
GJ,2050,0.357825159
GJ,2055,0.357825159
GJ,2060,0.357825159
GJ,2065,0.357825159
GJ,2070,0.357825159
GJ,2075,0.357825159
GJ,2080,0.357825159
GJ,2085,0.357825159
GJ,2090,0.357825159
GJ,2095,0.357825159
GJ,2100,0.357825159
HP,1975,0.5
HP,1990,0.5
HP,2005,0.5
HP,2010,0.420839831
HP,2015,0.441188046
HP,2020,0.441188046
HP,2025,0.441188046
HP,2030,0.441188046
HP,2035,0.441188046
HP,2040,0.441188046
HP,2045,0.441188046
HP,2050,0.441188046
HP,2055,0.441188046
HP,2060,0.441188046
HP,2065,0.441188046
HP,2070,0.441188046
HP,2075,0.441188046
HP,2080,0.441188046
HP,2085,0.441188046
HP,2090,0.441188046
HP,2095,0.441188046
HP,2100,0.441188046
HR,1975,0.5
HR,1990,0.5
HR,2005,0.5
HR,2010,0.309187326
HR,2015,0.320131008
HR,2020,0.320131008
HR,2025,0.320131008
HR,2030,0.320131008
HR,2035,0.320131008
HR,2040,0.320131008
HR,2045,0.320131008
HR,2050,0.320131008
HR,2055,0.320131008
HR,2060,0.320131008
HR,2065,0.320131008
HR,2070,0.320131008
HR,2075,0.320131008
HR,2080,0.320131008
HR,2085,0.320131008
HR,2090,0.320131008
HR,2095,0.320131008
HR,2100,0.320131008
JH,1975,0.5
JH,1990,0.5
JH,2005,0.5
JH,2010,0.373388597
JH,2015,0.37934104
JH,2020,0.37934104
JH,2025,0.37934104
JH,2030,0.37934104
JH,2035,0.37934104
JH,2040,0.37934104
JH,2045,0.37934104
JH,2050,0.37934104
JH,2055,0.37934104
JH,2060,0.37934104
JH,2065,0.37934104
JH,2070,0.37934104
JH,2075,0.37934104
JH,2080,0.37934104
JH,2085,0.37934104
JH,2090,0.37934104
JH,2095,0.37934104
JH,2100,0.37934104
JK,1975,0.5
JK,1990,0.5
JK,2005,0.5
JK,2010,0.358458755
JK,2015,0.312489401
JK,2020,0.312489401
JK,2025,0.312489401
JK,2030,0.312489401
JK,2035,0.312489401
JK,2040,0.312489401
JK,2045,0.312489401
JK,2050,0.312489401
JK,2055,0.312489401
JK,2060,0.312489401
JK,2065,0.312489401
JK,2070,0.312489401
JK,2075,0.312489401
JK,2080,0.312489401
JK,2085,0.312489401
JK,2090,0.312489401
JK,2095,0.312489401
JK,2100,0.312489401
KA,1975,0.5
KA,1990,0.5
KA,2005,0.5
KA,2010,0.365556526
KA,2015,0.379511382
KA,2020,0.379511382
KA,2025,0.379511382
KA,2030,0.379511382
KA,2035,0.379511382
KA,2040,0.379511382
KA,2045,0.379511382
KA,2050,0.379511382
KA,2055,0.379511382
KA,2060,0.379511382
KA,2065,0.379511382
KA,2070,0.379511382
KA,2075,0.379511382
KA,2080,0.379511382
KA,2085,0.379511382
KA,2090,0.379511382
KA,2095,0.379511382
KA,2100,0.379511382
KL,1975,0.5
KL,1990,0.5
KL,2005,0.5
KL,2010,0.566306964
KL,2015,0.557011418
KL,2020,0.557011418
KL,2025,0.557011418
KL,2030,0.557011418
KL,2035,0.557011418
KL,2040,0.557011418
KL,2045,0.557011418
KL,2050,0.557011418
KL,2055,0.557011418
KL,2060,0.557011418
KL,2065,0.557011418
KL,2070,0.557011418
KL,2075,0.557011418
KL,2080,0.557011418
KL,2085,0.557011418
KL,2090,0.557011418
KL,2095,0.557011418
KL,2100,0.557011418
LA,1975,0.5
LA,1990,0.5
LA,2005,0.5
LA,2010,0.663495473
LA,2015,0.512453974
LA,2020,0.512453974
LA,2025,0.512453974
LA,2030,0.512453974
LA,2035,0.512453974
LA,2040,0.512453974
LA,2045,0.512453974
LA,2050,0.512453974
LA,2055,0.512453974
LA,2060,0.512453974
LA,2065,0.512453974
LA,2070,0.512453974
LA,2075,0.512453974
LA,2080,0.512453974
LA,2085,0.512453974
LA,2090,0.512453974
LA,2095,0.512453974
LA,2100,0.512453974
LD,1975,0.5
LD,1990,0.5
LD,2005,0.5
LD,2010,0.149459962
LD,2015,0.115436132
LD,2020,0.115436132
LD,2025,0.115436132
LD,2030,0.115436132
LD,2035,0.115436132
LD,2040,0.115436132
LD,2045,0.115436132
LD,2050,0.115436132
LD,2055,0.115436132
LD,2060,0.115436132
LD,2065,0.115436132
LD,2070,0.115436132
LD,2075,0.115436132
LD,2080,0.115436132
LD,2085,0.115436132
LD,2090,0.115436132
LD,2095,0.115436132
LD,2100,0.115436132
MH,1975,0.5
MH,1990,0.5
MH,2005,0.5
MH,2010,0.379240015
MH,2015,0.380884734
MH,2020,0.380884734
MH,2025,0.380884734
MH,2030,0.380884734
