# File: A44.india_state_subregional_pop_share.csv
# Title: Subregional pop share
# Units: Share
# Source: Census of India
# Column types: ccnnnnnnnnnnnnnnnnnnnnnn
# ----------
CG,resid urban,0.232439978,0.232439978,0.232439978,0.232439978,0.248739618,0.264808599,0.280766396,0.296708335,0.306320248,0.327094032,0.358493441,0.391328868,0.405689043,0.420049219,0.434409394,0.44876957,0.463129745,0.47748992,0.491850096,0.506210271,0.520570447,0.534930622
DN,resid urban,0.466168675,0.466168675,0.466168675,0.466168675,0.584070796,0.671052632,0.733253589,0.777589134,0.806811509,0.8568,0.9416,1,1,1,1,1,1,1,1,1,1,1
DD,resid urban,0.751628205,0.751628205,0.751628205,0.751628205,0.872340426,0.940298507,0.973049645,0.986807388,0.992889792,1,1,1,1,1,1,1,1,1,1,1,1,1
DL,resid urban,0.974972717,0.974972717,0.974972717,0.974972717,0.986079135,0.993534588,0.998003549,0.99995927,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GA,resid urban,0.621729972,0.621729972,0.621729972,0.621729972,0.680555556,0.736369468,0.789243277,0.838334354,0.88214071,0.940102695,1,1,1,1,1,1,1,1,1,1,1,1
GJ,resid urban,0.425819417,0.425819417,0.425819417,0.425819417,0.452085699,0.477374334,0.502011176,0.526132091,0.549916376,0.590078935,0.649598224,0.7056,0.72912017,0.747446721,0.766287202,0.785656022,0.8,0.8,0.8,0.8,0.8,0.8
HR,resid urban,0.34794986,0.34794986,0.34794986,0.34794986,0.379348024,0.409184954,0.438448513,0.467340497,0.495923874,0.534747931,0.591283584,0.650653118,0.674040999,0.698370445,0.723679362,0.750007183,0.784712834,0.8,0.8,0.8,0.8,0.8
HP,resid urban,0.100450044,0.100450044,0.100450044,0.100450044,0.101424979,0.102650798,0.103839557,0.10503112,0.106229929,0.11100418,0.119225098,0.127705785,0.130303483,0.132901181,0.135498879,0.138096576,0.140694274,0.143291972,0.145889669,0.148487367,0.151085065,0.153682763
JK,resid urban,0.271309732,0.271309732,0.271309732,0.271309732,0.287508723,0.300268496,0.313111687,0.326161131,0.339391063,0.355642047,0.383002524,0.411290762,0.420568372,0.429845983,0.439123593,0.448401204,0.457678814,0.466956425,0.476234036,0.485511646,0.494789257,0.504066867
JH,resid urban,0.240529891,0.240529891,0.240529891,0.240529891,0.24952514,0.258324452,0.266907564,0.275382443,0.28382239,0.297045081,0.319522271,0.342739289,0.350137567,0.357535845,0.364934123,0.3723324,0.379730678,0.387128956,0.394527234,0.401925511,0.409323789,0.416722067
KA,resid urban,0.38569959,0.38569959,0.38569959,0.38569959,0.410608915,0.434497719,0.458513384,0.482803035,0.507463724,0.545882616,0.602296951,0.6552,0.678147123,0.695993532,0.714363828,0.733273386,0.752738038,0.772774078,0.793398281,0.8,0.8,0.8
KL,resid urban,0.477190977,0.477190977,0.477190977,0.477190977,0.595812366,0.710079179,0.813792913,0.900694918,0.964302146,1,1,1,1,1,1,1,1,1,1,1,1,1
LA,resid urban,0.342140149,0.342140149,0.342140149,0.342140149,0.261324042,0.296296296,0.331147541,0.368589744,0.408227848,0.4488,0.5,0.5,0.505,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51
LD,resid urban,0.780829688,0.780829688,0.780829688,0.780829688,0.895522388,0.970588235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MP,resid urban,0.276299388,0.276299388,0.276299388,0.276299388,0.282135878,0.2877325,0.293198622,0.298595532,0.303975298,0.316671781,0.339284383,0.362717922,0.369629419,0.376688417,0.383898064,0.391261573,0.39878223,0.406463387,0.41430847,0.422320978,0.430504483,0.438862634
MH,resid urban,0.452309969,0.452309969,0.452309969,0.452309969,0.466128176,0.479841205,0.493465215,0.507084997,0.520787634,0.56,0.6,0.655,0.68,0.7,0.72,0.74,0.755,0.76,0.77,0.78,0.79,0.793303474
MN,resid urban,0.30206,0.30206,0.30206,0.30206,0.305444887,0.318799368,0.332225914,0.345528455,0.359075536,0.3774,0.4,0.4,0.405,0.41,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415
ML,resid urban,0.200750172,0.200750172,0.200750172,0.200750172,0.203259827,0.205596107,0.207848837,0.210173281,0.21269669,0.219877499,0.233726157,0.247861764,0.250731249,0.253600735,0.25647022,0.259339705,0.262209191,0.265078676,0.267948161,0.270817647,0.273687132,0.276556618
MZ,resid urban,0.515100372,0.515100372,0.515100372,0.515100372,0.533275713,0.545230263,0.557389937,0.569160998,0.580337491,0.6018,0.642,0.6832,0.6932,0.7032,0.7132,0.7232,0.7332,0.7432,0.7532,0.7632,0.7732,0.7732
NL,resid urban,0.289679798,0.289679798,0.289679798,0.289679798,0.35810163,0.429288321,0.501307759,0.572925398,0.643205858,0.6834,0.7,0.7,0.705,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
OD,resid urban,0.166780037,0.166780037,0.166780037,0.166780037,0.175802263,0.185043036,0.194641538,0.204630288,0.21514714,0.238566105,0.270313603,0.30393522,0.320272589,0.33759352,0.355957225,0.375426483,0.396067851,0.417951894,0.441153426,0.465751762,0.491830996,0.519480281
PC,resid urban,0.683120393,0.683120393,0.683120393,0.683120393,0.691868759,0.698917887,0.706317587,0.712391637,0.717948718,0.73746,0.77896,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
PB,resid urban,0.37493888,0.37493888,0.37493888,0.37493888,0.392930679,0.410989156,0.429178108,0.447533269,0.466256354,0.501605976,0.553494712,0.607934867,0.625825997,0.644306835,0.663396817,0.683116023,0.70348519,0.724525743,0.746259811,0.768710253,0.791900681,0.8
RJ,resid urban,0.248910074,0.248910074,0.248910074,0.248910074,0.256101832,0.263291331,0.270378518,0.277437556,0.284498084,0.305074977,0.335646315,0.367677156,0.384314558,0.401795144,0.420161648,0.439458966,0.459734273,0.481037132,0.503419622,0.526936457,0.551645127,0.577606031
SK,resid urban,0.249680464,0.249680464,0.249680464,0.249680464,0.347826087,0.449039882,0.552259887,0.652173913,0.74571805,0.7854,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
TN,resid urban,0.48448007,0.48448007,0.48448007,0.48448007,0.50587526,0.527918117,0.550241147,0.573012986,0.596333918,0.635685512,0.695615841,0.758234887,0.77431709,0.790399293,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
