# File: A44.india_state_in_EJ_comm_F_Uoth_Y.csv
# Title: State-wise apploth energy demand in India
# Units: EJ/yr
# Comments: commential apploth energy demand
# Source: Refer to India_bld disaggg
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
state,sector,fuel,service,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
HR,comm,electricity,comm lighting,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255,0.00255
JH,comm,electricity,comm lighting,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042
JK,comm,electricity,comm lighting,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105
KA,comm,electricity,comm lighting,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585,0.00585
KL,comm,electricity,comm lighting,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265
LA,comm,electricity,comm lighting,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
LD,comm,electricity,comm lighting,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
MH,comm,electricity,comm lighting,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331
ML,comm,electricity,comm lighting,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165
MN,comm,electricity,comm lighting,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014
MP,comm,electricity,comm lighting,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007
