# File: A44.india_state_subregional_income_share.csv
# Title: Subregional income share
# Units: Share
# Source: Same as pop share
# Column types: ccnnnnnnnnnnnnnnnnnnnnnn
# ----------
CH,resid urban,0.990849057,0.990849057,0.990849057,0.990853074,0.996159772,0.998872738,0.998849714,0.998825729,0.998800723,0.998774628,0.998747373,0.998718878,0.998689056,0.998657813,0.998625044,0.998590635,0.99855446,0.998516378,0.998476236,0.998433862,0.998389063,0.998341625
CG,resid urban,0.506042693,0.506042693,0.506042693,0.506005439,0.522594019,0.537714798,0.551696336,0.564757779,0.569751884,0.586837155,0.613893456,0.64026428,0.647548117,0.654428248,0.660926183,0.667060846,0.672848751,0.678304135,0.68343905,0.688263415,0.692785023,0.697009512
DN,resid urban,0.76663249,0.76663249,0.76663249,0.767962806,0.837271928,0.87915292,0.905067589,0.921773748,0.931819079,0.94998603,0.980239823,0.979603754,0.978925373,0.978200313,0.977423586,0.976589463,0.97569134,0.974721556,0.973671179,0.972529726,0.971284816,0.969921714
DD,resid urban,0.92313275,0.92313275,0.92313275,0.923686278,0.963464347,0.983349551,0.99244924,0.996228132,0.997911494,0.997842689,0.997769196,0.997690518,0.997606089,0.997515252,0.997417249,0.997311198,0.997196065,0.997070631,0.996933449,0.996782788,0.996616557,0.996432212
DL,resid urban,0.987454179,0.987454179,0.987454179,0.987489199,0.99305722,0.996785868,0.999009194,0.999008637,0.99900808,0.999007522,0.999006963,0.999006404,0.999005844,0.999005284,0.999004723,0.999004161,0.999003599,0.999003036,0.999002472,0.999001908,0.999001343,0.999000777
GA,resid urban,0.73702016,0.73702016,0.73702016,0.736961396,0.781764731,0.822394117,0.859537125,0.893058355,0.922336657,0.96083377,0.960255161,0.959659201,0.959045095,0.958412004,0.957759032,0.957085228,0.95638958,0.955671008,0.954928358,0.954160402,0.953365821,0.952543209
GJ,resid urban,0.59659328,0.59659328,0.59659328,0.596731283,0.617044505,0.635829267,0.653407431,0.670019989,0.685921237,0.715383726,0.759638336,0.799469739,0.813644909,0.823890293,0.834636727,0.845939398,0.85351925,0.84988295,0.846061515,0.842040439,0.837803657,0.833333333
HR,resid urban,0.628123364,0.628123364,0.628123364,0.628980328,0.654585411,0.67768144,0.698771857,0.718303723,0.736538844,0.761429271,0.796895072,0.831385459,0.842285021,0.85358173,0.865315978,0.877534151,0.894400448,0.900356654,0.897717513,0.894934769,0.891996373,0.888888889
HP,resid urban,0.203079186,0.203079186,0.203079186,0.20292536,0.203703488,0.204750222,0.20570495,0.206638608,0.207558869,0.214582496,0.227238116,0.239974253,0.242872856,0.245713189,0.248495992,0.251221972,0.253891815,0.256506181,0.259065702,0.26157099,0.264022629,0.266421182
JK,resid urban,0.51913355,0.51913355,0.51913355,0.523524361,0.534858102,0.545736874,0.556225208,0.56648538,0.576502217,0.589299222,0.61281601,0.635888045,0.640044611,0.644032059,0.647854793,0.651516736,0.655021334,0.658371566,0.661569938,0.664618491,0.667518783,0.670271885
