# File: A44.india_state_in_EJ_comm_F_hvac_Y.csv
# Title: State-wise hvac energy demand in India
# Units: EJ/yr
# Comments: commential hvac energy demand
# Source: Refer to India_bld disaggg
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
state,sector,fuel,service,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
HR,comm,electricity,comm hvac,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562,0.00562
JH,comm,electricity,comm hvac,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093
JK,comm,electricity,comm hvac,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231,0.00231
KA,comm,electricity,comm hvac,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288
KL,comm,electricity,comm hvac,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582
LA,comm,electricity,comm hvac,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005
LD,comm,electricity,comm hvac,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
MH,comm,electricity,comm hvac,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728
ML,comm,electricity,comm hvac,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564,0.02564
MN,comm,electricity,comm hvac,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031
