# File: A23.india_state_stubtech_LT.csv
# Title: Lifetime of all techs
# Units: years
# Column types: ccccnn
# ----------
region,supplysector,subsector,stub.technology,year,lifetime
India,electricity,coal,coal (IGCC CCS),2050,50
India,electricity,coal,coal (IGCC),2050,50
India,electricity,solar,CSP_storage,2050,25
India,electricity,gas,gas (CC CCS),2050,50
India,electricity,gas,gas (CC),2050,50
India,electricity,gas,gas (steam/CT),2050,50
India,electricity,geothermal,geothermal,2050,50
India,electricity,solar,PV_storage,2050,25
India,electricity,refined liquids,refined liquids (CC CCS),2050,50
India,electricity,refined liquids,refined liquids (CC),2050,50
India,electricity,refined liquids,refined liquids (steam/CT),2050,50
India,electricity,wind,wind_storage,2050,25
India,electricity,biomass,biomass (conv CCS),2055,50
India,electricity,biomass,biomass (conv),2055,50
India,electricity,biomass,biomass (IGCC CCS),2055,50
India,electricity,biomass,biomass (IGCC),2055,50
India,electricity,coal,coal (conv pul CCS),2055,50
India,electricity,coal,coal (conv pul),2055,50
India,electricity,coal,coal (IGCC CCS),2055,50
India,electricity,coal,coal (IGCC),2055,50
India,electricity,solar,CSP_storage,2055,25
India,electricity,gas,gas (CC CCS),2055,50
India,electricity,gas,gas (CC),2055,50
India,electricity,gas,gas (steam/CT),2055,50
India,electricity,geothermal,geothermal,2055,50
India,electricity,solar,PV_storage,2055,25
India,electricity,refined liquids,refined liquids (CC CCS),2055,50
India,electricity,refined liquids,refined liquids (CC),2055,50
India,electricity,refined liquids,refined liquids (steam/CT),2055,50
India,electricity,wind,wind_storage,2055,25
India,electricity,biomass,biomass (conv CCS),2060,50
India,electricity,biomass,biomass (conv),2060,50
India,electricity,biomass,biomass (IGCC CCS),2060,50
India,electricity,biomass,biomass (IGCC),2060,50
India,electricity,coal,coal (conv pul CCS),2060,50
India,electricity,coal,coal (conv pul),2060,50
India,electricity,coal,coal (IGCC CCS),2060,50
India,electricity,coal,coal (IGCC),2060,50
India,electricity,solar,CSP_storage,2060,25
India,electricity,gas,gas (CC CCS),2060,50
India,electricity,gas,gas (CC),2060,50
India,electricity,gas,gas (steam/CT),2060,50
India,electricity,geothermal,geothermal,2060,50
India,electricity,solar,PV_storage,2060,25
India,electricity,refined liquids,refined liquids (CC CCS),2060,50
India,electricity,refined liquids,refined liquids (CC),2060,50
India,electricity,refined liquids,refined liquids (steam/CT),2060,50
India,electricity,wind,wind_storage,2060,25
India,electricity,biomass,biomass (conv CCS),2065,50
India,electricity,biomass,biomass (conv),2065,50
India,electricity,biomass,biomass (IGCC CCS),2065,50
India,electricity,biomass,biomass (IGCC),2065,50
India,electricity,coal,coal (conv pul CCS),2065,50
India,electricity,coal,coal (conv pul),2065,50
