# File: A10.EB_trn_SecFuel_mtoe.csv
# Title: Database of fuel consumption across transport sector
# Units: Energy units in mtoe
# Source:  GHG platform
# Column types: cccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
State,GHG_Platform_sectors,GHG_Platform_fuels,sector,fuel,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
GA,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.007458397,0.008123882,0.010639954,0.011801778,0.012062075,0.012295718
GJ,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011871277,0.011282503,0.012117627,0.013499802,0.015259274,0.017636282
HP,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000663574,0.000652812,0.000681261,0.000719983,0.000803242,0.000794875
HR,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001308567,0.001725941,0.001945121,0.002542648,0.003401693,0.003104979
JH,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.00090131,0.001201385,0.001263098,0.001878406,0.002462724,0.002334944
JK,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004476514,0.004543504,0.00510033,0.004960912,0.004940185,0.00447117
KA,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.037479576,0.038970809,0.042493364,0.044729238,0.043895747,0.042028998
KL,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.029680102,0.028863272,0.031561731,0.03423117,0.036332035,0.03730943
LA,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MH,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.125631808,0.123536619,0.126439685,0.132256921,0.136418019,0.135327413
