# File: A44.india_state_in_EJ_res_F_lighting_Y.csv
# Title: State-wise lighting energy demand in India
# Units: EJ/yr
# Comments: Residential lighting energy demand
# Source: Refer to India_bld disaggg
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
state,sector,fuel,service,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
GJ,resid rural,electricity,resid rural lighting,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352
HP,resid rural,electricity,resid rural lighting,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069
HR,resid rural,electricity,resid rural lighting,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156
JH,resid rural,electricity,resid rural lighting,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171,0.00171
JK,resid rural,electricity,resid rural lighting,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079
KA,resid rural,electricity,resid rural lighting,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413
KL,resid rural,electricity,resid rural lighting,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215,0.00215
LA,resid rural,electricity,resid rural lighting,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
LD,resid rural,electricity,resid rural lighting,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005
MH,resid rural,electricity,resid rural lighting,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664
ML,resid rural,electricity,resid rural lighting,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
MN,resid rural,electricity,resid rural lighting,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018
MP,resid rural,electricity,resid rural lighting,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509,0.00509
MZ,resid rural,electricity,resid rural lighting,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005
NL,resid rural,electricity,resid rural lighting,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015
OD,resid rural,electricity,resid rural lighting,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318,0.00318
PB,resid rural,electricity,resid rural lighting,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177
PC,resid rural,electricity,resid rural lighting,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005
RJ,resid rural,electricity,resid rural lighting,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412,0.00412
SK,resid rural,electricity,resid rural lighting,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005
TN,resid rural,electricity,resid rural lighting,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499
