# File: A44.india_state_Floorspace.csv
# Title:Flrspc
# Units: billion m2
# Column types: ccccnn
# ----------
region,gcam.consumer,nodeInput,building.node.input,year,base.building.size
AR,resid rural,resid rural,resid rural_building,2050,0.488470968
AR,resid rural,resid rural,resid rural_building,2055,0.494483871
AR,resid rural,resid rural,resid rural_building,2060,0.49623871
AR,resid rural,resid rural,resid rural_building,2065,0.509696774
AR,resid rural,resid rural,resid rural_building,2070,0.516206452
AR,resid rural,resid rural,resid rural_building,2075,0.511277419
AR,resid rural,resid rural,resid rural_building,2080,0.496309677
AR,resid rural,resid rural,resid rural_building,2085,0.480258065
AR,resid rural,resid rural,resid rural_building,2090,0.460496774
AR,resid rural,resid rural,resid rural_building,2095,0.438625806
AR,resid rural,resid rural,resid rural_building,2100,0.415854839
AR,resid urban,resid urban,resid urban_building,2015,0.175582258
AR,resid urban,resid urban,resid urban_building,2020,0.218273226
AR,resid urban,resid urban,resid urban_building,2025,0.272133871
AR,resid urban,resid urban,resid urban_building,2030,0.338141935
AR,resid urban,resid urban,resid urban_building,2035,0.418203226
AR,resid urban,resid urban,resid urban_building,2040,0.50976129
AR,resid urban,resid urban,resid urban_building,2045,0.61436129
AR,resid urban,resid urban,resid urban_building,2050,0.724883871
AR,resid urban,resid urban,resid urban_building,2055,0.844070968
AR,resid urban,resid urban,resid urban_building,2060,0.969683871
AR,resid urban,resid urban,resid urban_building,2065,1.072616129
AR,resid urban,resid urban,resid urban_building,2070,1.163229032
AR,resid urban,resid urban,resid urban_building,2075,1.2296
AR,resid urban,resid urban,resid urban_building,2080,1.2786
AR,resid urban,resid urban,resid urban_building,2085,1.31913871
AR,resid urban,resid urban,resid urban_building,2090,1.353267742
AR,resid urban,resid urban,resid urban_building,2095,1.377764516
AR,resid urban,resid urban,resid urban_building,2100,1.396648387
AR,comm,comm,comm_building,2015,0.027809581
AR,comm,comm,comm_building,2020,0.038195161
AR,comm,comm,comm_building,2025,0.052202258
AR,comm,comm,comm_building,2030,0.071305161
AR,comm,comm,comm_building,2035,0.095486129
AR,comm,comm,comm_building,2040,0.126773548
AR,comm,comm,comm_building,2045,0.163755161
AR,comm,comm,comm_building,2050,0.206638065
AR,comm,comm,comm_building,2055,0.250244516
AR,comm,comm,comm_building,2060,0.300224516
AR,comm,comm,comm_building,2065,0.352758065
AR,comm,comm,comm_building,2070,0.403906452
AR,comm,comm,comm_building,2075,0.443496774
AR,comm,comm,comm_building,2080,0.471303226
AR,comm,comm,comm_building,2085,0.498319355
AR,comm,comm,comm_building,2090,0.522551613
AR,comm,comm,comm_building,2095,0.543041935
AR,comm,comm,comm_building,2100,0.559835484
AS,resid rural,resid rural,resid rural_building,2015,0.307122903
AS,resid rural,resid rural,resid rural_building,2020,0.341870968
AS,resid rural,resid rural,resid rural_building,2025,0.363151613
AS,resid rural,resid rural,resid rural_building,2030,0.386648387
AS,resid rural,resid rural,resid rural_building,2035,0.409619355
AS,resid rural,resid rural,resid rural_building,2040,0.438270968
AS,resid rural,resid rural,resid rural_building,2045,0.463454839
AS,resid rural,resid rural,resid rural_building,2050,0.488470968
AS,resid rural,resid rural,resid rural_building,2055,0.494483871
AS,resid rural,resid rural,resid rural_building,2060,0.49623871
AS,resid rural,resid rural,resid rural_building,2065,0.509696774
AS,resid rural,resid rural,resid rural_building,2070,0.516206452
AS,resid rural,resid rural,resid rural_building,2075,0.511277419
AS,resid rural,resid rural,resid rural_building,2080,0.496309677
AS,resid rural,resid rural,resid rural_building,2085,0.480258065
AS,resid rural,resid rural,resid rural_building,2090,0.460496774
AS,resid rural,resid rural,resid rural_building,2095,0.438625806
AS,resid rural,resid rural,resid rural_building,2100,0.415854839
AS,resid urban,resid urban,resid urban_building,2015,0.175582258
AS,resid urban,resid urban,resid urban_building,2020,0.218273226
AS,resid urban,resid urban,resid urban_building,2025,0.272133871
AS,resid urban,resid urban,resid urban_building,2030,0.338141935
AS,resid urban,resid urban,resid urban_building,2035,0.418203226
AS,resid urban,resid urban,resid urban_building,2040,0.50976129
AS,resid urban,resid urban,resid urban_building,2045,0.61436129
AS,resid urban,resid urban,resid urban_building,2050,0.724883871
AS,resid urban,resid urban,resid urban_building,2055,0.844070968
AS,resid urban,resid urban,resid urban_building,2060,0.969683871
AS,resid urban,resid urban,resid urban_building,2065,1.072616129
AS,resid urban,resid urban,resid urban_building,2070,1.163229032
AS,resid urban,resid urban,resid urban_building,2075,1.2296
AS,resid urban,resid urban,resid urban_building,2080,1.2786
AS,resid urban,resid urban,resid urban_building,2085,1.31913871
AS,resid urban,resid urban,resid urban_building,2090,1.353267742
AS,resid urban,resid urban,resid urban_building,2095,1.377764516
AS,resid urban,resid urban,resid urban_building,2100,1.396648387
AS,comm,comm,comm_building,2015,0.027809581
AS,comm,comm,comm_building,2020,0.038195161
AS,comm,comm,comm_building,2025,0.052202258
AS,comm,comm,comm_building,2030,0.071305161
AS,comm,comm,comm_building,2035,0.095486129
AS,comm,comm,comm_building,2040,0.126773548
AS,comm,comm,comm_building,2045,0.163755161
AS,comm,comm,comm_building,2050,0.206638065
AS,comm,comm,comm_building,2055,0.250244516
