# File: A54.india_state_StubTranTechCost.csv
# Title: Non-energy sub technology transport cost at state level
# Units: 1990$/vkm
# Column types: ccccnnnnnnnnnnnnnnnnnnn
# ----------
region,supplysector,tranSubsector,stub.technology,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
LA,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.51079294,0.526043128,0.541748624,0.557923022,0.574582652,0.591742071,0.609416272,0.627620699,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126
LD,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.481249059,0.495612929,0.510405519,0.525639623,0.541330751,0.557492613,0.57413933,0.59128545,0.608945952,0.608945952,0.608945952,0.608945952,0.608945952,0.608945952,0.608945952,0.608945952,0.608945952,0.608945952,0.608945952
MH,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.528973791,0.544769405,0.561036689,0.577789729,0.59504536,0.61281866,0.631125159,0.649980853,0.669402218,0.669402218,0.669402218,0.669402218,0.669402218,0.669402218,0.669402218,0.669402218,0.669402218,0.669402218,0.669402218
ML,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.497157303,0.511998421,0.527282576,0.543022992,0.559235621,0.575934629,0.593134607,0.610850584,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041
MN,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.488066878,0.502635283,0.517638543,0.533089638,0.549004267,0.565396334,0.582280163,0.599670507,0.617582562,0.617582562,0.617582562,0.617582562,0.617582562,0.617582562,0.617582562,0.617582562,0.617582562,0.617582562,0.617582562
MP,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.515338153,0.530724697,0.546570641,0.562889699,0.579698329,0.597011218,0.614843494,0.633210738,0.652128999,0.652128999,0.652128999,0.652128999,0.652128999,0.652128999,0.652128999,0.652128999,0.652128999,0.652128999,0.652128999
MZ,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.484430708,0.498890028,0.51378093,0.529116297,0.544911725,0.561181016,0.577938386,0.595198476,0.61297637,0.61297637,0.61297637,0.61297637,0.61297637,0.61297637,0.61297637,0.61297637,0.61297637,0.61297637,0.61297637
NL,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.49261209,0.507316852,0.522460559,0.538056315,0.554119944,0.570665481,0.587707385,0.605260546,0.623340301,0.623340301,0.623340301,0.623340301,0.623340301,0.623340301,0.623340301,0.623340301,0.623340301,0.623340301,0.623340301
OD,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.497157303,0.511998421,0.527282576,0.543022992,0.559235621,0.575934629,0.593134607,0.610850584,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041
PB,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.51079294,0.526043128,0.541748624,0.557923022,0.574582652,0.591742071,0.609416272,0.627620699,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126
PC,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.478976453,0.493272145,0.50799451,0.523156285,0.538772913,0.554858039,0.57142572,0.58849043,0.606067082,0.606067082,0.606067082,0.606067082,0.606067082,0.606067082,0.606067082,0.606067082,0.606067082,0.606067082,0.606067082
RJ,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.515338153,0.530724697,0.546570641,0.562889699,0.579698329,0.597011218,0.614843494,0.633210738,0.652128999,0.652128999,0.652128999,0.652128999,0.652128999,0.652128999,0.652128999,0.652128999,0.652128999,0.652128999,0.652128999
SK,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.483521665,0.497953714,0.512816527,0.528122962,0.54388859,0.560127187,0.576852941,0.594080469,0.611824822,0.611824822,0.611824822,0.611824822,0.611824822,0.611824822,0.611824822,0.611824822,0.611824822,0.611824822,0.611824822
TN,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.515338153,0.530724697,0.546570641,0.562889699,0.579698329,0.597011218,0.614843494,0.633210738,0.652128999,0.652128999,0.652128999,0.652128999,0.652128999,0.652128999,0.652128999,0.652128999,0.652128999,0.652128999,0.652128999
TR,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.47443124,0.488590576,0.503172494,0.518189608,0.533657236,0.549588892,0.565998498,0.582900392,0.600309343,0.600309343,0.600309343,0.600309343,0.600309343,0.600309343,0.600309343,0.600309343,0.600309343,0.600309343,0.600309343
TS,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.524428578,0.540087836,0.556214673,0.572823052,0.589929683,0.607549513,0.625697937,0.644390815,0.663644478,0.663644478,0.663644478,0.663644478,0.663644478,0.663644478,0.663644478,0.663644478,0.663644478,0.663644478,0.663644478
UK,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.506247728,0.521361559,0.536926608,0.552956345,0.569466975,0.586472923,0.60398905,0.622030661,0.64061352,0.64061352,0.64061352,0.64061352,0.64061352,0.64061352,0.64061352,0.64061352,0.64061352,0.64061352,0.64061352
UP,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.506247728,0.521361559,0.536926608,0.552956345,0.569466975,0.586472923,0.60398905,0.622030661,0.64061352,0.64061352,0.64061352,0.64061352,0.64061352,0.64061352,0.64061352,0.64061352,0.64061352,0.64061352,0.64061352
WB,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.494884697,0.509657636,0.524871567,0.540539654,0.556677782,0.573300055,0.590420996,0.608055565,0.626219171,0.626219171,0.626219171,0.626219171,0.626219171,0.626219171,0.626219171,0.626219171,0.626219171,0.626219171,0.626219171
AN,trn_pass_road_LDV_4W,LDV_4W,Electric,1.417842202,1.10635556,0.863299614,0.67364078,0.552693598,0.511363571,0.49606533,0.486169029,0.480018167,0.474552678,0.469749981,0.465590306,0.462056559,0.459134203,0.456811161,0.455077727,0.453926507,0.453352358,0.453352358
AP,trn_pass_road_LDV_4W,LDV_4W,Electric,1.545562788,1.205977646,0.941004852,0.734250866,0.602393869,0.557336321,0.540658898,0.529870725,0.523164991,0.517206458,0.511970508,0.507435587,0.503583059,0.500397077,0.497864472,0.495974665,0.494719592,0.49409365,0.49409365
AR,trn_pass_road_LDV_4W,LDV_4W,Electric,1.420531057,1.108452867,0.864935513,0.674916782,0.55373992,0.512331419,0.497004142,0.487089065,0.480926521,0.475450652,0.470638834,0.466471259,0.462930801,0.460002895,0.457675441,0.455938716,0.454785309,0.45421007,0.45421007
AS,trn_pass_road_LDV_4W,LDV_4W,Electric,1.464897154,1.143058434,0.891927859,0.695970812,0.571004224,0.5283009,0.512494539,0.502269654,0.495914366,0.490267228,0.485304912,0.481006988,0.477355796,0.474336315,0.471936065,0.47014502,0.468955538,0.468362308,0.468362308
BR,trn_pass_road_LDV_4W,LDV_4W,Electric,1.50522997,1.174518039,0.916466355,0.715110839,0.586699046,0.542818611,0.526576718,0.51607019,0.509539678,0.503736843,0.49863771,0.494221288,0.490469427,0.487366696,0.484900268,0.483059842,0.481837565,0.481227979,0.481227979
CG,trn_pass_road_LDV_4W,LDV_4W,Electric,1.491785698,1.164031504,0.908286857,0.70873083,0.581467439,0.537979374,0.521882659,0.511470011,0.504997907,0.499246972,0.494193444,0.489816521,0.486098217,0.483023235,0.480578867,0.478754902,0.477543556,0.476939422,0.476939422
CH,trn_pass_road_LDV_4W,LDV_4W,Electric,1.464897154,1.143058434,0.891927859,0.695970812,0.571004224,0.5283009,0.512494539,0.502269654,0.495914366,0.490267228,0.485304912,0.481006988,0.477355796,0.474336315,0.471936065,0.47014502,0.468955538,0.468362308,0.468362308
DD,trn_pass_road_LDV_4W,LDV_4W,Electric,1.417842202,1.10635556,0.863299614,0.67364078,0.552693598,0.511363571,0.49606533,0.486169029,0.480018167,0.474552678,0.469749981,0.465590306,0.462056559,0.459134203,0.456811161,0.455077727,0.453926507,0.453352358,0.453352358
DL,trn_pass_road_LDV_4W,LDV_4W,Electric,1.451452882,1.132571898,0.88374836,0.689590803,0.565772617,0.523461663,0.50780048,0.497669476,0.491372595,0.485777357,0.480860646,0.476602222,0.472984585,0.469992854,0.467614664,0.465840079,0.464661529,0.464073751,0.464073751
DN,trn_pass_road_LDV_4W,LDV_4W,Electric,1.417842202,1.10635556,0.863299614,0.67364078,0.552693598,0.511363571,0.49606533,0.486169029,0.480018167,0.474552678,0.469749981,0.465590306,0.462056559,0.459134203,0.456811161,0.455077727,0.453926507,0.453352358,0.453352358
GA,trn_pass_road_LDV_4W,LDV_4W,Electric,1.50522997,1.174518039,0.916466355,0.715110839,0.586699046,0.542818611,0.526576718,0.51607019,0.509539678,0.503736843,0.49863771,0.494221288,0.490469427,0.487366696,0.484900268,0.483059842,0.481837565,0.481227979,0.481227979
GJ,trn_pass_road_LDV_4W,LDV_4W,Electric,1.464897154,1.143058434,0.891927859,0.695970812,0.571004224,0.5283009,0.512494539,0.502269654,0.495914366,0.490267228,0.485304912,0.481006988,0.477355796,0.474336315,0.471936065,0.47014502,0.468955538,0.468362308,0.468362308
HP,trn_pass_road_LDV_4W,LDV_4W,Electric,1.424564338,1.111598828,0.867389363,0.676830785,0.555309402,0.51378319,0.49841236,0.488469118,0.482289053,0.476797614,0.471972114,0.467792689,0.464242164,0.461305933,0.458971861,0.457230198,0.456073511,0.455496637,0.455496637
HR,trn_pass_road_LDV_4W,LDV_4W,Electric,1.451452882,1.132571898,0.88374836,0.689590803,0.565772617,0.523461663,0.50780048,0.497669476,0.491372595,0.485777357,0.480860646,0.476602222,0.472984585,0.469992854,0.467614664,0.465840079,0.464661529,0.464073751,0.464073751
JH,trn_pass_road_LDV_4W,LDV_4W,Electric,1.464897154,1.143058434,0.891927859,0.695970812,0.571004224,0.5283009,0.512494539,0.502269654,0.495914366,0.490267228,0.485304912,0.481006988,0.477355796,0.474336315,0.471936065,0.47014502,0.468955538,0.468362308,0.468362308
JK,trn_pass_road_LDV_4W,LDV_4W,Electric,1.50522997,1.174518039,0.916466355,0.715110839,0.586699046,0.542818611,0.526576718,0.51607019,0.509539678,0.503736843,0.49863771,0.494221288,0.490469427,0.487366696,0.484900268,0.483059842,0.481837565,0.481227979,0.481227979
KA,trn_pass_road_LDV_4W,LDV_4W,Electric,1.559007061,1.216464181,0.94918435,0.740630875,0.607625476,0.562175558,0.545352957,0.534470904,0.527706762,0.52169633,0.516414774,0.511840353,0.50795427,0.504740537,0.502185873,0.500279606,0.499013601,0.498382207,0.498382207
KL,trn_pass_road_LDV_4W,LDV_4W,Electric,1.50522997,1.174518039,0.916466355,0.715110839,0.586699046,0.542818611,0.526576718,0.51607019,0.509539678,0.503736843,0.49863771,0.494221288,0.490469427,0.487366696,0.484900268,0.483059842,0.481837565,0.481227979,0.481227979
LA,trn_pass_road_LDV_4W,LDV_4W,Electric,1.50522997,1.174518039,0.916466355,0.715110839,0.586699046,0.542818611,0.526576718,0.51607019,0.509539678,0.503736843,0.49863771,0.494221288,0.490469427,0.487366696,0.484900268,0.483059842,0.481837565,0.481227979,0.481227979
LD,trn_pass_road_LDV_4W,LDV_4W,Electric,1.417842202,1.10635556,0.863299614,0.67364078,0.552693598,0.511363571,0.49606533,0.486169029,0.480018167,0.474552678,0.469749981,0.465590306,0.462056559,0.459134203,0.456811161,0.455077727,0.453926507,0.453352358,0.453352358
MH,trn_pass_road_LDV_4W,LDV_4W,Electric,1.559007061,1.216464181,0.94918435,0.740630875,0.607625476,0.562175558,0.545352957,0.534470904,0.527706762,0.52169633,0.516414774,0.511840353,0.50795427,0.504740537,0.502185873,0.500279606,0.499013601,0.498382207,0.498382207
ML,trn_pass_road_LDV_4W,LDV_4W,Electric,1.464897154,1.143058434,0.891927859,0.695970812,0.571004224,0.5283009,0.512494539,0.502269654,0.495914366,0.490267228,0.485304912,0.481006988,0.477355796,0.474336315,0.471936065,0.47014502,0.468955538,0.468362308,0.468362308
MN,trn_pass_road_LDV_4W,LDV_4W,Electric,1.43800861,1.122085363,0.875568862,0.683210794,0.560541009,0.518622426,0.50310642,0.493069297,0.486830824,0.481287485,0.47641638,0.472197455,0.468613375,0.465649394,0.463293262,0.461535139,0.46036752,0.459785194,0.459785194
MP,trn_pass_road_LDV_4W,LDV_4W,Electric,1.518674243,1.185004575,0.924645854,0.721490848,0.591930654,0.547657847,0.531270778,0.520670368,0.514081449,0.508226715,0.503081976,0.498626054,0.494840638,0.491710156,0.48922167,0.487364783,0.486131574,0.485516536,0.485516536
MZ,trn_pass_road_LDV_4W,LDV_4W,Electric,1.427253193,1.113696135,0.869025263,0.678106787,0.556355724,0.514751037,0.499351172,0.489389154,0.483197407,0.477695588,0.472860967,0.468673642,0.465116406,0.462174626,0.459836142,0.458091186,0.456932313,0.456354348,0.456354348
NL,trn_pass_road_LDV_4W,LDV_4W,Electric,1.451452882,1.132571898,0.88374836,0.689590803,0.565772617,0.523461663,0.50780048,0.497669476,0.491372595,0.485777357,0.480860646,0.476602222,0.472984585,0.469992854,0.467614664,0.465840079,0.464661529,0.464073751,0.464073751
OD,trn_pass_road_LDV_4W,LDV_4W,Electric,1.464897154,1.143058434,0.891927859,0.695970812,0.571004224,0.5283009,0.512494539,0.502269654,0.495914366,0.490267228,0.485304912,0.481006988,0.477355796,0.474336315,0.471936065,0.47014502,0.468955538,0.468362308,0.468362308
PB,trn_pass_road_LDV_4W,LDV_4W,Electric,1.50522997,1.174518039,0.916466355,0.715110839,0.586699046,0.542818611,0.526576718,0.51607019,0.509539678,0.503736843,0.49863771,0.494221288,0.490469427,0.487366696,0.484900268,0.483059842,0.481837565,0.481227979,0.481227979
PC,trn_pass_road_LDV_4W,LDV_4W,Electric,1.411120067,1.101112293,0.859209864,0.670450776,0.550077795,0.508943953,0.4937183,0.48386894,0.477747282,0.472307742,0.467527848,0.463387922,0.459870953,0.456962473,0.45465046,0.452925257,0.451779503,0.45120808,0.45120808
RJ,trn_pass_road_LDV_4W,LDV_4W,Electric,1.518674243,1.185004575,0.924645854,0.721490848,0.591930654,0.547657847,0.531270778,0.520670368,0.514081449,0.508226715,0.503081976,0.498626054,0.494840638,0.491710156,0.48922167,0.487364783,0.486131574,0.485516536,0.485516536
SK,trn_pass_road_LDV_4W,LDV_4W,Electric,1.424564338,1.111598828,0.867389363,0.676830785,0.555309402,0.51378319,0.49841236,0.488469118,0.482289053,0.476797614,0.471972114,0.467792689,0.464242164,0.461305933,0.458971861,0.457230198,0.456073511,0.455496637,0.455496637
TN,trn_pass_road_LDV_4W,LDV_4W,Electric,1.518674243,1.185004575,0.924645854,0.721490848,0.591930654,0.547657847,0.531270778,0.520670368,0.514081449,0.508226715,0.503081976,0.498626054,0.494840638,0.491710156,0.48922167,0.487364783,0.486131574,0.485516536,0.485516536
TR,trn_pass_road_LDV_4W,LDV_4W,Electric,1.397675795,1.090625757,0.851030366,0.664070767,0.544846187,0.504104716,0.489024241,0.479268761,0.473205511,0.46781787,0.463083581,0.458983156,0.455499743,0.452619013,0.450329059,0.448620316,0.447485494,0.446919523,0.446919523
TS,trn_pass_road_LDV_4W,LDV_4W,Electric,1.545562788,1.205977646,0.941004852,0.734250866,0.602393869,0.557336321,0.540658898,0.529870725,0.523164991,0.517206458,0.511970508,0.507435587,0.503583059,0.500397077,0.497864472,0.495974665,0.494719592,0.49409365,0.49409365
UK,trn_pass_road_LDV_4W,LDV_4W,Electric,1.491785698,1.164031504,0.908286857,0.70873083,0.581467439,0.537979374,0.521882659,0.511470011,0.504997907,0.499246972,0.494193444,0.489816521,0.486098217,0.483023235,0.480578867,0.478754902,0.477543556,0.476939422,0.476939422
UP,trn_pass_road_LDV_4W,LDV_4W,Electric,1.491785698,1.164031504,0.908286857,0.70873083,0.581467439,0.537979374,0.521882659,0.511470011,0.504997907,0.499246972,0.494193444,0.489816521,0.486098217,0.483023235,0.480578867,0.478754902,0.477543556,0.476939422,0.476939422
WB,trn_pass_road_LDV_4W,LDV_4W,Electric,1.458175018,1.137815166,0.88783811,0.692780807,0.56838842,0.525881282,0.510147509,0.499969565,0.49364348,0.488022293,0.483082779,0.478804605,0.47517019,0.472164584,0.469775364,0.46799255,0.466808534,0.466218029,0.466218029
AN,trn_pass_road_LDV_4W,LDV_4W,NG,0.475121736,0.489445536,0.504201164,0.51940164,0.535062261,0.551196957,0.567820078,0.58494641,0.602591187,0.602591187,0.602591187,0.602591187,0.602591187,0.602591187,0.602591187,0.602591187,0.602591187,0.602591187,0.602591187
AP,trn_pass_road_LDV_4W,LDV_4W,NG,0.517796638,0.533412283,0.549498863,0.56607058,0.583143952,0.600734164,0.618856864,0.637528169,0.656764688,0.656764688,0.656764688,0.656764688,0.656764688,0.656764688,0.656764688,0.656764688,0.656764688,0.656764688,0.656764688
AR,trn_pass_road_LDV_4W,LDV_4W,NG,0.476020155,0.490371152,0.5051548,0.520384144,0.536074507,0.552239845,0.568894537,0.586053395,0.603731681,0.603731681,0.603731681,0.603731681,0.603731681,0.603731681,0.603731681,0.603731681,0.603731681,0.603731681,0.603731681
AS,trn_pass_road_LDV_4W,LDV_4W,NG,0.490844068,0.505643811,0.52088979,0.53659546,0.552776568,0.569447507,0.586623104,0.604318637,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845
BR,trn_pass_road_LDV_4W,LDV_4W,NG,0.504320353,0.519528047,0.535194327,0.55133302,0.56796026,0.585090836,0.602739984,0.620923403,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267
CG,trn_pass_road_LDV_4W,LDV_4W,NG,0.499828258,0.514899968,0.530426148,0.5464205,0.562899029,0.579876393,0.597367691,0.615388481,0.633954793,0.633954793,0.633954793,0.633954793,0.633954793,0.633954793,0.633954793,0.633954793,0.633954793,0.633954793,0.633954793
CH,trn_pass_road_LDV_4W,LDV_4W,NG,0.490844068,0.505643811,0.52088979,0.53659546,0.552776568,0.569447507,0.586623104,0.604318637,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845
DD,trn_pass_road_LDV_4W,LDV_4W,NG,0.475121736,0.489445536,0.504201164,0.51940164,0.535062261,0.551196957,0.567820078,0.58494641,0.602591187,0.602591187,0.602591187,0.602591187,0.602591187,0.602591187,0.602591187,0.602591187,0.602591187,0.602591187,0.602591187
DL,trn_pass_road_LDV_4W,LDV_4W,NG,0.486351973,0.501015733,0.516121611,0.53168294,0.547715338,0.564233064,0.581250811,0.598783715,0.616847371,0.616847371,0.616847371,0.616847371,0.616847371,0.616847371,0.616847371,0.616847371,0.616847371,0.616847371,0.616847371
DN,trn_pass_road_LDV_4W,LDV_4W,NG,0.475121736,0.489445536,0.504201164,0.51940164,0.535062261,0.551196957,0.567820078,0.58494641,0.602591187,0.602591187,0.602591187,0.602591187,0.602591187,0.602591187,0.602591187,0.602591187,0.602591187,0.602591187,0.602591187
GA,trn_pass_road_LDV_4W,LDV_4W,NG,0.504320353,0.519528047,0.535194327,0.55133302,0.56796026,0.585090836,0.602739984,0.620923403,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267
GJ,trn_pass_road_LDV_4W,LDV_4W,NG,0.490844068,0.505643811,0.52088979,0.53659546,0.552776568,0.569447507,0.586623104,0.604318637,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845
HP,trn_pass_road_LDV_4W,LDV_4W,NG,0.477367784,0.491759575,0.506585254,0.5218579,0.537592877,0.553804178,0.570506225,0.587713871,0.605442423,0.605442423,0.605442423,0.605442423,0.605442423,0.605442423,0.605442423,0.605442423,0.605442423,0.605442423,0.605442423
HR,trn_pass_road_LDV_4W,LDV_4W,NG,0.486351973,0.501015733,0.516121611,0.53168294,0.547715338,0.564233064,0.581250811,0.598783715,0.616847371,0.616847371,0.616847371,0.616847371,0.616847371,0.616847371,0.616847371,0.616847371,0.616847371,0.616847371,0.616847371
JH,trn_pass_road_LDV_4W,LDV_4W,NG,0.490844068,0.505643811,0.52088979,0.53659546,0.552776568,0.569447507,0.586623104,0.604318637,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845
JK,trn_pass_road_LDV_4W,LDV_4W,NG,0.504320353,0.519528047,0.535194327,0.55133302,0.56796026,0.585090836,0.602739984,0.620923403,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267
KA,trn_pass_road_LDV_4W,LDV_4W,NG,0.522288733,0.538040362,0.554267042,0.5709831,0.588205182,0.605948607,0.624229157,0.643063091,0.662467162,0.662467162,0.662467162,0.662467162,0.662467162,0.662467162,0.662467162,0.662467162,0.662467162,0.662467162,0.662467162
KL,trn_pass_road_LDV_4W,LDV_4W,NG,0.504320353,0.519528047,0.535194327,0.55133302,0.56796026,0.585090836,0.602739984,0.620923403,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267
LA,trn_pass_road_LDV_4W,LDV_4W,NG,0.504320353,0.519528047,0.535194327,0.55133302,0.56796026,0.585090836,0.602739984,0.620923403,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267
LD,trn_pass_road_LDV_4W,LDV_4W,NG,0.475121736,0.489445536,0.504201164,0.51940164,0.535062261,0.551196957,0.567820078,0.58494641,0.602591187,0.602591187,0.602591187,0.602591187,0.602591187,0.602591187,0.602591187,0.602591187,0.602591187,0.602591187,0.602591187
MH,trn_pass_road_LDV_4W,LDV_4W,NG,0.522288733,0.538040362,0.554267042,0.5709831,0.588205182,0.605948607,0.624229157,0.643063091,0.662467162,0.662467162,0.662467162,0.662467162,0.662467162,0.662467162,0.662467162,0.662467162,0.662467162,0.662467162,0.662467162
ML,trn_pass_road_LDV_4W,LDV_4W,NG,0.490844068,0.505643811,0.52088979,0.53659546,0.552776568,0.569447507,0.586623104,0.604318637,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845
MN,trn_pass_road_LDV_4W,LDV_4W,NG,0.481859879,0.496387654,0.511353433,0.52677042,0.542654107,0.559018621,0.575878518,0.593248793,0.611144897,0.611144897,0.611144897,0.611144897,0.611144897,0.611144897,0.611144897,0.611144897,0.611144897,0.611144897,0.611144897
MP,trn_pass_road_LDV_4W,LDV_4W,NG,0.508812448,0.524156126,0.539962505,0.55624554,0.573021491,0.590305279,0.608112277,0.626458325,0.64535974,0.64535974,0.64535974,0.64535974,0.64535974,0.64535974,0.64535974,0.64535974,0.64535974,0.64535974,0.64535974
MZ,trn_pass_road_LDV_4W,LDV_4W,NG,0.478266203,0.492685191,0.50753889,0.522840404,0.538605123,0.554847067,0.571580683,0.588820856,0.606582918,0.606582918,0.606582918,0.606582918,0.606582918,0.606582918,0.606582918,0.606582918,0.606582918,0.606582918,0.606582918
NL,trn_pass_road_LDV_4W,LDV_4W,NG,0.486351973,0.501015733,0.516121611,0.53168294,0.547715338,0.564233064,0.581250811,0.598783715,0.616847371,0.616847371,0.616847371,0.616847371,0.616847371,0.616847371,0.616847371,0.616847371,0.616847371,0.616847371,0.616847371
OD,trn_pass_road_LDV_4W,LDV_4W,NG,0.490844068,0.505643811,0.52088979,0.53659546,0.552776568,0.569447507,0.586623104,0.604318637,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845,0.622549845
PB,trn_pass_road_LDV_4W,LDV_4W,NG,0.504320353,0.519528047,0.535194327,0.55133302,0.56796026,0.585090836,0.602739984,0.620923403,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267,0.639657267
PC,trn_pass_road_LDV_4W,LDV_4W,NG,0.472875689,0.487131497,0.501817075,0.51694538,0.532531646,0.548589735,0.565133931,0.582178949,0.59973995,0.59973995,0.59973995,0.59973995,0.59973995,0.59973995,0.59973995,0.59973995,0.59973995,0.59973995,0.59973995
RJ,trn_pass_road_LDV_4W,LDV_4W,NG,0.508812448,0.524156126,0.539962505,0.55624554,0.573021491,0.590305279,0.608112277,0.626458325,0.64535974,0.64535974,0.64535974,0.64535974,0.64535974,0.64535974,0.64535974,0.64535974,0.64535974,0.64535974,0.64535974
SK,trn_pass_road_LDV_4W,LDV_4W,NG,0.477367784,0.491759575,0.506585254,0.5218579,0.537592877,0.553804178,0.570506225,0.587713871,0.605442423,0.605442423,0.605442423,0.605442423,0.605442423,0.605442423,0.605442423,0.605442423,0.605442423,0.605442423,0.605442423
TN,trn_pass_road_LDV_4W,LDV_4W,NG,0.508812448,0.524156126,0.539962505,0.55624554,0.573021491,0.590305279,0.608112277,0.626458325,0.64535974,0.64535974,0.64535974,0.64535974,0.64535974,0.64535974,0.64535974,0.64535974,0.64535974,0.64535974,0.64535974
TR,trn_pass_road_LDV_4W,LDV_4W,NG,0.468383594,0.482503418,0.497048896,0.51203286,0.527470415,0.543375292,0.559761638,0.576644027,0.594037476,0.594037476,0.594037476,0.594037476,0.594037476,0.594037476,0.594037476,0.594037476,0.594037476,0.594037476,0.594037476
TS,trn_pass_road_LDV_4W,LDV_4W,NG,0.517796638,0.533412283,0.549498863,0.56607058,0.583143952,0.600734164,0.618856864,0.637528169,0.656764688,0.656764688,0.656764688,0.656764688,0.656764688,0.656764688,0.656764688,0.656764688,0.656764688,0.656764688,0.656764688
UK,trn_pass_road_LDV_4W,LDV_4W,NG,0.499828258,0.514899968,0.530426148,0.5464205,0.562899029,0.579876393,0.597367691,0.615388481,0.633954793,0.633954793,0.633954793,0.633954793,0.633954793,0.633954793,0.633954793,0.633954793,0.633954793,0.633954793,0.633954793
UP,trn_pass_road_LDV_4W,LDV_4W,NG,0.499828258,0.514899968,0.530426148,0.5464205,0.562899029,0.579876393,0.597367691,0.615388481,0.633954793,0.633954793,0.633954793,0.633954793,0.633954793,0.633954793,0.633954793,0.633954793,0.633954793,0.633954793,0.633954793
WB,trn_pass_road_LDV_4W,LDV_4W,NG,0.488598021,0.503329772,0.518505701,0.5341392,0.550245953,0.566840286,0.583936958,0.601551176,0.619698608,0.619698608,0.619698608,0.619698608,0.619698608,0.619698608,0.619698608,0.619698608,0.619698608,0.619698608,0.619698608
AN,trn_pass_road_LDV_4W,LDV_4W,FCEV,2.306377982,2.037947144,1.800757985,1.591174397,1.405989299,1.242361531,1.097780907,0.970029628,0.857148216,0.73543317,0.631001659,0.61207161,0.593709461,0.575898178,0.558621232,0.541862595,0.525606717,0.509838516,0.49454336
AP,trn_pass_road_LDV_4W,LDV_4W,FCEV,2.306377982,2.037947144,1.800757985,1.591174397,1.405989299,1.242361531,1.097780907,0.970029628,0.857148216,0.73543317,0.631001659,0.61207161,0.593709461,0.575898178,0.558621232,0.541862595,0.525606717,0.509838516,0.49454336
AR,trn_pass_road_LDV_4W,LDV_4W,FCEV,2.306377982,2.037947144,1.800757985,1.591174397,1.405989299,1.242361531,1.097780907,0.970029628,0.857148216,0.73543317,0.631001659,0.61207161,0.593709461,0.575898178,0.558621232,0.541862595,0.525606717,0.509838516,0.49454336
