# File: A00.india_state_laborforce.csv
# Title: Estimated labour force projections
# Units: NA
# Description: Estimated to correct the trajectory of GDP growth rates
# Column types: cin
# ----------
region,year,laborforce
GA,2050,0.352376117
GA,2055,0.335104566
GA,2060,0.316933852
GA,2065,0.297800972
GA,2070,0.278909561
GA,2075,0.25962849
GA,2080,0.24063587
GA,2085,0.221315097
GA,2090,0.202422033
GA,2095,0.18451622
GA,2100,0.170012622
GJ,1975,0.5
GJ,1990,0.5
GJ,2005,0.5
GJ,2010,0.319999847
GJ,2015,0.310000036
GJ,2020,0.254355305
GJ,2025,0.294897782
GJ,2030,0.33828038
GJ,2035,0.382239976
GJ,2040,0.424887029
GJ,2045,0.45942671
GJ,2050,0.482905622
GJ,2055,0.495601319
GJ,2060,0.502139816
GJ,2065,0.501534041
GJ,2070,0.495416895
GJ,2075,0.482931435
GJ,2080,0.465062258
GJ,2085,0.440890366
GJ,2090,0.412518618
GJ,2095,0.381585459
GJ,2100,0.353893516
HP,1975,0.5
HP,1990,0.5
HP,2005,0.5
HP,2010,0.42000025
HP,2015,0.468001869
HP,2020,0.415256513
HP,2025,0.44509739
HP,2030,0.474555022
HP,2035,0.498640264
HP,2040,0.517852994
HP,2045,0.525996538
HP,2050,0.522319852
HP,2055,0.508292319
HP,2060,0.491070562
HP,2065,0.470549158
HP,2070,0.448772578
HP,2075,0.425036552
HP,2080,0.400279542
HP,2085,0.373440835
HP,2090,0.346184763
HP,2095,0.319337592
HP,2100,0.297323582
HR,1975,0.5
HR,1990,0.5
HR,2005,0.5
HR,2010,0.31000048
HR,2015,0.288999953
HR,2020,0.230365983
HR,2025,0.239782065
HR,2030,0.248927886
HR,2035,0.25454415
HR,2040,0.257448286
HR,2045,0.255017004
HR,2050,0.247193379
HR,2055,0.235459805
HR,2060,0.222707553
HR,2065,0.208858268
HR,2070,0.194854516
HR,2075,0.180460683
HR,2080,0.166093276
HR,2085,0.151406365
HR,2090,0.137052345
HR,2095,0.123404618
HR,2100,0.112104141
JH,1975,0.5
JH,1990,0.5
JH,2005,0.5
JH,2010,0.369999692
JH,2015,0.427999299
JH,2020,0.384685313
JH,2025,0.414775611
JH,2030,0.444884324
JH,2035,0.471762816
JH,2040,0.494403666
JH,2045,0.506377927
JH,2050,0.506538878
JH,2055,0.498008164
JH,2060,0.485843988
JH,2065,0.469454039
JH,2070,0.450738708
JH,2075,0.429138275
JH,2080,0.405574014
JH,2085,0.379201962
JH,2090,0.35165626
JH,2095,0.324022626
JH,2100,0.300856975
JK,1975,0.5
JK,1990,0.5
JK,2005,0.5
JK,2010,0.360010894
JK,2015,0.346009275
