# File: A23.india_state_tech_eff.csv
# Title: India efficiencies by fuel and electric sector
# Units: Unitless efficiency (electricity out / energy in)
# Source: Assumption from India Data
# Comments: Correction for coal use in base years
# Column types: ccccccnnnn
# ----------
region,supplysector,subsector,stub.technology,minicam.energy.input,market.name,1975,1990,2005,2010
JK,electricity,gas,gas (steam/CT),wholesale gas,Northern,0.141405,0.247442,0.33,0.053196609
JK,electricity,gas,gas (CC),wholesale gas,Northern,0.45,0.45,0.54363,0.57608
JK,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Northern,0.2,0.240573,0.249086,0.202075
JK,electricity,biomass,biomass (conv),regional biomass,Northern,0.33,0.33,0.150072,0.149919
JH,electricity,coal,coal (conv pul),regional coal,Eastern,0.287589,0.296496,0.26684,0.379189281
JH,electricity,gas,gas (steam/CT),wholesale gas,Eastern,0.141405,0.247442,0.33,0.376667869
JH,electricity,gas,gas (CC),wholesale gas,Eastern,0.45,0.45,0.54363,0.57608
JH,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Eastern,0.2,0.240573,0.249086,0.202075
JH,electricity,biomass,biomass (conv),regional biomass,Eastern,0.33,0.33,0.150072,0.149919
KA,electricity,coal,coal (conv pul),regional coal,Southern,0.287589,0.296496,0.26684,0.442824907
KA,electricity,gas,gas (steam/CT),wholesale gas,Southern,0.141405,0.247442,0.33,0.376667869
KA,electricity,gas,gas (CC),wholesale gas,Southern,0.45,0.45,0.54363,0.57608
KA,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Southern,0.2,0.240573,0.249086,0.202075
KA,electricity,biomass,biomass (conv),regional biomass,Southern,0.33,0.33,0.150072,0.149919
KL,electricity,coal,coal (conv pul),regional coal,Southern,0.287589,0.296496,0.26684,0.278752
KL,electricity,gas,gas (steam/CT),wholesale gas,Southern,0.141405,0.247442,0.33,0.376667869
KL,electricity,gas,gas (CC),wholesale gas,Southern,0.45,0.45,0.54363,0.57608
KL,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Southern,0.2,0.240573,0.249086,0.202075
KL,electricity,biomass,biomass (conv),regional biomass,Southern,0.33,0.33,0.150072,0.149919
MP,electricity,coal,coal (conv pul),regional coal,Western,0.287589,0.296496,0.26684,0.292310253
MP,electricity,gas,gas (steam/CT),wholesale gas,Western,0.141405,0.247442,0.33,0.376667869
MP,electricity,gas,gas (CC),wholesale gas,Western,0.45,0.45,0.54363,0.57608
MP,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Western,0.2,0.240573,0.249086,0.202075
MP,electricity,biomass,biomass (conv),regional biomass,Western,0.33,0.33,0.150072,0.149919
MH,electricity,coal,coal (conv pul),regional coal,Western,0.287589,0.296496,0.26684,0.274389299
MH,electricity,gas,gas (steam/CT),wholesale gas,Western,0.141405,0.247442,0.33,0.606037449
MH,electricity,gas,gas (CC),wholesale gas,Western,0.45,0.45,0.54363,0.57608
MH,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Western,0.2,0.240573,0.249086,0.202075
MH,electricity,biomass,biomass (conv),regional biomass,Western,0.33,0.33,0.150072,0.149919
MN,electricity,coal,coal (conv pul),regional coal,North-Eastern,0.287589,0.296496,0.26684,0.278752
MN,electricity,gas,gas (steam/CT),wholesale gas,North-Eastern,0.141405,0.247442,0.33,0.376667869
MN,electricity,gas,gas (CC),wholesale gas,North-Eastern,0.45,0.45,0.54363,0.57608
MN,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,North-Eastern,0.2,0.240573,0.249086,0.202075
MN,electricity,biomass,biomass (conv),regional biomass,North-Eastern,0.33,0.33,0.150072,0.149919
ML,electricity,coal,coal (conv pul),regional coal,North-Eastern,0.287589,0.296496,0.26684,0.278752
ML,electricity,gas,gas (steam/CT),wholesale gas,North-Eastern,0.141405,0.247442,0.33,0.376667869
ML,electricity,gas,gas (CC),wholesale gas,North-Eastern,0.45,0.45,0.54363,0.57608
ML,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,North-Eastern,0.2,0.240573,0.249086,0.202075
ML,electricity,biomass,biomass (conv),regional biomass,North-Eastern,0.33,0.33,0.150072,0.149919
MZ,electricity,coal,coal (conv pul),regional coal,North-Eastern,0.287589,0.296496,0.26684,0.278752
MZ,electricity,gas,gas (steam/CT),wholesale gas,North-Eastern,0.141405,0.247442,0.33,0.376667869
MZ,electricity,gas,gas (CC),wholesale gas,North-Eastern,0.45,0.45,0.54363,0.57608
MZ,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,North-Eastern,0.2,0.240573,0.249086,0.202075
MZ,electricity,biomass,biomass (conv),regional biomass,North-Eastern,0.33,0.33,0.150072,0.149919
NL,electricity,coal,coal (conv pul),regional coal,North-Eastern,0.287589,0.296496,0.26684,0.278752
NL,electricity,gas,gas (steam/CT),wholesale gas,North-Eastern,0.141405,0.247442,0.33,0.376667869
NL,electricity,gas,gas (CC),wholesale gas,North-Eastern,0.45,0.45,0.54363,0.57608
NL,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,North-Eastern,0.2,0.240573,0.249086,0.202075
NL,electricity,biomass,biomass (conv),regional biomass,North-Eastern,0.33,0.33,0.150072,0.149919
OD,electricity,coal,coal (conv pul),regional coal,Eastern,0.287589,0.296496,0.26684,0.372290728
OD,electricity,gas,gas (steam/CT),wholesale gas,Eastern,0.141405,0.247442,0.33,0.376667869
OD,electricity,gas,gas (CC),wholesale gas,Eastern,0.45,0.45,0.54363,0.57608
OD,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Eastern,0.2,0.240573,0.249086,0.202075
OD,electricity,biomass,biomass (conv),regional biomass,Eastern,0.33,0.33,0.150072,0.149919
PB,electricity,coal,coal (conv pul),regional coal,Northern,0.287589,0.296496,0.26684,0.319116978
PB,electricity,gas,gas (steam/CT),wholesale gas,Northern,0.141405,0.247442,0.33,0.376667869
PB,electricity,gas,gas (CC),wholesale gas,Northern,0.45,0.45,0.54363,0.57608
PB,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Northern,0.2,0.240573,0.249086,0.202075
PB,electricity,biomass,biomass (conv),regional biomass,Northern,0.33,0.33,0.150072,0.149919
RJ,electricity,coal,coal (conv pul),regional coal,Northern,0.287589,0.296496,0.26684,0.400237403
RJ,electricity,gas,gas (steam/CT),wholesale gas,Northern,0.141405,0.247442,0.33,0.413137842
RJ,electricity,gas,gas (CC),wholesale gas,Northern,0.45,0.45,0.54363,0.57608
RJ,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Northern,0.2,0.240573,0.249086,0.202075
RJ,electricity,biomass,biomass (conv),regional biomass,Northern,0.33,0.33,0.150072,0.149919
SK,electricity,coal,coal (conv pul),regional coal,Eastern,0.287589,0.296496,0.26684,0.278752
SK,electricity,gas,gas (steam/CT),wholesale gas,Eastern,0.141405,0.247442,0.33,0.376667869
SK,electricity,gas,gas (CC),wholesale gas,Eastern,0.45,0.45,0.54363,0.57608
SK,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Eastern,0.2,0.240573,0.249086,0.202075
SK,electricity,biomass,biomass (conv),regional biomass,Eastern,0.33,0.33,0.150072,0.149919
TN,electricity,coal,coal (conv pul),regional coal,Southern,0.287589,0.296496,0.26684,0.677778555
TN,electricity,gas,gas (steam/CT),wholesale gas,Southern,0.141405,0.247442,0.33,0.017447007
TN,electricity,gas,gas (CC),wholesale gas,Southern,0.45,0.45,0.54363,0.57608
TN,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Southern,0.2,0.240573,0.249086,0.202075
TN,electricity,biomass,biomass (conv),regional biomass,Southern,0.33,0.33,0.150072,0.149919
TS,electricity,coal,coal (conv pul),regional coal,Southern,0.287589,0.296496,0.26684,0.31743988
TS,electricity,gas,gas (steam/CT),wholesale gas,Southern,0.141405,0.247442,0.33,0.376667869
TS,electricity,gas,gas (CC),wholesale gas,Southern,0.45,0.45,0.54363,0.57608
TS,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Southern,0.2,0.240573,0.249086,0.202075
TS,electricity,biomass,biomass (conv),regional biomass,Southern,0.33,0.33,0.150072,0.149919
TR,electricity,coal,coal (conv pul),regional coal,North-Eastern,0.287589,0.296496,0.26684,0.278752
TR,electricity,gas,gas (steam/CT),wholesale gas,North-Eastern,0.141405,0.247442,0.33,0.230377594
TR,electricity,gas,gas (CC),wholesale gas,North-Eastern,0.45,0.45,0.54363,0.57608
TR,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,North-Eastern,0.2,0.240573,0.249086,0.202075
TR,electricity,biomass,biomass (conv),regional biomass,North-Eastern,0.33,0.33,0.150072,0.149919
UP,electricity,coal,coal (conv pul),regional coal,Northern,0.287589,0.296496,0.26684,0.303438141
UP,electricity,gas,gas (steam/CT),wholesale gas,Northern,0.141405,0.247442,0.33,0.531158948
UP,electricity,gas,gas (CC),wholesale gas,Northern,0.45,0.45,0.54363,0.57608
UP,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Northern,0.2,0.240573,0.249086,0.202075
UP,electricity,biomass,biomass (conv),regional biomass,Northern,0.33,0.33,0.150072,0.149919
UK,electricity,coal,coal (conv pul),regional coal,Northern,0.287589,0.296496,0.26684,0.278752
