# File: A10.EB_SecFuel_mtoe.csv
# Title: Database of fuel consumption across sectors
# Units: Energy units in mtoe
# Source:  GHG platform
# Column types: cccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
State,GHG_Platform_sectors,GHG_Platform_fuels,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
MP,Geothermal Power,Geothermal for Power,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0,0.00001,0.00001,0.00001,0.00001,0.00001
MZ,Geothermal Power,Geothermal for Power,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0,0.00001,0.00001,0.00001,0.00001,0.00001
NL,Geothermal Power,Geothermal for Power,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0,0.00001,0.00001,0.00001,0.00001,0.00001
OD,Geothermal Power,Geothermal for Power,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0,0.00001,0.00001,0.00001,0.00001,0.00001
PB,Geothermal Power,Geothermal for Power,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0,0.00001,0.00001,0.00001,0.00001,0.00001
PC,Geothermal Power,Geothermal for Power,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0,0.00001,0.00001,0.00001,0.00001,0.00001
RJ,Geothermal Power,Geothermal for Power,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.70197751,0.00001,0.00001,0.00001,0.00001,0.00001
SK,Geothermal Power,Geothermal for Power,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0,0.00001,0.00001,0.00001,0.00001,0.00001
TN,Geothermal Power,Geothermal for Power,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.134396355,0.00001,0.00001,0.00001,0.00001,0.00001
TR,Geothermal Power,Geothermal for Power,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0,0.00001,0.00001,0.00001,0.00001,0.00001
TS,Geothermal Power,Geothermal for Power,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0,0.00001,0.00001,0.00001,0.00001,0.00001
UK,Geothermal Power,Geothermal for Power,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0,0.00001,0.00001,0.00001,0.00001,0.00001
UP,Geothermal Power,Geothermal for Power,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.173676192,0.00001,0.00001,0.00001,0.00001,0.00001
WB,Geothermal Power,Geothermal for Power,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0,0.00001,0.00001,0.00001,0.00001,0.00001
AN,Hydro Power,Hydro for Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000158212,0,0,0,0,0
AP,Hydro Power,Hydro for Power,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.251626106,0.277457298,0.283698225,0.261482642,0.671885072,0.285202621,0.30416199,0.286556518,0.321340042,0.233414421
AR,Hydro Power,Hydro for Power,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.050325221,0.05549146,0.056739645,0.052296528,0.12101123,0.057040524,0.060832398,0.057311304,0.064268008,0.046682884
AS,Hydro Power,Hydro for Power,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.08556193,0.100650443,0.110982919,0.11347929,0.104593057,0.093918355,0.114081049,0.121664796,0.114622607,0.128536017,0.093365769
BR,Hydro Power,Hydro for Power,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.00039123,0.0075,0.0075,0.0075,0.0075,0.0075
CG,Hydro Power,Hydro for Power,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.050325221,0.05549146,0.056739645,0.052296528,0.011275155,0.057040524,0.060832398,0.057311304,0.064268008,0.046682884
CH,Hydro Power,Hydro for Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DD,Hydro Power,Hydro for Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL,Hydro Power,Hydro for Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DN,Hydro Power,Hydro for Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,Hydro Power,Hydro for Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GJ,Hydro Power,Hydro for Power,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.201300885,0.221965838,0.22695858,0.209186114,0.355650197,0.228162097,0.243329592,0.229245214,0.257072034,0.186731537
HP,Hydro Power,Hydro for Power,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,0.931129545,1.095330604,1.207774001,1.234940812,1.138236189,2.225688839,1.241489463,1.324019756,1.247382986,1.398795965,1.016054982
HR,Hydro Power,Hydro for Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003385212,0,0,0,0,0
JH,Hydro Power,Hydro for Power,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.150975664,0.166474379,0.170218935,0.156889585,0.006995704,0.171121573,0.182497194,0.171933911,0.192804025,0.140048653
JK,Hydro Power,Hydro for Power,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.411531302,0.48410324,0.533799846,0.54580676,0.50306622,1.296432203,0.548701067,0.585176979,0.551305828,0.618225818,0.449065796
KA,Hydro Power,Hydro for Power,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.684495442,0.80520354,0.887863352,0.90783432,0.836744455,0.946426033,0.912648389,0.973318367,0.916980858,1.028288134,0.746926148
KL,Hydro Power,Hydro for Power,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.704553098,0.776880433,0.79435503,0.732151398,0.567707038,0.79856734,0.851653571,0.802358251,0.899752117,0.65356038
LA,Hydro Power,Hydro for Power,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.016278349,0.019148973,0.021114749,0.02158969,0.019899064,0,0.021704176,0.023147001,0.021807208,0.024454266,0.017763047
LD,Hydro Power,Hydro for Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MH,Hydro Power,Hydro for Power,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.598933512,0.704553098,0.776880433,0.79435503,0.732151398,0.438711282,0.79856734,0.851653571,0.802358251,0.899752117,0.65356038
ML,Hydro Power,Hydro for Power,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.251626106,0.277457298,0.283698225,0.261482642,0.039589011,0.285202621,0.30416199,0.286556518,0.321340042,0.233414421
MN,Hydro Power,Hydro for Power,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.042780965,0.050325221,0.05549146,0.056739645,0.052296528,0.050779042,0.057040524,0.060832398,0.057311304,0.064268008,0.046682884
MP,Hydro Power,Hydro for Power,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.470590616,0.553577434,0.610406055,0.624136095,0.575261813,0.421058652,0.627445767,0.669156377,0.63042434,0.706948092,0.513511727
MZ,Hydro Power,Hydro for Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,Hydro Power,Hydro for Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022711102,0,0,0,0,0
OD,Hydro Power,Hydro for Power,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.301951328,0.332948757,0.34043787,0.313779171,0.362774878,0.342243146,0.364994388,0.343867822,0.38560805,0.280097306
PB,Hydro Power,Hydro for Power,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.256685791,0.301951328,0.332948757,0.34043787,0.313779171,0.332717255,0.342243146,0.364994388,0.343867822,0.38560805,0.280097306
PC,Hydro Power,Hydro for Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RJ,Hydro Power,Hydro for Power,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.128342895,0.150975664,0.166474379,0.170218935,0.156889585,0.026668111,0.171121573,0.182497194,0.171933911,0.192804025,0.140048653
SK,Hydro Power,Hydro for Power,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.201300885,0.221965838,0.22695858,0.209186114,0.258197016,0.228162097,0.243329592,0.229245214,0.257072034,0.186731537
TN,Hydro Power,Hydro for Power,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.770057372,0.905853983,0.998846271,1.02131361,0.941337512,0.428286514,1.026729437,1.094983163,1.031603465,1.156824151,0.840291917
TR,Hydro Power,Hydro for Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00100086,0,0,0,0,0
TS,Hydro Power,Hydro for Power,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.342247721,0.40260177,0.443931676,0.45391716,0.418372227,0,0.456324194,0.486659184,0.458490429,0.514144067,0.373463074
UK,Hydro Power,Hydro for Power,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.674443754,0.793379276,0.874825244,0.894502942,0.824457018,0.98247506,0.899246317,0.959025368,0.903515165,1.013187914,0.735957677
UP,Hydro Power,Hydro for Power,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.17112386,0.201300885,0.221965838,0.22695858,0.209186114,0.062209829,0.228162097,0.243329592,0.229245214,0.257072034,0.186731537
WB,Hydro Power,Hydro for Power,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.213904826,0.251626106,0.277457298,0.283698225,0.261482642,0.110594201,0.285202621,0.30416199,0.286556518,0.321340042,0.233414421
AN,Iron and Steel_enuse,Ind_enuse Biomass,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
AP,Iron and Steel_enuse,Ind_enuse Biomass,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
AR,Iron and Steel_enuse,Ind_enuse Biomass,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
AS,Iron and Steel_enuse,Ind_enuse Biomass,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
BR,Iron and Steel_enuse,Ind_enuse Biomass,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
CG,Iron and Steel_enuse,Ind_enuse Biomass,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
CH,Iron and Steel_enuse,Ind_enuse Biomass,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
