INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionTechCost,,,,,,
,,,,,,
Region,sector.name,subsector.name,technology,year,minicam.non.energy.input,input.cost
AS,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.294989691
BR,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.294989691
CG,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.294989691
CH,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.294989691
DD,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.294989691
DL,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.294989691
DN,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.294989691
GA,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.294989691
GJ,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.656131238
HP,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.294989691
HR,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.294989691
JH,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.294989691
JK,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.294989691
KA,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.294989691
KL,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.294989691
LA,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.294989691
LD,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.294989691
MH,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.294989691
ML,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.294989691
MN,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.294989691
MP,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.294989691
MZ,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.294989691
NL,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.294989691
OD,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,2.828650569
PB,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.294989691
PC,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.294989691
RJ,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.294989691
SK,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.294989691
TN,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.546410512
TR,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.294989691
TS,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.294989691
UK,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.683094713
UP,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,2.893119254
WB,Agriculture_enuse,refined liquids,refined liquids,2010,non-energy,3.294989691
AN,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
AP,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
AR,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
AS,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
BR,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
CG,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
CH,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
DD,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
DL,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
DN,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
GA,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
GJ,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.92353809
HP,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
HR,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
JH,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
