INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
IndiaIndTechInterp_new,,,,,,,,
,,,,,,,,
region,supplysector,subsector,apply.to,from.year,to.year,from.value,to-value,interpolation.function
DD,Chem_Fert_enuse,hydrogen,share-weight,2045,2100,0,0,fixed
DL,Chem_Fert_enuse,hydrogen,share-weight,2010,2020,0,0,fixed
DL,Chem_Fert_enuse,hydrogen,share-weight,2020,2050,0,0,fixed
DL,Chem_Fert_enuse,hydrogen,share-weight,2045,2100,0,0,fixed
DN,Chem_Fert_enuse,hydrogen,share-weight,2010,2020,0,0,fixed
DN,Chem_Fert_enuse,hydrogen,share-weight,2020,2050,0,0,fixed
DN,Chem_Fert_enuse,hydrogen,share-weight,2045,2100,0,0,fixed
GA,Chem_Fert_enuse,hydrogen,share-weight,2010,2020,0,0,fixed
GA,Chem_Fert_enuse,hydrogen,share-weight,2020,2050,0,0,fixed
GA,Chem_Fert_enuse,hydrogen,share-weight,2045,2100,0,0,fixed
GJ,Chem_Fert_enuse,hydrogen,share-weight,2010,2020,0,0,fixed
GJ,Chem_Fert_enuse,hydrogen,share-weight,2020,2050,0,0,fixed
GJ,Chem_Fert_enuse,hydrogen,share-weight,2045,2100,0,0,fixed
HP,Chem_Fert_enuse,hydrogen,share-weight,2010,2020,0,0,fixed
HP,Chem_Fert_enuse,hydrogen,share-weight,2020,2050,0,0,fixed
HP,Chem_Fert_enuse,hydrogen,share-weight,2045,2100,0,0,fixed
HR,Chem_Fert_enuse,hydrogen,share-weight,2010,2020,0,0,fixed
HR,Chem_Fert_enuse,hydrogen,share-weight,2020,2050,0,0,fixed
HR,Chem_Fert_enuse,hydrogen,share-weight,2045,2100,0,0,fixed
JH,Chem_Fert_enuse,hydrogen,share-weight,2010,2020,0,0,fixed
JH,Chem_Fert_enuse,hydrogen,share-weight,2020,2050,0,0,fixed
JH,Chem_Fert_enuse,hydrogen,share-weight,2045,2100,0,0,fixed
JK,Chem_Fert_enuse,hydrogen,share-weight,2010,2020,0,0,fixed
JK,Chem_Fert_enuse,hydrogen,share-weight,2020,2050,0,0,fixed
JK,Chem_Fert_enuse,hydrogen,share-weight,2045,2100,0,0,fixed
KA,Chem_Fert_enuse,hydrogen,share-weight,2010,2020,0,0,fixed
KA,Chem_Fert_enuse,hydrogen,share-weight,2020,2050,0,0,fixed
KA,Chem_Fert_enuse,hydrogen,share-weight,2045,2100,0,0,fixed
KL,Chem_Fert_enuse,hydrogen,share-weight,2010,2020,0,0,fixed
KL,Chem_Fert_enuse,hydrogen,share-weight,2020,2050,0,0,fixed
KL,Chem_Fert_enuse,hydrogen,share-weight,2045,2100,0,0,fixed
LA,Chem_Fert_enuse,hydrogen,share-weight,2010,2020,0,0,fixed
LA,Chem_Fert_enuse,hydrogen,share-weight,2020,2050,0,0,fixed
LA,Chem_Fert_enuse,hydrogen,share-weight,2045,2100,0,0,fixed
LD,Chem_Fert_enuse,hydrogen,share-weight,2010,2020,0,0,fixed
LD,Chem_Fert_enuse,hydrogen,share-weight,2020,2050,0,0,fixed
LD,Chem_Fert_enuse,hydrogen,share-weight,2045,2100,0,0,fixed
MH,Chem_Fert_enuse,hydrogen,share-weight,2010,2020,0,0,fixed
MH,Chem_Fert_enuse,hydrogen,share-weight,2020,2050,0,0,fixed
MH,Chem_Fert_enuse,hydrogen,share-weight,2045,2100,0,0,fixed
ML,Chem_Fert_enuse,hydrogen,share-weight,2010,2020,0,0,fixed
ML,Chem_Fert_enuse,hydrogen,share-weight,2020,2050,0,0,fixed
ML,Chem_Fert_enuse,hydrogen,share-weight,2045,2100,0,0,fixed
MN,Chem_Fert_enuse,hydrogen,share-weight,2010,2020,0,0,fixed
MN,Chem_Fert_enuse,hydrogen,share-weight,2020,2050,0,0,fixed
MN,Chem_Fert_enuse,hydrogen,share-weight,2045,2100,0,0,fixed
MP,Chem_Fert_enuse,hydrogen,share-weight,2010,2020,0,0,fixed
MP,Chem_Fert_enuse,hydrogen,share-weight,2020,2050,0,0,fixed
MP,Chem_Fert_enuse,hydrogen,share-weight,2045,2100,0,0,fixed
MZ,Chem_Fert_enuse,hydrogen,share-weight,2010,2020,0,0,fixed
MZ,Chem_Fert_enuse,hydrogen,share-weight,2020,2050,0,0,fixed
MZ,Chem_Fert_enuse,hydrogen,share-weight,2045,2100,0,0,fixed
NL,Chem_Fert_enuse,hydrogen,share-weight,2010,2020,0,0,fixed
NL,Chem_Fert_enuse,hydrogen,share-weight,2020,2050,0,0,fixed
NL,Chem_Fert_enuse,hydrogen,share-weight,2045,2100,0,0,fixed
OD,Chem_Fert_enuse,hydrogen,share-weight,2010,2020,0,0,fixed
OD,Chem_Fert_enuse,hydrogen,share-weight,2020,2050,0,0,fixed
OD,Chem_Fert_enuse,hydrogen,share-weight,2045,2100,0,0,fixed
PB,Chem_Fert_enuse,hydrogen,share-weight,2010,2020,0,0,fixed
PB,Chem_Fert_enuse,hydrogen,share-weight,2020,2050,0,0,fixed
PB,Chem_Fert_enuse,hydrogen,share-weight,2045,2100,0,0,fixed
PC,Chem_Fert_enuse,hydrogen,share-weight,2010,2020,0,0,fixed
PC,Chem_Fert_enuse,hydrogen,share-weight,2020,2050,0,0,fixed
PC,Chem_Fert_enuse,hydrogen,share-weight,2045,2100,0,0,fixed
RJ,Chem_Fert_enuse,hydrogen,share-weight,2010,2020,0,0,fixed
RJ,Chem_Fert_enuse,hydrogen,share-weight,2020,2050,0,0,fixed
RJ,Chem_Fert_enuse,hydrogen,share-weight,2045,2100,0,0,fixed
SK,Chem_Fert_enuse,hydrogen,share-weight,2010,2020,0,0,fixed
SK,Chem_Fert_enuse,hydrogen,share-weight,2020,2050,0,0,fixed
SK,Chem_Fert_enuse,hydrogen,share-weight,2045,2100,0,0,fixed
TN,Chem_Fert_enuse,hydrogen,share-weight,2010,2020,0,0,fixed
TN,Chem_Fert_enuse,hydrogen,share-weight,2020,2050,0,0,fixed
TN,Chem_Fert_enuse,hydrogen,share-weight,2045,2100,0,0,fixed
TR,Chem_Fert_enuse,hydrogen,share-weight,2010,2020,0,0,fixed
TR,Chem_Fert_enuse,hydrogen,share-weight,2020,2050,0,0,fixed
TR,Chem_Fert_enuse,hydrogen,share-weight,2045,2100,0,0,fixed
TS,Chem_Fert_enuse,hydrogen,share-weight,2010,2020,0,0,fixed
TS,Chem_Fert_enuse,hydrogen,share-weight,2020,2050,0,0,fixed
TS,Chem_Fert_enuse,hydrogen,share-weight,2045,2100,0,0,fixed
UK,Chem_Fert_enuse,hydrogen,share-weight,2010,2020,0,0,fixed
UK,Chem_Fert_enuse,hydrogen,share-weight,2020,2050,0,0,fixed
UK,Chem_Fert_enuse,hydrogen,share-weight,2045,2100,0,0,fixed
UP,Chem_Fert_enuse,hydrogen,share-weight,2010,2020,0,0,fixed
UP,Chem_Fert_enuse,hydrogen,share-weight,2020,2050,0,0,fixed
UP,Chem_Fert_enuse,hydrogen,share-weight,2045,2100,0,0,fixed
WB,Chem_Fert_enuse,hydrogen,share-weight,2010,2020,0,0,fixed
WB,Chem_Fert_enuse,hydrogen,share-weight,2020,2050,0,0,fixed
WB,Chem_Fert_enuse,hydrogen,share-weight,2045,2100,0,0,fixed
AN,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
AP,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
AR,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
AS,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
BR,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
CG,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
CH,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
DD,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
DL,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
DN,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
GA,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
GJ,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
HP,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
HR,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
JH,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
JK,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
KA,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
KL,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
LA,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
LD,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
MH,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
ML,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
MN,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
MP,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
MZ,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
NL,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
OD,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
PB,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
PC,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
RJ,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
SK,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
TN,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
TR,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
TS,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
UK,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
UP,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
WB,Iron and Steel_fsuse,coal,share-weight,2010,2100,0,0,fixed
AN,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
AP,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
AR,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
AS,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
BR,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
CG,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
CH,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
DD,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
DL,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
DN,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
GA,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
GJ,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
HP,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
HR,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
JH,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
JK,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
KA,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
KL,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
