INPUT_TABLE,,,
Variable ID,,,
IncomeElasticity,,,
,,,
region,energy.final.demand,year,income.elasticity
WB,trn_aviation_intl,2030,1
AN,trn_aviation_intl,2035,1
AP,trn_aviation_intl,2035,1
AR,trn_aviation_intl,2035,1
AS,trn_aviation_intl,2035,1
BR,trn_aviation_intl,2035,1
CG,trn_aviation_intl,2035,1
CH,trn_aviation_intl,2035,1
DD,trn_aviation_intl,2035,1
DL,trn_aviation_intl,2035,1
DN,trn_aviation_intl,2035,1
GA,trn_aviation_intl,2035,1
GJ,trn_aviation_intl,2035,1
HP,trn_aviation_intl,2035,1
HR,trn_aviation_intl,2035,1
JH,trn_aviation_intl,2035,1
JK,trn_aviation_intl,2035,1
KA,trn_aviation_intl,2035,1
KL,trn_aviation_intl,2035,1
LA,trn_aviation_intl,2035,1
LD,trn_aviation_intl,2035,1
MH,trn_aviation_intl,2035,1
ML,trn_aviation_intl,2035,1
MN,trn_aviation_intl,2035,1
MP,trn_aviation_intl,2035,1
MZ,trn_aviation_intl,2035,1
NL,trn_aviation_intl,2035,1
OD,trn_aviation_intl,2035,1
PB,trn_aviation_intl,2035,1
PC,trn_aviation_intl,2035,1
RJ,trn_aviation_intl,2035,1
SK,trn_aviation_intl,2035,1
TN,trn_aviation_intl,2035,1
TR,trn_aviation_intl,2035,1
TS,trn_aviation_intl,2035,1
UK,trn_aviation_intl,2035,1
UP,trn_aviation_intl,2035,1
WB,trn_aviation_intl,2035,1
AN,trn_aviation_intl,2040,1
AP,trn_aviation_intl,2040,1
AR,trn_aviation_intl,2040,1
AS,trn_aviation_intl,2040,1
BR,trn_aviation_intl,2040,1
CG,trn_aviation_intl,2040,1
CH,trn_aviation_intl,2040,1
DD,trn_aviation_intl,2040,1
DL,trn_aviation_intl,2040,1
DN,trn_aviation_intl,2040,1
GA,trn_aviation_intl,2040,1
GJ,trn_aviation_intl,2040,1
HP,trn_aviation_intl,2040,1
HR,trn_aviation_intl,2040,1
JH,trn_aviation_intl,2040,1
JK,trn_aviation_intl,2040,1
KA,trn_aviation_intl,2040,1
KL,trn_aviation_intl,2040,1
LA,trn_aviation_intl,2040,1
LD,trn_aviation_intl,2040,1
MH,trn_aviation_intl,2040,1
ML,trn_aviation_intl,2040,1
MN,trn_aviation_intl,2040,1
MP,trn_aviation_intl,2040,1
MZ,trn_aviation_intl,2040,1
NL,trn_aviation_intl,2040,1
OD,trn_aviation_intl,2040,1
PB,trn_aviation_intl,2040,1
PC,trn_aviation_intl,2040,1
RJ,trn_aviation_intl,2040,1
SK,trn_aviation_intl,2040,1
TN,trn_aviation_intl,2040,1
TR,trn_aviation_intl,2040,1
TS,trn_aviation_intl,2040,1
UK,trn_aviation_intl,2040,1
UP,trn_aviation_intl,2040,1
WB,trn_aviation_intl,2040,1
AN,trn_aviation_intl,2045,1
AP,trn_aviation_intl,2045,1
AR,trn_aviation_intl,2045,1
AS,trn_aviation_intl,2045,1
BR,trn_aviation_intl,2045,1
CG,trn_aviation_intl,2045,1
CH,trn_aviation_intl,2045,1
DD,trn_aviation_intl,2045,1
DL,trn_aviation_intl,2045,1
DN,trn_aviation_intl,2045,1
GA,trn_aviation_intl,2045,1
GJ,trn_aviation_intl,2045,1
HP,trn_aviation_intl,2045,1
HR,trn_aviation_intl,2045,1
JH,trn_aviation_intl,2045,1
JK,trn_aviation_intl,2045,1
KA,trn_aviation_intl,2045,1
KL,trn_aviation_intl,2045,1
LA,trn_aviation_intl,2045,1
LD,trn_aviation_intl,2045,1
MH,trn_aviation_intl,2045,1
ML,trn_aviation_intl,2045,1
MN,trn_aviation_intl,2045,1
MP,trn_aviation_intl,2045,1
MZ,trn_aviation_intl,2045,1
NL,trn_aviation_intl,2045,1
OD,trn_aviation_intl,2045,1
PB,trn_aviation_intl,2045,1
PC,trn_aviation_intl,2045,1
RJ,trn_aviation_intl,2045,1
SK,trn_aviation_intl,2045,1
TN,trn_aviation_intl,2045,1
TR,trn_aviation_intl,2045,1
TS,trn_aviation_intl,2045,1
UK,trn_aviation_intl,2045,1
UP,trn_aviation_intl,2045,1
WB,trn_aviation_intl,2045,1
AN,trn_aviation_intl,2050,1
AP,trn_aviation_intl,2050,1
AR,trn_aviation_intl,2050,1
AS,trn_aviation_intl,2050,1
BR,trn_aviation_intl,2050,1
CG,trn_aviation_intl,2050,1
CH,trn_aviation_intl,2050,1
DD,trn_aviation_intl,2050,1
DL,trn_aviation_intl,2050,1
DN,trn_aviation_intl,2050,1
GA,trn_aviation_intl,2050,1
GJ,trn_aviation_intl,2050,1
HP,trn_aviation_intl,2050,1
HR,trn_aviation_intl,2050,1
JH,trn_aviation_intl,2050,1
JK,trn_aviation_intl,2050,1
KA,trn_aviation_intl,2050,1
KL,trn_aviation_intl,2050,1
LA,trn_aviation_intl,2050,1
LD,trn_aviation_intl,2050,1
MH,trn_aviation_intl,2050,1
ML,trn_aviation_intl,2050,1
MN,trn_aviation_intl,2050,1
MP,trn_aviation_intl,2050,1
MZ,trn_aviation_intl,2050,1
NL,trn_aviation_intl,2050,1
OD,trn_aviation_intl,2050,1
PB,trn_aviation_intl,2050,1
PC,trn_aviation_intl,2050,1
RJ,trn_aviation_intl,2050,1
SK,trn_aviation_intl,2050,1
TN,trn_aviation_intl,2050,1
TR,trn_aviation_intl,2050,1
TS,trn_aviation_intl,2050,1
UK,trn_aviation_intl,2050,1
UP,trn_aviation_intl,2050,1
WB,trn_aviation_intl,2050,1
AN,trn_aviation_intl,2055,1
AP,trn_aviation_intl,2055,1
AR,trn_aviation_intl,2055,1
AS,trn_aviation_intl,2055,1
BR,trn_aviation_intl,2055,1
CG,trn_aviation_intl,2055,1
CH,trn_aviation_intl,2055,1
DD,trn_aviation_intl,2055,1
DL,trn_aviation_intl,2055,1
DN,trn_aviation_intl,2055,1
GA,trn_aviation_intl,2055,1
GJ,trn_aviation_intl,2055,1
HP,trn_aviation_intl,2055,1
HR,trn_aviation_intl,2055,1
JH,trn_aviation_intl,2055,1
JK,trn_aviation_intl,2055,1
KA,trn_aviation_intl,2055,1
KL,trn_aviation_intl,2055,1
LA,trn_aviation_intl,2055,1
LD,trn_aviation_intl,2055,1
MH,trn_aviation_intl,2055,1
ML,trn_aviation_intl,2055,1
MN,trn_aviation_intl,2055,1
MP,trn_aviation_intl,2055,1
MZ,trn_aviation_intl,2055,1
NL,trn_aviation_intl,2055,1
OD,trn_aviation_intl,2055,1
PB,trn_aviation_intl,2055,1
PC,trn_aviation_intl,2055,1
RJ,trn_aviation_intl,2055,1
SK,trn_aviation_intl,2055,1
TN,trn_aviation_intl,2055,1
TR,trn_aviation_intl,2055,1
TS,trn_aviation_intl,2055,1
UK,trn_aviation_intl,2055,1
UP,trn_aviation_intl,2055,1
WB,trn_aviation_intl,2055,1
AN,trn_aviation_intl,2060,1
AP,trn_aviation_intl,2060,1
AR,trn_aviation_intl,2060,1
AS,trn_aviation_intl,2060,1
BR,trn_aviation_intl,2060,1
CG,trn_aviation_intl,2060,1
CH,trn_aviation_intl,2060,1
DD,trn_aviation_intl,2060,1
DL,trn_aviation_intl,2060,1
DN,trn_aviation_intl,2060,1
GA,trn_aviation_intl,2060,1
GJ,trn_aviation_intl,2060,1
HP,trn_aviation_intl,2060,1
HR,trn_aviation_intl,2060,1
JH,trn_aviation_intl,2060,1
JK,trn_aviation_intl,2060,1
KA,trn_aviation_intl,2060,1
KL,trn_aviation_intl,2060,1
LA,trn_aviation_intl,2060,1
LD,trn_aviation_intl,2060,1
MH,trn_aviation_intl,2060,1
ML,trn_aviation_intl,2060,1
MN,trn_aviation_intl,2060,1
MP,trn_aviation_intl,2060,1
MZ,trn_aviation_intl,2060,1
NL,trn_aviation_intl,2060,1
