INPUT_TABLE,,,
Variable ID,,,
SubregionalIncShares,,,
,,,
region,gcam.consumer,inc.year.fillout,subregional.income.share
RJ,comm,2055,1
SK,comm,2055,1
TN,comm,2055,1
TR,comm,2055,1
TS,comm,2055,1
UK,comm,2055,1
UP,comm,2055,1
WB,comm,2055,1
AN,comm,2060,1
AP,comm,2060,1
AR,comm,2060,1
AS,comm,2060,1
BR,comm,2060,1
CG,comm,2060,1
CH,comm,2060,1
DD,comm,2060,1
DL,comm,2060,1
DN,comm,2060,1
GA,comm,2060,1
GJ,comm,2060,1
HP,comm,2060,1
HR,comm,2060,1
JH,comm,2060,1
JK,comm,2060,1
KA,comm,2060,1
KL,comm,2060,1
LA,comm,2060,1
LD,comm,2060,1
MH,comm,2060,1
ML,comm,2060,1
MN,comm,2060,1
MP,comm,2060,1
MZ,comm,2060,1
NL,comm,2060,1
OD,comm,2060,1
PB,comm,2060,1
PC,comm,2060,1
RJ,comm,2060,1
SK,comm,2060,1
TN,comm,2060,1
TR,comm,2060,1
TS,comm,2060,1
UK,comm,2060,1
UP,comm,2060,1
WB,comm,2060,1
AN,comm,2065,1
AP,comm,2065,1
AR,comm,2065,1
AS,comm,2065,1
BR,comm,2065,1
CG,comm,2065,1
CH,comm,2065,1
DD,comm,2065,1
DL,comm,2065,1
DN,comm,2065,1
GA,comm,2065,1
GJ,comm,2065,1
HP,comm,2065,1
HR,comm,2065,1
JH,comm,2065,1
JK,comm,2065,1
KA,comm,2065,1
KL,comm,2065,1
LA,comm,2065,1
LD,comm,2065,1
MH,comm,2065,1
ML,comm,2065,1
MN,comm,2065,1
MP,comm,2065,1
MZ,comm,2065,1
NL,comm,2065,1
OD,comm,2065,1
PB,comm,2065,1
PC,comm,2065,1
RJ,comm,2065,1
SK,comm,2065,1
TN,comm,2065,1
TR,comm,2065,1
TS,comm,2065,1
UK,comm,2065,1
UP,comm,2065,1
WB,comm,2065,1
AN,comm,2070,1
AP,comm,2070,1
AR,comm,2070,1
AS,comm,2070,1
BR,comm,2070,1
CG,comm,2070,1
CH,comm,2070,1
DD,comm,2070,1
DL,comm,2070,1
DN,comm,2070,1
GA,comm,2070,1
GJ,comm,2070,1
HP,comm,2070,1
HR,comm,2070,1
JH,comm,2070,1
JK,comm,2070,1
KA,comm,2070,1
KL,comm,2070,1
LA,comm,2070,1
LD,comm,2070,1
MH,comm,2070,1
ML,comm,2070,1
MN,comm,2070,1
MP,comm,2070,1
MZ,comm,2070,1
NL,comm,2070,1
OD,comm,2070,1
PB,comm,2070,1
PC,comm,2070,1
RJ,comm,2070,1
SK,comm,2070,1
TN,comm,2070,1
TR,comm,2070,1
TS,comm,2070,1
UK,comm,2070,1
UP,comm,2070,1
WB,comm,2070,1
AN,comm,2075,1
AP,comm,2075,1
AR,comm,2075,1
AS,comm,2075,1
BR,comm,2075,1
CG,comm,2075,1
CH,comm,2075,1
DD,comm,2075,1
DL,comm,2075,1
DN,comm,2075,1
GA,comm,2075,1
GJ,comm,2075,1
HP,comm,2075,1
HR,comm,2075,1
JH,comm,2075,1
JK,comm,2075,1
KA,comm,2075,1
KL,comm,2075,1
LA,comm,2075,1
LD,comm,2075,1
MH,comm,2075,1
ML,comm,2075,1
MN,comm,2075,1
MP,comm,2075,1
MZ,comm,2075,1
NL,comm,2075,1
OD,comm,2075,1
PB,comm,2075,1
PC,comm,2075,1
RJ,comm,2075,1
SK,comm,2075,1
TN,comm,2075,1
TR,comm,2075,1
TS,comm,2075,1
UK,comm,2075,1
UP,comm,2075,1
WB,comm,2075,1
AN,comm,2080,1
AP,comm,2080,1
AR,comm,2080,1
AS,comm,2080,1
BR,comm,2080,1
CG,comm,2080,1
CH,comm,2080,1
DD,comm,2080,1
DL,comm,2080,1
DN,comm,2080,1
GA,comm,2080,1
GJ,comm,2080,1
HP,comm,2080,1
HR,comm,2080,1
JH,comm,2080,1
JK,comm,2080,1
KA,comm,2080,1
KL,comm,2080,1
LA,comm,2080,1
LD,comm,2080,1
MH,comm,2080,1
ML,comm,2080,1
MN,comm,2080,1
MP,comm,2080,1
MZ,comm,2080,1
NL,comm,2080,1
OD,comm,2080,1
PB,comm,2080,1
PC,comm,2080,1
RJ,comm,2080,1
SK,comm,2080,1
TN,comm,2080,1
TR,comm,2080,1
TS,comm,2080,1
UK,comm,2080,1
UP,comm,2080,1
WB,comm,2080,1
AN,comm,2085,1
AP,comm,2085,1
AR,comm,2085,1
AS,comm,2085,1
BR,comm,2085,1
CG,comm,2085,1
CH,comm,2085,1
DD,comm,2085,1
DL,comm,2085,1
DN,comm,2085,1
GA,comm,2085,1
GJ,comm,2085,1
HP,comm,2085,1
HR,comm,2085,1
JH,comm,2085,1
JK,comm,2085,1
KA,comm,2085,1
KL,comm,2085,1
LA,comm,2085,1
LD,comm,2085,1
MH,comm,2085,1
ML,comm,2085,1
MN,comm,2085,1
MP,comm,2085,1
MZ,comm,2085,1
NL,comm,2085,1
OD,comm,2085,1
PB,comm,2085,1
PC,comm,2085,1
RJ,comm,2085,1
SK,comm,2085,1
TN,comm,2085,1
TR,comm,2085,1
TS,comm,2085,1
UK,comm,2085,1
UP,comm,2085,1
WB,comm,2085,1
AN,comm,2090,1
AP,comm,2090,1
AR,comm,2090,1
AS,comm,2090,1
BR,comm,2090,1
CG,comm,2090,1
CH,comm,2090,1
DD,comm,2090,1
DL,comm,2090,1
DN,comm,2090,1
GA,comm,2090,1
GJ,comm,2090,1
HP,comm,2090,1
HR,comm,2090,1
JH,comm,2090,1
JK,comm,2090,1
KA,comm,2090,1
KL,comm,2090,1
LA,comm,2090,1
LD,comm,2090,1
MH,comm,2090,1
ML,comm,2090,1
MN,comm,2090,1
MP,comm,2090,1
MZ,comm,2090,1
NL,comm,2090,1
OD,comm,2090,1
PB,comm,2090,1
PC,comm,2090,1
RJ,comm,2090,1
SK,comm,2090,1
TN,comm,2090,1
TR,comm,2090,1
TS,comm,2090,1
UK,comm,2090,1
UP,comm,2090,1
WB,comm,2090,1
AN,comm,2095,1
AP,comm,2095,1
AR,comm,2095,1
AS,comm,2095,1
BR,comm,2095,1
CG,comm,2095,1
CH,comm,2095,1
DD,comm,2095,1
DL,comm,2095,1
DN,comm,2095,1
GA,comm,2095,1
GJ,comm,2095,1
HP,comm,2095,1
HR,comm,2095,1
JH,comm,2095,1
JK,comm,2095,1
KA,comm,2095,1
KL,comm,2095,1
LA,comm,2095,1
LD,comm,2095,1
MH,comm,2095,1
ML,comm,2095,1
MN,comm,2095,1
MP,comm,2095,1
MZ,comm,2095,1
NL,comm,2095,1
OD,comm,2095,1
PB,comm,2095,1
PC,comm,2095,1
RJ,comm,2095,1
SK,comm,2095,1
TN,comm,2095,1
TR,comm,2095,1
TS,comm,2095,1
UK,comm,2095,1
UP,comm,2095,1
WB,comm,2095,1
AN,comm,2100,1
AP,comm,2100,1
AR,comm,2100,1
AS,comm,2100,1
BR,comm,2100,1
CG,comm,2100,1
CH,comm,2100,1
DD,comm,2100,1
DL,comm,2100,1
DN,comm,2100,1
GA,comm,2100,1
GJ,comm,2100,1
HP,comm,2100,1
HR,comm,2100,1
JH,comm,2100,1
JK,comm,2100,1
KA,comm,2100,1
KL,comm,2100,1
LA,comm,2100,1
LD,comm,2100,1
MH,comm,2100,1
ML,comm,2100,1
MN,comm,2100,1
MP,comm,2100,1
MZ,comm,2100,1
NL,comm,2100,1
OD,comm,2100,1
PB,comm,2100,1
PC,comm,2100,1
RJ,comm,2100,1
SK,comm,2100,1
TN,comm,2100,1
TR,comm,2100,1
TS,comm,2100,1
UK,comm,2100,1
UP,comm,2100,1
WB,comm,2100,1
AN,resid rural,1975,0.36888242
AP,resid rural,1975,0.566767607
AR,resid rural,1975,0.597985071
AS,resid rural,1975,0.734684612
BR,resid rural,1975,0.791450211
CG,resid rural,1975,0.493957307
CH,resid rural,1975,0.009150943
DD,resid rural,1975,0.07686725
DL,resid rural,1975,0.012545821
DN,resid rural,1975,0.23336751
GA,resid rural,1975,0.26297984
GJ,resid rural,1975,0.40340672
HP,resid rural,1975,0.796920814
HR,resid rural,1975,0.371876636
JH,resid rural,1975,0.575537014
JK,resid rural,1975,0.48086645
KA,resid rural,1975,0.414923776
KL,resid rural,1975,0.522809023
LA,resid rural,1975,0.466439795
LD,resid rural,1975,0.167449703
MH,resid rural,1975,0.365401643
ML,resid rural,1975,0.593742937
MN,resid rural,1975,0.503143662
MP,resid rural,1975,0.386427143
MZ,resid rural,1975,0.435349466
NL,resid rural,1975,0.474060732
OD,resid rural,1975,0.631716244
PB,resid rural,1975,0.539294784
PC,resid rural,1975,0.128612641
RJ,resid rural,1975,0.604064707
SK,resid rural,1975,0.587369799
TN,resid rural,1975,0.424736284
TR,resid rural,1975,0.496340758
TS,resid rural,1975,0.404232186
UK,resid rural,1975,0.398997625
UP,resid rural,1975,0.593498261
WB,resid rural,1975,0.443389289
AN,resid rural,1990,0.36888242
AP,resid rural,1990,0.566767607
AR,resid rural,1990,0.597985071
AS,resid rural,1990,0.734684612
BR,resid rural,1990,0.791450211
CG,resid rural,1990,0.493957307
CH,resid rural,1990,0.009150943
DD,resid rural,1990,0.07686725
DL,resid rural,1990,0.012545821
DN,resid rural,1990,0.23336751
GA,resid rural,1990,0.26297984
GJ,resid rural,1990,0.40340672
HP,resid rural,1990,0.796920814
HR,resid rural,1990,0.371876636
JH,resid rural,1990,0.575537014
JK,resid rural,1990,0.48086645
KA,resid rural,1990,0.414923776
KL,resid rural,1990,0.522809023
LA,resid rural,1990,0.466439795
LD,resid rural,1990,0.167449703
MH,resid rural,1990,0.365401643
ML,resid rural,1990,0.593742937
MN,resid rural,1990,0.503143662
MP,resid rural,1990,0.386427143
MZ,resid rural,1990,0.435349466
NL,resid rural,1990,0.474060732
OD,resid rural,1990,0.631716244
PB,resid rural,1990,0.539294784
PC,resid rural,1990,0.128612641
RJ,resid rural,1990,0.604064707
SK,resid rural,1990,0.587369799
TN,resid rural,1990,0.424736284
TR,resid rural,1990,0.496340758
TS,resid rural,1990,0.404232186
UK,resid rural,1990,0.398997625
UP,resid rural,1990,0.593498261
WB,resid rural,1990,0.443389289
AN,resid rural,2005,0.36888242
AP,resid rural,2005,0.566767607
AR,resid rural,2005,0.597985071
AS,resid rural,2005,0.734684612
BR,resid rural,2005,0.791450211
CG,resid rural,2005,0.493957307
CH,resid rural,2005,0.009150943
DD,resid rural,2005,0.07686725
DL,resid rural,2005,0.012545821
DN,resid rural,2005,0.23336751
GA,resid rural,2005,0.26297984
GJ,resid rural,2005,0.40340672
HP,resid rural,2005,0.796920814
HR,resid rural,2005,0.371876636
JH,resid rural,2005,0.575537014
JK,resid rural,2005,0.48086645
KA,resid rural,2005,0.414923776
KL,resid rural,2005,0.522809023
LA,resid rural,2005,0.466439795
LD,resid rural,2005,0.167449703
MH,resid rural,2005,0.365401643
ML,resid rural,2005,0.593742937
MN,resid rural,2005,0.503143662
MP,resid rural,2005,0.386427143
MZ,resid rural,2005,0.435349466
NL,resid rural,2005,0.474060732
OD,resid rural,2005,0.631716244
PB,resid rural,2005,0.539294784
PC,resid rural,2005,0.128612641
RJ,resid rural,2005,0.604064707
SK,resid rural,2005,0.587369799
TN,resid rural,2005,0.424736284
TR,resid rural,2005,0.496340758
TS,resid rural,2005,0.404232186
UK,resid rural,2005,0.398997625
UP,resid rural,2005,0.593498261
WB,resid rural,2005,0.443389289
AN,resid rural,2010,0.36888242
AP,resid rural,2010,0.566767607
AR,resid rural,2010,0.597985071
AS,resid rural,2010,0.734684612
BR,resid rural,2010,0.791450211
CG,resid rural,2010,0.493957307
CH,resid rural,2010,0.009150943
DD,resid rural,2010,0.07686725
DL,resid rural,2010,0.012545821
DN,resid rural,2010,0.23336751
GA,resid rural,2010,0.26297984
GJ,resid rural,2010,0.40340672
HP,resid rural,2010,0.796920814
HR,resid rural,2010,0.371876636
JH,resid rural,2010,0.575537014
JK,resid rural,2010,0.48086645
KA,resid rural,2010,0.414923776
KL,resid rural,2010,0.522809023
LA,resid rural,2010,0.466439795
LD,resid rural,2010,0.167449703
MH,resid rural,2010,0.365401643
ML,resid rural,2010,0.593742937
MN,resid rural,2010,0.503143662
MP,resid rural,2010,0.386427143
MZ,resid rural,2010,0.435349466
NL,resid rural,2010,0.474060732
OD,resid rural,2010,0.631716244
PB,resid rural,2010,0.539294784
PC,resid rural,2010,0.128612641
RJ,resid rural,2010,0.604064707
SK,resid rural,2010,0.587369799
TN,resid rural,2010,0.424736284
TR,resid rural,2010,0.496340758
TS,resid rural,2010,0.404232186
UK,resid rural,2010,0.398997625
UP,resid rural,2010,0.593498261
WB,resid rural,2010,0.443389289
AN,resid rural,2015,0.362394069
AP,resid rural,2015,0.542765229
AR,resid rural,2015,0.580056206
AS,resid rural,2015,0.718783943
BR,resid rural,2015,0.786555092
CG,resid rural,2015,0.481401452
CH,resid rural,2015,0.009136883
DD,resid rural,2015,0.072512428
DL,resid rural,2015,0.011604784
DN,resid rural,2015,0.216062156
GA,resid rural,2015,0.241631649
GJ,resid rural,2015,0.385464894
HP,resid rural,2015,0.785399244
HR,resid rural,2015,0.355691542
JH,resid rural,2015,0.548230761
JK,resid rural,2015,0.465699529
KA,resid rural,2015,0.393674251
KL,resid rural,2015,0.484148843
LA,resid rural,2015,0.454112102
LD,resid rural,2015,0.161910269
MH,resid rural,2015,0.341548142
ML,resid rural,2015,0.589626879
MN,resid rural,2015,0.473870694
MP,resid rural,2015,0.377490795
MZ,resid rural,2015,0.409269391
NL,resid rural,2015,0.452802818
OD,resid rural,2015,0.612886457
PB,resid rural,2015,0.51936288
PC,resid rural,2015,0.120349077
RJ,resid rural,2015,0.591199842
SK,resid rural,2015,0.59716079
TN,resid rural,2015,0.404124768
TR,resid rural,2015,0.467140701
TS,resid rural,2015,0.388929833
UK,resid rural,2015,0.381020435
UP,resid rural,2015,0.582633446
WB,resid rural,2015,0.42218239
AN,resid rural,2020,0.35270105
AP,resid rural,2020,0.508167263
AR,resid rural,2020,0.557235654
AS,resid rural,2020,0.689364309
BR,resid rural,2020,0.747231523
CG,resid rural,2020,0.463948058
CH,resid rural,2020,0.009120084
DD,resid rural,2020,0.067569428
DL,resid rural,2020,0.010658594
DN,resid rural,2020,0.193683565
GA,resid rural,2020,0.215817575
GJ,resid rural,2020,0.362695433
HP,resid rural,2020,0.739918922
HR,resid rural,2020,0.334319105
JH,resid rural,2020,0.510019679
JK,resid rural,2020,0.444180558
KA,resid rural,2020,0.367554198
KL,resid rural,2020,0.430699088
LA,resid rural,2020,0.440002507
LD,resid rural,2020,0.156053235
MH,resid rural,2020,0.312466945
ML,resid rural,2020,0.575808779
MN,resid rural,2020,0.433881074
MP,resid rural,2020,0.366022272
MZ,resid rural,2020,0.377219639
NL,resid rural,2020,0.424860615
OD,resid rural,2020,0.579788722
PB,resid rural,2020,0.492806997
PC,resid rural,2020,0.110905019
RJ,resid rural,2020,0.573810221
SK,resid rural,2020,0.590928851
TN,resid rural,2020,0.379240742
TR,resid rural,2020,0.423197964
TS,resid rural,2020,0.369424829
UK,resid rural,2020,0.355126273
UP,resid rural,2020,0.5567431
WB,resid rural,2020,0.392769432
AN,resid rural,2025,0.343424216
AP,resid rural,2025,0.475167245
AR,resid rural,2025,0.53532897
AS,resid rural,2025,0.661228361
BR,resid rural,2025,0.709754814
CG,resid rural,2025,0.447702945
CH,resid rural,2025,0.009102832
DD,resid rural,2025,0.062597582
DL,resid rural,2025,0.009713189
DN,resid rural,2025,0.172915027
GA,resid rural,2025,0.190504903
GJ,resid rural,2025,0.34076332
HP,resid rural,2025,0.697413302
HR,resid rural,2025,0.314289503
JH,resid rural,2025,0.474204136
JK,resid rural,2025,0.423927182
KA,resid rural,2025,0.342581706
KL,resid rural,2025,0.377249333
LA,resid rural,2025,0.426239374
LD,resid rural,2025,0.150165048
MH,resid rural,2025,0.284697924
ML,resid rural,2025,0.562618872
MN,resid rural,2025,0.396474821
MP,resid rural,2025,0.355458557
MZ,resid rural,2025,0.34554662
NL,resid rural,2025,0.398671757
OD,resid rural,2025,0.549278322
PB,resid rural,2025,0.466801742
PC,resid rural,2025,0.101595455
RJ,resid rural,2025,0.557060045
SK,resid rural,2025,0.584769567
TN,resid rural,2025,0.354783642
TR,resid rural,2025,0.383382319
TS,resid rural,2025,0.350616583
UK,resid rural,2025,0.331297609
UP,resid rural,2025,0.532095525
WB,resid rural,2025,0.365225535
AN,resid rural,2030,0.334532312
AP,resid rural,2030,0.443574514
AR,resid rural,2030,0.51426815
AS,resid rural,2030,0.63428003
BR,resid rural,2030,0.673988662
CG,resid rural,2030,0.432543932
CH,resid rural,2030,0.009085097
DD,resid rural,2030,0.057576647
DL,resid rural,2030,0.008768561
DN,resid rural,2030,0.153458818
GA,resid rural,2030,0.165599751
GJ,resid rural,2030,0.319547333
HP,resid rural,2030,0.657562585
HR,resid rural,2030,0.29542732
JH,resid rural,2030,0.440518653
JK,resid rural,2030,0.404802319
KA,resid rural,2030,0.318658437
KL,resid rural,2030,0.323799578
LA,resid rural,2030,0.412804697
LD,resid rural,2030,0.144242518
MH,resid rural,2030,0.258139815
ML,resid rural,2030,0.550015062
MN,resid rural,2030,0.361356716
MP,resid rural,2030,0.345719927
