INPUT_TABLE,,,,,,,,,
Variable ID,,,,,,,,,
IndiaBldTechInterp_new,,,,,,,,,
,,,,,,,,,
region,supplysector,subsector,technology,apply.to,from.year,to.year,from.value,to-value,interpolation.function
TR,resid urban cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
TS,resid urban cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
UK,resid urban cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
UP,resid urban cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
WB,resid urban cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
AN,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
AP,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
AR,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
AS,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
BR,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
CG,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
CH,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
DD,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
DL,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
DN,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
GA,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
GJ,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
HP,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
HR,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
JH,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
JK,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
KA,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
KL,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
LA,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
LD,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
MH,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
ML,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
MN,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
MP,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
MZ,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
NL,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
OD,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
PB,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
RJ,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
SK,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
TN,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
TR,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
TS,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
UK,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
UP,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
WB,resid rural cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
AN,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
AP,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
AR,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
AS,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
BR,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
CG,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
CH,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
DD,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
DL,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
DN,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
GA,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
GJ,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
HP,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
HR,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
JH,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
JK,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
KA,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
KL,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
LA,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
LD,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
MH,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
ML,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
MN,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
MP,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
MZ,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
NL,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
OD,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
PB,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
RJ,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
SK,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
TN,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
TR,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
TS,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
UK,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
UP,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
WB,resid urban cooling,electricity,air conditioner (lo-eff),share-weight,2010,2100,1,1,fixed
AN,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
AP,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
AR,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
AS,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
BR,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
CG,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
CH,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
DD,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
DL,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
DN,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
GA,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
GJ,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
HP,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
HR,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
JH,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
JK,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
KA,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
KL,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
LA,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
LD,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
MH,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
ML,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
MN,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
MP,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
MZ,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
NL,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
OD,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
PB,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
RJ,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
SK,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
TN,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
TR,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
TS,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
UK,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
UP,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
WB,resid rural cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
AN,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
AP,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
AR,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
AS,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
BR,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
CG,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
CH,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
DD,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
DL,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
DN,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
GA,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
GJ,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
HP,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
HR,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
JH,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
JK,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
KA,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
KL,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
LA,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
LD,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
MH,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
ML,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
MN,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
MP,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
MZ,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
NL,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
OD,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
PB,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
RJ,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
SK,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
TN,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
TR,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
TS,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
UK,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
UP,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
WB,resid urban cooking,biomass,biomass,share-weight,2010,2100,0.1,0.1,fixed
AN,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
AP,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
AR,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
AS,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
BR,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
CG,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
CH,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
DD,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
DL,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
DN,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
GA,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
GJ,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
HP,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
HR,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
JH,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
JK,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
KA,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
KL,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
LA,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
LD,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
MH,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
ML,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
MN,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
MP,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
MZ,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
NL,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
OD,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
PB,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
RJ,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
SK,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
TN,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
TR,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
TS,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
UK,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
UP,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
WB,comm others,biomass,biomass based others,share-weight,2010,2100,0.1,0.1,fixed
AN,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
AP,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
AR,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
AS,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
BR,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
CG,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
CH,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
DD,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
DL,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
DN,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
GA,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
GJ,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
HP,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
HR,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
JH,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
JK,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
KA,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
KL,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
LA,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
LD,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
MH,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
ML,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
MN,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
MP,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
MZ,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
NL,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
OD,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
PB,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
RJ,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
SK,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
TN,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
TR,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
TS,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
UK,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
UP,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
WB,resid rural apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
AN,resid urban apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
AP,resid urban apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
AR,resid urban apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
AS,resid urban apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
BR,resid urban apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
CG,resid urban apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
CH,resid urban apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
DD,resid urban apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
DL,resid urban apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
DN,resid urban apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
GA,resid urban apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
GJ,resid urban apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
HP,resid urban apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
HR,resid urban apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
JH,resid urban apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
JK,resid urban apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
KA,resid urban apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
KL,resid urban apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
LA,resid urban apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
LD,resid urban apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
MH,resid urban apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
ML,resid urban apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
MN,resid urban apploth,biomass,biomass-based app,share-weight,2010,2100,0.1,0.1,fixed
