INPUT_TABLE,,,,,,,,,
Variable ID,,,,,,,,,
RegionTechEff,,,,,,,,,
,,,,,,,,,
Region,sector.name,subsector.name,technology,year,minicam.energy.input,efficiency,,,
India,electricity,coal,coal (conv pul CCS),2090,regional coal,0.4,,,
India,electricity,coal,coal (conv pul CCS),2095,regional coal,0.4,,,
India,electricity,coal,coal (conv pul CCS),2100,regional coal,0.4,,,
India,electricity,coal,coal (conv pul),2015,regional coal,0.4,,,
India,electricity,coal,coal (conv pul),2020,regional coal,0.4,,,
India,electricity,coal,coal (conv pul),2025,regional coal,0.4,,,
India,electricity,coal,coal (conv pul),2030,regional coal,0.4,,,
India,electricity,coal,coal (conv pul),2035,regional coal,0.4,,,
India,electricity,coal,coal (conv pul),2040,regional coal,0.4,,,
India,electricity,coal,coal (conv pul),2045,regional coal,0.4,,,
India,electricity,coal,coal (conv pul),2050,regional coal,0.4,,,
India,electricity,coal,coal (conv pul),2055,regional coal,0.4,,,
India,electricity,coal,coal (conv pul),2060,regional coal,0.4,,,
India,electricity,coal,coal (conv pul),2065,regional coal,0.4,,,
India,electricity,coal,coal (conv pul),2070,regional coal,0.4,,,
India,electricity,coal,coal (conv pul),2075,regional coal,0.4,,,
India,electricity,coal,coal (conv pul),2080,regional coal,0.4,,,
India,electricity,coal,coal (conv pul),2085,regional coal,0.4,,,
India,electricity,coal,coal (conv pul),2090,regional coal,0.4,,,
India,electricity,coal,coal (conv pul),2095,regional coal,0.4,,,
India,electricity,coal,coal (conv pul),2100,regional coal,0.4,,,
India,electricity,coal,coal (IGCC CCS),2015,regional coal,0.41,,,
India,electricity,coal,coal (IGCC CCS),2020,regional coal,0.42,,,
India,electricity,coal,coal (IGCC CCS),2025,regional coal,0.43,,,
India,electricity,coal,coal (IGCC CCS),2030,regional coal,0.44,,,
India,electricity,coal,coal (IGCC CCS),2035,regional coal,0.455,,,
India,electricity,coal,coal (IGCC CCS),2040,regional coal,0.47,,,
India,electricity,coal,coal (IGCC CCS),2045,regional coal,0.47,,,
India,electricity,coal,coal (IGCC CCS),2050,regional coal,0.47,,,
India,electricity,coal,coal (IGCC CCS),2055,regional coal,0.47,,,
India,electricity,coal,coal (IGCC CCS),2060,regional coal,0.47,,,
India,electricity,coal,coal (IGCC CCS),2065,regional coal,0.47,,,
India,electricity,coal,coal (IGCC CCS),2070,regional coal,0.47,,,
India,electricity,coal,coal (IGCC CCS),2075,regional coal,0.47,,,
India,electricity,coal,coal (IGCC CCS),2080,regional coal,0.47,,,
India,electricity,coal,coal (IGCC CCS),2085,regional coal,0.47,,,
India,electricity,coal,coal (IGCC CCS),2090,regional coal,0.47,,,
India,electricity,coal,coal (IGCC CCS),2095,regional coal,0.47,,,
India,electricity,coal,coal (IGCC CCS),2100,regional coal,0.47,,,
India,electricity,coal,coal (IGCC),2015,regional coal,0.41,,,
India,electricity,coal,coal (IGCC),2020,regional coal,0.45,,,
India,electricity,coal,coal (IGCC),2025,regional coal,0.45,,,
India,electricity,coal,coal (IGCC),2030,regional coal,0.45,,,
India,electricity,coal,coal (IGCC),2035,regional coal,0.45,,,
India,electricity,coal,coal (IGCC),2040,regional coal,0.45,,,
India,electricity,coal,coal (IGCC),2045,regional coal,0.45,,,
India,electricity,coal,coal (IGCC),2050,regional coal,0.45,,,
India,electricity,coal,coal (IGCC),2055,regional coal,0.45,,,
India,electricity,coal,coal (IGCC),2060,regional coal,0.45,,,
India,electricity,coal,coal (IGCC),2065,regional coal,0.45,,,
India,electricity,coal,coal (IGCC),2070,regional coal,0.45,,,
India,electricity,coal,coal (IGCC),2075,regional coal,0.45,,,
India,electricity,coal,coal (IGCC),2080,regional coal,0.45,,,
India,electricity,coal,coal (IGCC),2085,regional coal,0.45,,,
India,electricity,coal,coal (IGCC),2090,regional coal,0.45,,,
India,electricity,coal,coal (IGCC),2095,regional coal,0.45,,,
India,electricity,coal,coal (IGCC),2100,regional coal,0.45,,,
India,electricity,solar,CSP_storage,2015,global solar resource,1,,,
India,electricity,solar,CSP_storage,2020,global solar resource,1,,,
India,electricity,solar,CSP_storage,2025,global solar resource,1,,,
India,electricity,solar,CSP_storage,2030,global solar resource,1,,,
India,electricity,solar,CSP_storage,2035,global solar resource,1,,,
India,electricity,solar,CSP_storage,2040,global solar resource,1,,,
India,electricity,solar,CSP_storage,2045,global solar resource,1,,,
India,electricity,solar,CSP_storage,2050,global solar resource,1,,,
India,electricity,solar,CSP_storage,2055,global solar resource,1,,,
India,electricity,solar,CSP_storage,2060,global solar resource,1,,,
India,electricity,solar,CSP_storage,2065,global solar resource,1,,,
India,electricity,solar,CSP_storage,2070,global solar resource,1,,,
India,electricity,solar,CSP_storage,2075,global solar resource,1,,,
India,electricity,solar,CSP_storage,2080,global solar resource,1,,,
India,electricity,solar,CSP_storage,2085,global solar resource,1,,,
India,electricity,solar,CSP_storage,2090,global solar resource,1,,,
India,electricity,solar,CSP_storage,2095,global solar resource,1,,,
India,electricity,solar,CSP_storage,2100,global solar resource,1,,,
India,electricity,gas,gas (CC CCS),2015,wholesale gas,0.56,,,
