INPUT_TABLE,,,,,
Variable ID,,,,,
RegionIntTechCF,,,,,
,,,,,
region,supplysector,subsector,intermittent.technology,year,capacity.factor
AN,electricity,solar,CSP,2030,0.36
AP,electricity,solar,CSP,2030,0.36
AR,electricity,solar,CSP,2030,0.36
AS,electricity,solar,CSP,2030,0.36
BR,electricity,solar,CSP,2030,0.36
CG,electricity,solar,CSP,2030,0.36
CH,electricity,solar,CSP,2030,0.36
DD,electricity,solar,CSP,2030,0.36
DL,electricity,solar,CSP,2030,0.36
DN,electricity,solar,CSP,2030,0.36
GA,electricity,solar,CSP,2030,0.36
GJ,electricity,solar,CSP,2030,0.36
HP,electricity,solar,CSP,2030,0.36
HR,electricity,solar,CSP,2030,0.36
JH,electricity,solar,CSP,2030,0.36
JK,electricity,solar,CSP,2030,0.36
KA,electricity,solar,CSP,2030,0.36
KL,electricity,solar,CSP,2030,0.36
LA,electricity,solar,CSP,2030,0.36
LD,electricity,solar,CSP,2030,0.36
MH,electricity,solar,CSP,2030,0.36
ML,electricity,solar,CSP,2030,0.36
MN,electricity,solar,CSP,2030,0.36
MP,electricity,solar,CSP,2030,0.36
MZ,electricity,solar,CSP,2030,0.36
NL,electricity,solar,CSP,2030,0.36
OD,electricity,solar,CSP,2030,0.36
PB,electricity,solar,CSP,2030,0.36
PC,electricity,solar,CSP,2030,0.36
RJ,electricity,solar,CSP,2030,0.36
SK,electricity,solar,CSP,2030,0.36
TN,electricity,solar,CSP,2030,0.36
TR,electricity,solar,CSP,2030,0.36
TS,electricity,solar,CSP,2030,0.36
UK,electricity,solar,CSP,2030,0.36
UP,electricity,solar,CSP,2030,0.36
WB,electricity,solar,CSP,2030,0.36
AN,electricity,solar,CSP,2035,0.4
AP,electricity,solar,CSP,2035,0.4
AR,electricity,solar,CSP,2035,0.4
AS,electricity,solar,CSP,2035,0.4
BR,electricity,solar,CSP,2035,0.4
CG,electricity,solar,CSP,2035,0.4
CH,electricity,solar,CSP,2035,0.4
DD,electricity,solar,CSP,2035,0.4
DL,electricity,solar,CSP,2035,0.4
DN,electricity,solar,CSP,2035,0.4
GA,electricity,solar,CSP,2035,0.4
GJ,electricity,solar,CSP,2035,0.4
HP,electricity,solar,CSP,2035,0.4
HR,electricity,solar,CSP,2035,0.4
JH,electricity,solar,CSP,2035,0.4
JK,electricity,solar,CSP,2035,0.4
KA,electricity,solar,CSP,2035,0.4
KL,electricity,solar,CSP,2035,0.4
LA,electricity,solar,CSP,2035,0.4
LD,electricity,solar,CSP,2035,0.4
MH,electricity,solar,CSP,2035,0.4
ML,electricity,solar,CSP,2035,0.4
MN,electricity,solar,CSP,2035,0.4
MP,electricity,solar,CSP,2035,0.4
MZ,electricity,solar,CSP,2035,0.4
NL,electricity,solar,CSP,2035,0.4
OD,electricity,solar,CSP,2035,0.4
PB,electricity,solar,CSP,2035,0.4
PC,electricity,solar,CSP,2035,0.4
RJ,electricity,solar,CSP,2035,0.4
SK,electricity,solar,CSP,2035,0.4
TN,electricity,solar,CSP,2035,0.4
TR,electricity,solar,CSP,2035,0.4
TS,electricity,solar,CSP,2035,0.4
UK,electricity,solar,CSP,2035,0.4
UP,electricity,solar,CSP,2035,0.4
WB,electricity,solar,CSP,2035,0.4
AN,electricity,solar,CSP,2040,0.42
AP,electricity,solar,CSP,2040,0.42
AR,electricity,solar,CSP,2040,0.42
AS,electricity,solar,CSP,2040,0.42
BR,electricity,solar,CSP,2040,0.42
CG,electricity,solar,CSP,2040,0.42
CH,electricity,solar,CSP,2040,0.42
DD,electricity,solar,CSP,2040,0.42
DL,electricity,solar,CSP,2040,0.42
DN,electricity,solar,CSP,2040,0.42
GA,electricity,solar,CSP,2040,0.42
GJ,electricity,solar,CSP,2040,0.42
HP,electricity,solar,CSP,2040,0.42
HR,electricity,solar,CSP,2040,0.42
JH,electricity,solar,CSP,2040,0.42
JK,electricity,solar,CSP,2040,0.42
KA,electricity,solar,CSP,2040,0.42
KL,electricity,solar,CSP,2040,0.42
