INPUT_TABLE,,,,,
Variable ID,,,,,
RegionIntTechCF,,,,,
,,,,,
region,supplysector,subsector,intermittent.technology,year,capacity.factor
HR,electricity,solar,CSP,2095,0.48
JH,electricity,solar,CSP,2095,0.48
JK,electricity,solar,CSP,2095,0.48
KA,electricity,solar,CSP,2095,0.48
KL,electricity,solar,CSP,2095,0.48
LA,electricity,solar,CSP,2095,0.48
LD,electricity,solar,CSP,2095,0.48
MH,electricity,solar,CSP,2095,0.48
ML,electricity,solar,CSP,2095,0.48
MN,electricity,solar,CSP,2095,0.48
MP,electricity,solar,CSP,2095,0.48
MZ,electricity,solar,CSP,2095,0.48
NL,electricity,solar,CSP,2095,0.48
OD,electricity,solar,CSP,2095,0.48
PB,electricity,solar,CSP,2095,0.48
PC,electricity,solar,CSP,2095,0.48
RJ,electricity,solar,CSP,2095,0.48
SK,electricity,solar,CSP,2095,0.48
TN,electricity,solar,CSP,2095,0.48
TR,electricity,solar,CSP,2095,0.48
TS,electricity,solar,CSP,2095,0.48
UK,electricity,solar,CSP,2095,0.48
UP,electricity,solar,CSP,2095,0.48
WB,electricity,solar,CSP,2095,0.48
AN,electricity,solar,CSP,2100,0.48
AP,electricity,solar,CSP,2100,0.48
AR,electricity,solar,CSP,2100,0.48
AS,electricity,solar,CSP,2100,0.48
BR,electricity,solar,CSP,2100,0.48
CG,electricity,solar,CSP,2100,0.48
CH,electricity,solar,CSP,2100,0.48
DD,electricity,solar,CSP,2100,0.48
DL,electricity,solar,CSP,2100,0.48
DN,electricity,solar,CSP,2100,0.48
GA,electricity,solar,CSP,2100,0.48
GJ,electricity,solar,CSP,2100,0.48
HP,electricity,solar,CSP,2100,0.48
HR,electricity,solar,CSP,2100,0.48
JH,electricity,solar,CSP,2100,0.48
JK,electricity,solar,CSP,2100,0.48
KA,electricity,solar,CSP,2100,0.48
KL,electricity,solar,CSP,2100,0.48
LA,electricity,solar,CSP,2100,0.48
LD,electricity,solar,CSP,2100,0.48
MH,electricity,solar,CSP,2100,0.48
ML,electricity,solar,CSP,2100,0.48
MN,electricity,solar,CSP,2100,0.48
MP,electricity,solar,CSP,2100,0.48
MZ,electricity,solar,CSP,2100,0.48
NL,electricity,solar,CSP,2100,0.48
OD,electricity,solar,CSP,2100,0.48
PB,electricity,solar,CSP,2100,0.48
PC,electricity,solar,CSP,2100,0.48
RJ,electricity,solar,CSP,2100,0.48
SK,electricity,solar,CSP,2100,0.48
TN,electricity,solar,CSP,2100,0.48
TR,electricity,solar,CSP,2100,0.48
TS,electricity,solar,CSP,2100,0.48
UK,electricity,solar,CSP,2100,0.48
UP,electricity,solar,CSP,2100,0.48
WB,electricity,solar,CSP,2100,0.48
AN,electricity,solar,PV,2010,0.18
AP,electricity,solar,PV,2010,0.18
AR,electricity,solar,PV,2010,0.18
AS,electricity,solar,PV,2010,0.18
BR,electricity,solar,PV,2010,0.18
CG,electricity,solar,PV,2010,0.18
CH,electricity,solar,PV,2010,0.18
DD,electricity,solar,PV,2010,0.18
DL,electricity,solar,PV,2010,0.18
DN,electricity,solar,PV,2010,0.18
GA,electricity,solar,PV,2010,0.18
GJ,electricity,solar,PV,2010,0.18
HP,electricity,solar,PV,2010,0.18
HR,electricity,solar,PV,2010,0.18
JH,electricity,solar,PV,2010,0.18
JK,electricity,solar,PV,2010,0.18
KA,electricity,solar,PV,2010,0.18
KL,electricity,solar,PV,2010,0.18
LA,electricity,solar,PV,2010,0.18
LD,electricity,solar,PV,2010,0.18
MH,electricity,solar,PV,2010,0.18
ML,electricity,solar,PV,2010,0.18
MN,electricity,solar,PV,2010,0.18
MP,electricity,solar,PV,2010,0.18
MZ,electricity,solar,PV,2010,0.18
NL,electricity,solar,PV,2010,0.18
OD,electricity,solar,PV,2010,0.18
PB,electricity,solar,PV,2010,0.18
PC,electricity,solar,PV,2010,0.18
RJ,electricity,solar,PV,2010,0.18
SK,electricity,solar,PV,2010,0.18
TN,electricity,solar,PV,2010,0.18
TR,electricity,solar,PV,2010,0.18
TS,electricity,solar,PV,2010,0.18
UK,electricity,solar,PV,2010,0.18
UP,electricity,solar,PV,2010,0.18
WB,electricity,solar,PV,2010,0.18
AN,electricity,solar,PV,2015,0.18
AP,electricity,solar,PV,2015,0.18
AR,electricity,solar,PV,2015,0.18
AS,electricity,solar,PV,2015,0.18
BR,electricity,solar,PV,2015,0.18
CG,electricity,solar,PV,2015,0.18
CH,electricity,solar,PV,2015,0.18
DD,electricity,solar,PV,2015,0.18
DL,electricity,solar,PV,2015,0.18
DN,electricity,solar,PV,2015,0.18
GA,electricity,solar,PV,2015,0.18
GJ,electricity,solar,PV,2015,0.18
HP,electricity,solar,PV,2015,0.18
HR,electricity,solar,PV,2015,0.18
JH,electricity,solar,PV,2015,0.18
JK,electricity,solar,PV,2015,0.18
KA,electricity,solar,PV,2015,0.18
KL,electricity,solar,PV,2015,0.18
LA,electricity,solar,PV,2015,0.18
LD,electricity,solar,PV,2015,0.18
MH,electricity,solar,PV,2015,0.18
ML,electricity,solar,PV,2015,0.18
MN,electricity,solar,PV,2015,0.18
MP,electricity,solar,PV,2015,0.18
MZ,electricity,solar,PV,2015,0.18
NL,electricity,solar,PV,2015,0.18
OD,electricity,solar,PV,2015,0.18
PB,electricity,solar,PV,2015,0.18
PC,electricity,solar,PV,2015,0.18
RJ,electricity,solar,PV,2015,0.18
SK,electricity,solar,PV,2015,0.18
TN,electricity,solar,PV,2015,0.18
TR,electricity,solar,PV,2015,0.18
TS,electricity,solar,PV,2015,0.18
UK,electricity,solar,PV,2015,0.18
UP,electricity,solar,PV,2015,0.18
WB,electricity,solar,PV,2015,0.18
AN,electricity,solar,PV,2020,0.18
AP,electricity,solar,PV,2020,0.18
AR,electricity,solar,PV,2020,0.18
AS,electricity,solar,PV,2020,0.18
BR,electricity,solar,PV,2020,0.18
CG,electricity,solar,PV,2020,0.18
CH,electricity,solar,PV,2020,0.18
DD,electricity,solar,PV,2020,0.18
DL,electricity,solar,PV,2020,0.18
DN,electricity,solar,PV,2020,0.18
GA,electricity,solar,PV,2020,0.18
GJ,electricity,solar,PV,2020,0.18
HP,electricity,solar,PV,2020,0.18
HR,electricity,solar,PV,2020,0.18
JH,electricity,solar,PV,2020,0.18
JK,electricity,solar,PV,2020,0.18
KA,electricity,solar,PV,2020,0.18
KL,electricity,solar,PV,2020,0.18
LA,electricity,solar,PV,2020,0.18
LD,electricity,solar,PV,2020,0.18
MH,electricity,solar,PV,2020,0.18
ML,electricity,solar,PV,2020,0.18
MN,electricity,solar,PV,2020,0.18
MP,electricity,solar,PV,2020,0.18
MZ,electricity,solar,PV,2020,0.18
NL,electricity,solar,PV,2020,0.18
OD,electricity,solar,PV,2020,0.18
PB,electricity,solar,PV,2020,0.18
PC,electricity,solar,PV,2020,0.18
RJ,electricity,solar,PV,2020,0.18
SK,electricity,solar,PV,2020,0.18
TN,electricity,solar,PV,2020,0.18
TR,electricity,solar,PV,2020,0.18
TS,electricity,solar,PV,2020,0.18
UK,electricity,solar,PV,2020,0.18
UP,electricity,solar,PV,2020,0.18
WB,electricity,solar,PV,2020,0.18
AN,electricity,solar,PV,2025,0.18
AP,electricity,solar,PV,2025,0.18
AR,electricity,solar,PV,2025,0.18
AS,electricity,solar,PV,2025,0.18
BR,electricity,solar,PV,2025,0.18
CG,electricity,solar,PV,2025,0.18
CH,electricity,solar,PV,2025,0.18
DD,electricity,solar,PV,2025,0.18
DL,electricity,solar,PV,2025,0.18
DN,electricity,solar,PV,2025,0.18
GA,electricity,solar,PV,2025,0.18
GJ,electricity,solar,PV,2025,0.18
HP,electricity,solar,PV,2025,0.18
HR,electricity,solar,PV,2025,0.18
JH,electricity,solar,PV,2025,0.18
JK,electricity,solar,PV,2025,0.18
KA,electricity,solar,PV,2025,0.18
KL,electricity,solar,PV,2025,0.18
LA,electricity,solar,PV,2025,0.18
LD,electricity,solar,PV,2025,0.18
MH,electricity,solar,PV,2025,0.18
ML,electricity,solar,PV,2025,0.18
MN,electricity,solar,PV,2025,0.18
MP,electricity,solar,PV,2025,0.18
MZ,electricity,solar,PV,2025,0.18
NL,electricity,solar,PV,2025,0.18
OD,electricity,solar,PV,2025,0.18
PB,electricity,solar,PV,2025,0.18
PC,electricity,solar,PV,2025,0.18
RJ,electricity,solar,PV,2025,0.18
SK,electricity,solar,PV,2025,0.18
TN,electricity,solar,PV,2025,0.18
TR,electricity,solar,PV,2025,0.18
TS,electricity,solar,PV,2025,0.18
UK,electricity,solar,PV,2025,0.18
UP,electricity,solar,PV,2025,0.18
WB,electricity,solar,PV,2025,0.18
AN,electricity,solar,PV,2030,0.19
AP,electricity,solar,PV,2030,0.19
AR,electricity,solar,PV,2030,0.19
AS,electricity,solar,PV,2030,0.19
BR,electricity,solar,PV,2030,0.19
CG,electricity,solar,PV,2030,0.19
CH,electricity,solar,PV,2030,0.19
DD,electricity,solar,PV,2030,0.19
DL,electricity,solar,PV,2030,0.19
DN,electricity,solar,PV,2030,0.19
GA,electricity,solar,PV,2030,0.19
GJ,electricity,solar,PV,2030,0.19
HP,electricity,solar,PV,2030,0.19
HR,electricity,solar,PV,2030,0.19
JH,electricity,solar,PV,2030,0.19
JK,electricity,solar,PV,2030,0.19
KA,electricity,solar,PV,2030,0.19
KL,electricity,solar,PV,2030,0.19
LA,electricity,solar,PV,2030,0.19
LD,electricity,solar,PV,2030,0.19
MH,electricity,solar,PV,2030,0.19
ML,electricity,solar,PV,2030,0.19
MN,electricity,solar,PV,2030,0.19
MP,electricity,solar,PV,2030,0.19
MZ,electricity,solar,PV,2030,0.19
NL,electricity,solar,PV,2030,0.19
OD,electricity,solar,PV,2030,0.19
PB,electricity,solar,PV,2030,0.19
PC,electricity,solar,PV,2030,0.19
RJ,electricity,solar,PV,2030,0.19
SK,electricity,solar,PV,2030,0.19
TN,electricity,solar,PV,2030,0.19
TR,electricity,solar,PV,2030,0.19
TS,electricity,solar,PV,2030,0.19
UK,electricity,solar,PV,2030,0.19
UP,electricity,solar,PV,2030,0.19
WB,electricity,solar,PV,2030,0.19
AN,electricity,solar,PV,2035,0.19
AP,electricity,solar,PV,2035,0.19
AR,electricity,solar,PV,2035,0.19
AS,electricity,solar,PV,2035,0.19
BR,electricity,solar,PV,2035,0.19
CG,electricity,solar,PV,2035,0.19
CH,electricity,solar,PV,2035,0.19
DD,electricity,solar,PV,2035,0.19
DL,electricity,solar,PV,2035,0.19
DN,electricity,solar,PV,2035,0.19
GA,electricity,solar,PV,2035,0.19
GJ,electricity,solar,PV,2035,0.19
HP,electricity,solar,PV,2035,0.19
HR,electricity,solar,PV,2035,0.19
JH,electricity,solar,PV,2035,0.19
JK,electricity,solar,PV,2035,0.19
KA,electricity,solar,PV,2035,0.19
KL,electricity,solar,PV,2035,0.19
LA,electricity,solar,PV,2035,0.19
LD,electricity,solar,PV,2035,0.19
MH,electricity,solar,PV,2035,0.19
ML,electricity,solar,PV,2035,0.19
MN,electricity,solar,PV,2035,0.19
MP,electricity,solar,PV,2035,0.19
MZ,electricity,solar,PV,2035,0.19
NL,electricity,solar,PV,2035,0.19
OD,electricity,solar,PV,2035,0.19
PB,electricity,solar,PV,2035,0.19
PC,electricity,solar,PV,2035,0.19
RJ,electricity,solar,PV,2035,0.19
SK,electricity,solar,PV,2035,0.19
TN,electricity,solar,PV,2035,0.19
TR,electricity,solar,PV,2035,0.19
TS,electricity,solar,PV,2035,0.19
UK,electricity,solar,PV,2035,0.19
UP,electricity,solar,PV,2035,0.19
WB,electricity,solar,PV,2035,0.19
AN,electricity,solar,PV,2040,0.2
AP,electricity,solar,PV,2040,0.2
AR,electricity,solar,PV,2040,0.2
AS,electricity,solar,PV,2040,0.2
BR,electricity,solar,PV,2040,0.2
CG,electricity,solar,PV,2040,0.2
CH,electricity,solar,PV,2040,0.2
DD,electricity,solar,PV,2040,0.2
DL,electricity,solar,PV,2040,0.2
DN,electricity,solar,PV,2040,0.2
GA,electricity,solar,PV,2040,0.2
GJ,electricity,solar,PV,2040,0.2
HP,electricity,solar,PV,2040,0.2
HR,electricity,solar,PV,2040,0.2
JH,electricity,solar,PV,2040,0.2
JK,electricity,solar,PV,2040,0.2
KA,electricity,solar,PV,2040,0.2
KL,electricity,solar,PV,2040,0.2
LA,electricity,solar,PV,2040,0.2
LD,electricity,solar,PV,2040,0.2
MH,electricity,solar,PV,2040,0.2
ML,electricity,solar,PV,2040,0.2
MN,electricity,solar,PV,2040,0.2
MP,electricity,solar,PV,2040,0.2
MZ,electricity,solar,PV,2040,0.2
NL,electricity,solar,PV,2040,0.2
OD,electricity,solar,PV,2040,0.2
PB,electricity,solar,PV,2040,0.2
PC,electricity,solar,PV,2040,0.2
RJ,electricity,solar,PV,2040,0.2
SK,electricity,solar,PV,2040,0.2
TN,electricity,solar,PV,2040,0.2
TR,electricity,solar,PV,2040,0.2
TS,electricity,solar,PV,2040,0.2
UK,electricity,solar,PV,2040,0.2
UP,electricity,solar,PV,2040,0.2
WB,electricity,solar,PV,2040,0.2
AN,electricity,solar,PV,2045,0.21
AP,electricity,solar,PV,2045,0.21
AR,electricity,solar,PV,2045,0.21
AS,electricity,solar,PV,2045,0.21
BR,electricity,solar,PV,2045,0.21
CG,electricity,solar,PV,2045,0.21
CH,electricity,solar,PV,2045,0.21
DD,electricity,solar,PV,2045,0.21
DL,electricity,solar,PV,2045,0.21
DN,electricity,solar,PV,2045,0.21
GA,electricity,solar,PV,2045,0.21
GJ,electricity,solar,PV,2045,0.21
HP,electricity,solar,PV,2045,0.21
HR,electricity,solar,PV,2045,0.21
JH,electricity,solar,PV,2045,0.21
JK,electricity,solar,PV,2045,0.21
KA,electricity,solar,PV,2045,0.21
KL,electricity,solar,PV,2045,0.21
LA,electricity,solar,PV,2045,0.21
LD,electricity,solar,PV,2045,0.21
MH,electricity,solar,PV,2045,0.21
ML,electricity,solar,PV,2045,0.21
MN,electricity,solar,PV,2045,0.21
MP,electricity,solar,PV,2045,0.21
MZ,electricity,solar,PV,2045,0.21
NL,electricity,solar,PV,2045,0.21
OD,electricity,solar,PV,2045,0.21
PB,electricity,solar,PV,2045,0.21
PC,electricity,solar,PV,2045,0.21
RJ,electricity,solar,PV,2045,0.21
SK,electricity,solar,PV,2045,0.21
TN,electricity,solar,PV,2045,0.21
TR,electricity,solar,PV,2045,0.21
TS,electricity,solar,PV,2045,0.21
UK,electricity,solar,PV,2045,0.21
UP,electricity,solar,PV,2045,0.21
WB,electricity,solar,PV,2045,0.21
AN,electricity,solar,PV,2050,0.22
AP,electricity,solar,PV,2050,0.22
AR,electricity,solar,PV,2050,0.22
AS,electricity,solar,PV,2050,0.22
BR,electricity,solar,PV,2050,0.22
CG,electricity,solar,PV,2050,0.22
CH,electricity,solar,PV,2050,0.22
DD,electricity,solar,PV,2050,0.22
DL,electricity,solar,PV,2050,0.22
DN,electricity,solar,PV,2050,0.22
GA,electricity,solar,PV,2050,0.22
GJ,electricity,solar,PV,2050,0.22
HP,electricity,solar,PV,2050,0.22
HR,electricity,solar,PV,2050,0.22
JH,electricity,solar,PV,2050,0.22
JK,electricity,solar,PV,2050,0.22
KA,electricity,solar,PV,2050,0.22
KL,electricity,solar,PV,2050,0.22
LA,electricity,solar,PV,2050,0.22
LD,electricity,solar,PV,2050,0.22
MH,electricity,solar,PV,2050,0.22
ML,electricity,solar,PV,2050,0.22
MN,electricity,solar,PV,2050,0.22
MP,electricity,solar,PV,2050,0.22
MZ,electricity,solar,PV,2050,0.22
NL,electricity,solar,PV,2050,0.22
OD,electricity,solar,PV,2050,0.22
PB,electricity,solar,PV,2050,0.22
PC,electricity,solar,PV,2050,0.22
RJ,electricity,solar,PV,2050,0.22
SK,electricity,solar,PV,2050,0.22
TN,electricity,solar,PV,2050,0.22
TR,electricity,solar,PV,2050,0.22
TS,electricity,solar,PV,2050,0.22
UK,electricity,solar,PV,2050,0.22
UP,electricity,solar,PV,2050,0.22
WB,electricity,solar,PV,2050,0.22
AN,electricity,solar,PV,2055,0.22
AP,electricity,solar,PV,2055,0.22
AR,electricity,solar,PV,2055,0.22
AS,electricity,solar,PV,2055,0.22
BR,electricity,solar,PV,2055,0.22
CG,electricity,solar,PV,2055,0.22
CH,electricity,solar,PV,2055,0.22
DD,electricity,solar,PV,2055,0.22
DL,electricity,solar,PV,2055,0.22
DN,electricity,solar,PV,2055,0.22
GA,electricity,solar,PV,2055,0.22
GJ,electricity,solar,PV,2055,0.22
HP,electricity,solar,PV,2055,0.22
HR,electricity,solar,PV,2055,0.22
JH,electricity,solar,PV,2055,0.22
JK,electricity,solar,PV,2055,0.22
KA,electricity,solar,PV,2055,0.22
KL,electricity,solar,PV,2055,0.22
LA,electricity,solar,PV,2055,0.22
LD,electricity,solar,PV,2055,0.22
MH,electricity,solar,PV,2055,0.22
ML,electricity,solar,PV,2055,0.22
MN,electricity,solar,PV,2055,0.22
MP,electricity,solar,PV,2055,0.22
MZ,electricity,solar,PV,2055,0.22
NL,electricity,solar,PV,2055,0.22
OD,electricity,solar,PV,2055,0.22
PB,electricity,solar,PV,2055,0.22
PC,electricity,solar,PV,2055,0.22
RJ,electricity,solar,PV,2055,0.22
SK,electricity,solar,PV,2055,0.22
TN,electricity,solar,PV,2055,0.22
TR,electricity,solar,PV,2055,0.22
TS,electricity,solar,PV,2055,0.22
UK,electricity,solar,PV,2055,0.22
UP,electricity,solar,PV,2055,0.22
WB,electricity,solar,PV,2055,0.22
AN,electricity,solar,PV,2060,0.23
AP,electricity,solar,PV,2060,0.23
AR,electricity,solar,PV,2060,0.23
AS,electricity,solar,PV,2060,0.23
BR,electricity,solar,PV,2060,0.23
CG,electricity,solar,PV,2060,0.23
CH,electricity,solar,PV,2060,0.23
DD,electricity,solar,PV,2060,0.23
DL,electricity,solar,PV,2060,0.23
DN,electricity,solar,PV,2060,0.23
GA,electricity,solar,PV,2060,0.23
GJ,electricity,solar,PV,2060,0.23
HP,electricity,solar,PV,2060,0.23
HR,electricity,solar,PV,2060,0.23
JH,electricity,solar,PV,2060,0.23
JK,electricity,solar,PV,2060,0.23
KA,electricity,solar,PV,2060,0.23
KL,electricity,solar,PV,2060,0.23
LA,electricity,solar,PV,2060,0.23
LD,electricity,solar,PV,2060,0.23
MH,electricity,solar,PV,2060,0.23
ML,electricity,solar,PV,2060,0.23
MN,electricity,solar,PV,2060,0.23
MP,electricity,solar,PV,2060,0.23
MZ,electricity,solar,PV,2060,0.23
NL,electricity,solar,PV,2060,0.23
OD,electricity,solar,PV,2060,0.23
PB,electricity,solar,PV,2060,0.23
PC,electricity,solar,PV,2060,0.23
RJ,electricity,solar,PV,2060,0.23
SK,electricity,solar,PV,2060,0.23
TN,electricity,solar,PV,2060,0.23
TR,electricity,solar,PV,2060,0.23
TS,electricity,solar,PV,2060,0.23
UK,electricity,solar,PV,2060,0.23
UP,electricity,solar,PV,2060,0.23
WB,electricity,solar,PV,2060,0.23
AN,electricity,solar,PV,2065,0.23
AP,electricity,solar,PV,2065,0.23
AR,electricity,solar,PV,2065,0.23
AS,electricity,solar,PV,2065,0.23
BR,electricity,solar,PV,2065,0.23
CG,electricity,solar,PV,2065,0.23
CH,electricity,solar,PV,2065,0.23
DD,electricity,solar,PV,2065,0.23
DL,electricity,solar,PV,2065,0.23
DN,electricity,solar,PV,2065,0.23
GA,electricity,solar,PV,2065,0.23
GJ,electricity,solar,PV,2065,0.23
HP,electricity,solar,PV,2065,0.23
HR,electricity,solar,PV,2065,0.23
JH,electricity,solar,PV,2065,0.23
JK,electricity,solar,PV,2065,0.23
KA,electricity,solar,PV,2065,0.23
KL,electricity,solar,PV,2065,0.23
LA,electricity,solar,PV,2065,0.23
LD,electricity,solar,PV,2065,0.23
MH,electricity,solar,PV,2065,0.23
ML,electricity,solar,PV,2065,0.23
MN,electricity,solar,PV,2065,0.23
MP,electricity,solar,PV,2065,0.23
MZ,electricity,solar,PV,2065,0.23
NL,electricity,solar,PV,2065,0.23
OD,electricity,solar,PV,2065,0.23
PB,electricity,solar,PV,2065,0.23
PC,electricity,solar,PV,2065,0.23
RJ,electricity,solar,PV,2065,0.23
SK,electricity,solar,PV,2065,0.23
TN,electricity,solar,PV,2065,0.23
TR,electricity,solar,PV,2065,0.23
TS,electricity,solar,PV,2065,0.23
UK,electricity,solar,PV,2065,0.23
UP,electricity,solar,PV,2065,0.23
WB,electricity,solar,PV,2065,0.23
AN,electricity,solar,PV,2070,0.24
AP,electricity,solar,PV,2070,0.24
AR,electricity,solar,PV,2070,0.24
AS,electricity,solar,PV,2070,0.24
BR,electricity,solar,PV,2070,0.24
CG,electricity,solar,PV,2070,0.24
CH,electricity,solar,PV,2070,0.24
DD,electricity,solar,PV,2070,0.24
DL,electricity,solar,PV,2070,0.24
DN,electricity,solar,PV,2070,0.24
GA,electricity,solar,PV,2070,0.24
GJ,electricity,solar,PV,2070,0.24
HP,electricity,solar,PV,2070,0.24
HR,electricity,solar,PV,2070,0.24
JH,electricity,solar,PV,2070,0.24
JK,electricity,solar,PV,2070,0.24
KA,electricity,solar,PV,2070,0.24
KL,electricity,solar,PV,2070,0.24
LA,electricity,solar,PV,2070,0.24
LD,electricity,solar,PV,2070,0.24
MH,electricity,solar,PV,2070,0.24
ML,electricity,solar,PV,2070,0.24
MN,electricity,solar,PV,2070,0.24
MP,electricity,solar,PV,2070,0.24
MZ,electricity,solar,PV,2070,0.24
NL,electricity,solar,PV,2070,0.24
OD,electricity,solar,PV,2070,0.24
PB,electricity,solar,PV,2070,0.24
PC,electricity,solar,PV,2070,0.24
RJ,electricity,solar,PV,2070,0.24
SK,electricity,solar,PV,2070,0.24
TN,electricity,solar,PV,2070,0.24
TR,electricity,solar,PV,2070,0.24
TS,electricity,solar,PV,2070,0.24
UK,electricity,solar,PV,2070,0.24
UP,electricity,solar,PV,2070,0.24
WB,electricity,solar,PV,2070,0.24
AN,electricity,solar,PV,2075,0.24
AP,electricity,solar,PV,2075,0.24
AR,electricity,solar,PV,2075,0.24
AS,electricity,solar,PV,2075,0.24
BR,electricity,solar,PV,2075,0.24
CG,electricity,solar,PV,2075,0.24
CH,electricity,solar,PV,2075,0.24
DD,electricity,solar,PV,2075,0.24
DL,electricity,solar,PV,2075,0.24
DN,electricity,solar,PV,2075,0.24
GA,electricity,solar,PV,2075,0.24
GJ,electricity,solar,PV,2075,0.24
HP,electricity,solar,PV,2075,0.24
HR,electricity,solar,PV,2075,0.24
JH,electricity,solar,PV,2075,0.24
JK,electricity,solar,PV,2075,0.24
KA,electricity,solar,PV,2075,0.24
KL,electricity,solar,PV,2075,0.24
LA,electricity,solar,PV,2075,0.24
LD,electricity,solar,PV,2075,0.24
MH,electricity,solar,PV,2075,0.24
ML,electricity,solar,PV,2075,0.24
MN,electricity,solar,PV,2075,0.24
MP,electricity,solar,PV,2075,0.24
MZ,electricity,solar,PV,2075,0.24
NL,electricity,solar,PV,2075,0.24
OD,electricity,solar,PV,2075,0.24
PB,electricity,solar,PV,2075,0.24
PC,electricity,solar,PV,2075,0.24
RJ,electricity,solar,PV,2075,0.24
SK,electricity,solar,PV,2075,0.24
TN,electricity,solar,PV,2075,0.24
TR,electricity,solar,PV,2075,0.24
TS,electricity,solar,PV,2075,0.24
UK,electricity,solar,PV,2075,0.24
UP,electricity,solar,PV,2075,0.24
WB,electricity,solar,PV,2075,0.24
AN,electricity,solar,PV,2080,0.24
AP,electricity,solar,PV,2080,0.24
AR,electricity,solar,PV,2080,0.24
AS,electricity,solar,PV,2080,0.24
BR,electricity,solar,PV,2080,0.24
CG,electricity,solar,PV,2080,0.24
CH,electricity,solar,PV,2080,0.24
DD,electricity,solar,PV,2080,0.24
DL,electricity,solar,PV,2080,0.24
DN,electricity,solar,PV,2080,0.24
GA,electricity,solar,PV,2080,0.24
GJ,electricity,solar,PV,2080,0.24
HP,electricity,solar,PV,2080,0.24
HR,electricity,solar,PV,2080,0.24
JH,electricity,solar,PV,2080,0.24
JK,electricity,solar,PV,2080,0.24
KA,electricity,solar,PV,2080,0.24
KL,electricity,solar,PV,2080,0.24
LA,electricity,solar,PV,2080,0.24
LD,electricity,solar,PV,2080,0.24
MH,electricity,solar,PV,2080,0.24
ML,electricity,solar,PV,2080,0.24
MN,electricity,solar,PV,2080,0.24
MP,electricity,solar,PV,2080,0.24
MZ,electricity,solar,PV,2080,0.24
NL,electricity,solar,PV,2080,0.24
OD,electricity,solar,PV,2080,0.24
PB,electricity,solar,PV,2080,0.24
PC,electricity,solar,PV,2080,0.24
RJ,electricity,solar,PV,2080,0.24
SK,electricity,solar,PV,2080,0.24
TN,electricity,solar,PV,2080,0.24
TR,electricity,solar,PV,2080,0.24
TS,electricity,solar,PV,2080,0.24
UK,electricity,solar,PV,2080,0.24
UP,electricity,solar,PV,2080,0.24
WB,electricity,solar,PV,2080,0.24
AN,electricity,solar,PV,2085,0.25
AP,electricity,solar,PV,2085,0.25
AR,electricity,solar,PV,2085,0.25
AS,electricity,solar,PV,2085,0.25
BR,electricity,solar,PV,2085,0.25
CG,electricity,solar,PV,2085,0.25
CH,electricity,solar,PV,2085,0.25
DD,electricity,solar,PV,2085,0.25
DL,electricity,solar,PV,2085,0.25
DN,electricity,solar,PV,2085,0.25
GA,electricity,solar,PV,2085,0.25
GJ,electricity,solar,PV,2085,0.25
HP,electricity,solar,PV,2085,0.25
HR,electricity,solar,PV,2085,0.25
JH,electricity,solar,PV,2085,0.25
JK,electricity,solar,PV,2085,0.25
KA,electricity,solar,PV,2085,0.25
KL,electricity,solar,PV,2085,0.25
LA,electricity,solar,PV,2085,0.25
LD,electricity,solar,PV,2085,0.25
MH,electricity,solar,PV,2085,0.25
ML,electricity,solar,PV,2085,0.25
MN,electricity,solar,PV,2085,0.25
MP,electricity,solar,PV,2085,0.25
MZ,electricity,solar,PV,2085,0.25
NL,electricity,solar,PV,2085,0.25
OD,electricity,solar,PV,2085,0.25
PB,electricity,solar,PV,2085,0.25
PC,electricity,solar,PV,2085,0.25
RJ,electricity,solar,PV,2085,0.25
SK,electricity,solar,PV,2085,0.25
TN,electricity,solar,PV,2085,0.25
TR,electricity,solar,PV,2085,0.25
TS,electricity,solar,PV,2085,0.25
UK,electricity,solar,PV,2085,0.25
UP,electricity,solar,PV,2085,0.25
WB,electricity,solar,PV,2085,0.25
AN,electricity,solar,PV,2090,0.25
AP,electricity,solar,PV,2090,0.25
AR,electricity,solar,PV,2090,0.25
AS,electricity,solar,PV,2090,0.25
BR,electricity,solar,PV,2090,0.25
CG,electricity,solar,PV,2090,0.25
CH,electricity,solar,PV,2090,0.25
DD,electricity,solar,PV,2090,0.25
DL,electricity,solar,PV,2090,0.25
DN,electricity,solar,PV,2090,0.25
GA,electricity,solar,PV,2090,0.25
GJ,electricity,solar,PV,2090,0.25
HP,electricity,solar,PV,2090,0.25
HR,electricity,solar,PV,2090,0.25
JH,electricity,solar,PV,2090,0.25
JK,electricity,solar,PV,2090,0.25
KA,electricity,solar,PV,2090,0.25
KL,electricity,solar,PV,2090,0.25
LA,electricity,solar,PV,2090,0.25
LD,electricity,solar,PV,2090,0.25
MH,electricity,solar,PV,2090,0.25
ML,electricity,solar,PV,2090,0.25
MN,electricity,solar,PV,2090,0.25
MP,electricity,solar,PV,2090,0.25
MZ,electricity,solar,PV,2090,0.25
NL,electricity,solar,PV,2090,0.25
OD,electricity,solar,PV,2090,0.25
PB,electricity,solar,PV,2090,0.25
PC,electricity,solar,PV,2090,0.25
RJ,electricity,solar,PV,2090,0.25
SK,electricity,solar,PV,2090,0.25
TN,electricity,solar,PV,2090,0.25
TR,electricity,solar,PV,2090,0.25
TS,electricity,solar,PV,2090,0.25
UK,electricity,solar,PV,2090,0.25
UP,electricity,solar,PV,2090,0.25
WB,electricity,solar,PV,2090,0.25
