INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
IndiaIndusSharewt,,,,,,,,
,,,,,,,,
region,supplysector,subsector,apply.to,from.year,to.year,from.value,to.value,interpolation.function
SK,electricity,biomass,share-weight,2015,2100,0.1,0.5,linear
SK,electricity,biomass,share-weight,2095,2100,0.5,0.5,fixed
TN,electricity,biomass,share-weight,2010,2020,0.1,0.1,fixed
TN,electricity,biomass,share-weight,2015,2100,0.1,0.5,linear
TN,electricity,biomass,share-weight,2095,2100,0.5,0.5,fixed
TR,electricity,biomass,share-weight,2010,2020,0.1,0.1,fixed
TR,electricity,biomass,share-weight,2015,2100,0.1,0.5,linear
TR,electricity,biomass,share-weight,2095,2100,0.5,0.5,fixed
TS,electricity,biomass,share-weight,2010,2020,0.1,0.1,fixed
TS,electricity,biomass,share-weight,2015,2100,0.1,0.5,linear
TS,electricity,biomass,share-weight,2095,2100,0.5,0.5,fixed
UK,electricity,biomass,share-weight,2010,2020,0.1,0.1,fixed
UK,electricity,biomass,share-weight,2015,2100,0.1,0.5,linear
UK,electricity,biomass,share-weight,2095,2100,0.5,0.5,fixed
UP,electricity,biomass,share-weight,2010,2020,0.1,0.1,fixed
UP,electricity,biomass,share-weight,2015,2100,0.1,0.5,linear
UP,electricity,biomass,share-weight,2095,2100,0.5,0.5,fixed
WB,electricity,biomass,share-weight,2010,2020,0.1,0.1,fixed
WB,electricity,biomass,share-weight,2015,2100,0.1,0.5,linear
WB,electricity,biomass,share-weight,2095,2100,0.5,0.5,fixed
AN,electricity,geothermal,share-weight,2010,2020,0,0,fixed
AN,electricity,geothermal,share-weight,2015,2100,0,0,linear
AN,electricity,geothermal,share-weight,2095,2100,0,0,fixed
AP,electricity,geothermal,share-weight,2010,2020,0,0,fixed
AP,electricity,geothermal,share-weight,2015,2100,0,0,linear
AP,electricity,geothermal,share-weight,2095,2100,0,0,fixed
AR,electricity,geothermal,share-weight,2010,2020,0,0,fixed
AR,electricity,geothermal,share-weight,2015,2100,0,0,linear
AR,electricity,geothermal,share-weight,2095,2100,0,0,fixed
AS,electricity,geothermal,share-weight,2010,2020,0,0,fixed
AS,electricity,geothermal,share-weight,2015,2100,0,0,linear
AS,electricity,geothermal,share-weight,2095,2100,0,0,fixed
BR,electricity,geothermal,share-weight,2010,2020,0,0,fixed
BR,electricity,geothermal,share-weight,2015,2100,0,0,linear
BR,electricity,geothermal,share-weight,2095,2100,0,0,fixed
CG,electricity,geothermal,share-weight,2010,2020,0,0,fixed
CG,electricity,geothermal,share-weight,2015,2100,0,0,linear
CG,electricity,geothermal,share-weight,2095,2100,0,0,fixed
CH,electricity,geothermal,share-weight,2010,2020,0,0,fixed
CH,electricity,geothermal,share-weight,2015,2100,0,0,linear
CH,electricity,geothermal,share-weight,2095,2100,0,0,fixed
DD,electricity,geothermal,share-weight,2010,2020,0,0,fixed
DD,electricity,geothermal,share-weight,2015,2100,0,0,linear
DD,electricity,geothermal,share-weight,2095,2100,0,0,fixed
DL,electricity,geothermal,share-weight,2010,2020,0,0,fixed
DL,electricity,geothermal,share-weight,2015,2100,0,0,linear
DL,electricity,geothermal,share-weight,2095,2100,0,0,fixed
DN,electricity,geothermal,share-weight,2010,2020,0,0,fixed
DN,electricity,geothermal,share-weight,2015,2100,0,0,linear
DN,electricity,geothermal,share-weight,2095,2100,0,0,fixed
GA,electricity,geothermal,share-weight,2010,2020,0,0,fixed
GA,electricity,geothermal,share-weight,2015,2100,0,0,linear
GA,electricity,geothermal,share-weight,2095,2100,0,0,fixed
GJ,electricity,geothermal,share-weight,2010,2020,0,0,fixed
GJ,electricity,geothermal,share-weight,2015,2100,0,0,linear
GJ,electricity,geothermal,share-weight,2095,2100,0,0,fixed
HP,electricity,geothermal,share-weight,2010,2020,0,0,fixed
HP,electricity,geothermal,share-weight,2015,2100,0,0,linear
HP,electricity,geothermal,share-weight,2095,2100,0,0,fixed
HR,electricity,geothermal,share-weight,2010,2020,0,0,fixed
HR,electricity,geothermal,share-weight,2015,2100,0,0,linear
HR,electricity,geothermal,share-weight,2095,2100,0,0,fixed
JH,electricity,geothermal,share-weight,2010,2020,0,0,fixed
JH,electricity,geothermal,share-weight,2015,2100,0,0,linear
JH,electricity,geothermal,share-weight,2095,2100,0,0,fixed
JK,electricity,geothermal,share-weight,2010,2020,0,0,fixed
JK,electricity,geothermal,share-weight,2015,2100,0,0,linear
JK,electricity,geothermal,share-weight,2095,2100,0,0,fixed
KA,electricity,geothermal,share-weight,2010,2020,0,0,fixed
KA,electricity,geothermal,share-weight,2015,2100,0,0,linear
KA,electricity,geothermal,share-weight,2095,2100,0,0,fixed
KL,electricity,geothermal,share-weight,2010,2020,0,0,fixed
KL,electricity,geothermal,share-weight,2015,2100,0,0,linear
KL,electricity,geothermal,share-weight,2095,2100,0,0,fixed
LA,electricity,geothermal,share-weight,2010,2020,0,0,fixed
LA,electricity,geothermal,share-weight,2015,2100,0,0,linear
LA,electricity,geothermal,share-weight,2095,2100,0,0,fixed
LD,electricity,geothermal,share-weight,2010,2020,0,0,fixed
LD,electricity,geothermal,share-weight,2015,2100,0,0,linear
LD,electricity,geothermal,share-weight,2095,2100,0,0,fixed
MH,electricity,geothermal,share-weight,2010,2020,0,0,fixed
MH,electricity,geothermal,share-weight,2015,2100,0,0,linear
MH,electricity,geothermal,share-weight,2095,2100,0,0,fixed
ML,electricity,geothermal,share-weight,2010,2020,0,0,fixed
ML,electricity,geothermal,share-weight,2015,2100,0,0,linear
ML,electricity,geothermal,share-weight,2095,2100,0,0,fixed
MN,electricity,geothermal,share-weight,2010,2020,0,0,fixed
MN,electricity,geothermal,share-weight,2015,2100,0,0,linear
MN,electricity,geothermal,share-weight,2095,2100,0,0,fixed
MP,electricity,geothermal,share-weight,2010,2020,0,0,fixed
MP,electricity,geothermal,share-weight,2015,2100,0,0,linear
MP,electricity,geothermal,share-weight,2095,2100,0,0,fixed
MZ,electricity,geothermal,share-weight,2010,2020,0,0,fixed
MZ,electricity,geothermal,share-weight,2015,2100,0,0,linear
MZ,electricity,geothermal,share-weight,2095,2100,0,0,fixed
NL,electricity,geothermal,share-weight,2010,2020,0,0,fixed
NL,electricity,geothermal,share-weight,2015,2100,0,0,linear
NL,electricity,geothermal,share-weight,2095,2100,0,0,fixed
OD,electricity,geothermal,share-weight,2010,2020,0,0,fixed
OD,electricity,geothermal,share-weight,2015,2100,0,0,linear
OD,electricity,geothermal,share-weight,2095,2100,0,0,fixed
PB,electricity,geothermal,share-weight,2010,2020,0,0,fixed
PB,electricity,geothermal,share-weight,2015,2100,0,0,linear
PB,electricity,geothermal,share-weight,2095,2100,0,0,fixed
PC,electricity,geothermal,share-weight,2010,2020,0,0,fixed
PC,electricity,geothermal,share-weight,2015,2100,0,0,linear
PC,electricity,geothermal,share-weight,2095,2100,0,0,fixed
RJ,electricity,geothermal,share-weight,2010,2020,0,0,fixed
RJ,electricity,geothermal,share-weight,2015,2100,0,0,linear
RJ,electricity,geothermal,share-weight,2095,2100,0,0,fixed
SK,electricity,geothermal,share-weight,2010,2020,0,0,fixed
SK,electricity,geothermal,share-weight,2015,2100,0,0,linear
SK,electricity,geothermal,share-weight,2095,2100,0,0,fixed
TN,electricity,geothermal,share-weight,2010,2020,0,0,fixed
TN,electricity,geothermal,share-weight,2015,2100,0,0,linear
TN,electricity,geothermal,share-weight,2095,2100,0,0,fixed
TR,electricity,geothermal,share-weight,2010,2020,0,0,fixed
TR,electricity,geothermal,share-weight,2015,2100,0,0,linear
TR,electricity,geothermal,share-weight,2095,2100,0,0,fixed
TS,electricity,geothermal,share-weight,2010,2020,0,0,fixed
TS,electricity,geothermal,share-weight,2015,2100,0,0,linear
TS,electricity,geothermal,share-weight,2095,2100,0,0,fixed
UK,electricity,geothermal,share-weight,2010,2020,0,0,fixed
