INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
IndiaIndusSharewt,,,,,,,,
,,,,,,,,
region,supplysector,subsector,apply.to,from.year,to.year,from.value,to.value,interpolation.function
TR,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
TS,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
TS,electricity,refined liquids,share-weight,2015,2100,1,0,linear
TS,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
UK,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
UK,electricity,refined liquids,share-weight,2015,2100,1,0,linear
UK,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
UP,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
UP,electricity,refined liquids,share-weight,2015,2100,1,0,linear
UP,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
WB,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
WB,electricity,refined liquids,share-weight,2015,2100,1,0,linear
WB,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
AN,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
AN,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
AN,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
AN,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
AN,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
AN,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
AP,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
AP,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
AP,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
AP,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
AP,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
AP,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
AR,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
AR,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
AR,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
AR,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
AR,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
AR,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
AS,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
AS,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
AS,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
AS,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
AS,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
AS,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
BR,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
BR,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
BR,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
BR,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
BR,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
BR,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
CG,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
CG,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
CG,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
CG,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
CG,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
CG,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
CH,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
CH,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
CH,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
CH,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
CH,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
CH,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
DD,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
DD,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
DD,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
DD,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
DD,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
DD,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
DL,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
DL,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
DL,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
DL,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
DL,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
DL,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
DN,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
DN,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
DN,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
DN,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
DN,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
DN,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
GA,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
GA,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
GA,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
GA,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
GA,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
GA,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
GJ,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
GJ,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
GJ,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
GJ,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
GJ,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
GJ,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
HP,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
HP,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
HP,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
HP,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
HP,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
HP,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
HR,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
HR,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
HR,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
HR,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
HR,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
HR,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
JH,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
JH,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
JH,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
JH,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
JH,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
JH,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
JK,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
JK,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
JK,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
JK,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
JK,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
JK,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
KA,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
KA,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
KA,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
KA,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
KA,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
KA,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
KL,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
KL,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
KL,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
KL,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
KL,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
KL,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
LA,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
LA,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
LA,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
LA,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
LA,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
LA,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
LD,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
LD,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
LD,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
LD,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
LD,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
LD,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
MH,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
MH,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
MH,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
MH,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
MH,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
MH,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
ML,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
ML,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
ML,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
ML,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
ML,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
ML,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
MN,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
MN,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
MN,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
MN,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
MN,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
MN,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
MP,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
MP,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
MP,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
MP,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
MP,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
MP,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
MZ,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
MZ,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
MZ,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
MZ,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
MZ,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
MZ,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
NL,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
NL,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
NL,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
NL,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
NL,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
NL,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
OD,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
OD,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
OD,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
OD,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
OD,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
OD,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
PB,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
PB,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
PB,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
PB,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
PB,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
PB,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
PC,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
PC,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
PC,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
PC,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
PC,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
PC,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
RJ,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
RJ,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
RJ,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
RJ,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
RJ,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
RJ,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
SK,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
SK,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
SK,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
SK,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
SK,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
SK,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
TN,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
TN,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
TN,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
TN,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
TN,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
TN,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
TR,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
TR,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
TR,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
TR,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
TR,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
TR,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
TS,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
TS,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
TS,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
TS,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
TS,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
TS,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
UK,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
UK,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
UK,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
UK,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
UK,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
UK,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
UP,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
UP,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
UP,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
UP,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
UP,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
UP,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
WB,elect_td_com,rooftop_pv,share-weight,2010,2020,0,0,fixed
WB,elect_td_res,rooftop_pv,share-weight,2010,2020,0,0,fixed
WB,elect_td_com,rooftop_pv,share-weight,2015,2100,0,1,linear
WB,elect_td_res,rooftop_pv,share-weight,2015,2100,0,1,linear
WB,elect_td_com,rooftop_pv,share-weight,2095,2100,1,1,fixed
WB,elect_td_res,rooftop_pv,share-weight,2095,2100,1,1,fixed
AN,electricity,coal,share-weight,2010,2020,0,0,fixed
AP,electricity,coal,share-weight,2010,2020,1,1,fixed
AR,electricity,coal,share-weight,2010,2020,0,0,fixed
AS,electricity,coal,share-weight,2010,2020,0.002,0.002,fixed
BR,electricity,coal,share-weight,2010,2020,2,2,fixed
CG,electricity,coal,share-weight,2010,2020,2,2,fixed
CH,electricity,coal,share-weight,2010,2020,0,0,fixed
DD,electricity,coal,share-weight,2010,2020,0,0,fixed
DL,electricity,coal,share-weight,2010,2020,1,1,fixed
DN,electricity,coal,share-weight,2010,2020,0,0,fixed
GA,electricity,coal,share-weight,2010,2020,0,0,fixed
GJ,electricity,coal,share-weight,2010,2020,0.04,0.04,fixed
HP,electricity,coal,share-weight,2010,2020,0,0,fixed
HR,electricity,coal,share-weight,2010,2020,0.02,0.02,fixed
JH,electricity,coal,share-weight,2010,2020,1,1,fixed
JK,electricity,coal,share-weight,2010,2020,0,0,fixed
KA,electricity,coal,share-weight,2010,2020,1,1,fixed
KL,electricity,coal,share-weight,2010,2020,0,0,fixed
LA,electricity,coal,share-weight,2010,2020,0,0,fixed
LD,electricity,coal,share-weight,2010,2020,0,0,fixed
MH,electricity,coal,share-weight,2010,2020,0.001,0.001,fixed
ML,electricity,coal,share-weight,2010,2020,0,0,fixed
MN,electricity,coal,share-weight,2010,2020,0,0,fixed
MP,electricity,coal,share-weight,2010,2020,0.062,0.062,fixed
MZ,electricity,coal,share-weight,2010,2020,0,0,fixed
NL,electricity,coal,share-weight,2010,2020,0,0,fixed
OD,electricity,coal,share-weight,2010,2020,1.2,1.2,fixed
PB,electricity,coal,share-weight,2010,2020,1.1,1.1,fixed
PC,electricity,coal,share-weight,2010,2020,0,0,fixed
RJ,electricity,coal,share-weight,2010,2020,1,1,fixed
SK,electricity,coal,share-weight,2010,2020,0,0,fixed
TN,electricity,coal,share-weight,2010,2020,2,2,fixed
TR,electricity,coal,share-weight,2010,2020,0,0,fixed
TS,electricity,coal,share-weight,2010,2020,1,1,fixed
UK,electricity,coal,share-weight,2010,2020,0,0,fixed
UP,electricity,coal,share-weight,2010,2020,0.5,0.5,fixed
WB,electricity,coal,share-weight,2010,2020,1,1,fixed
AN,electricity,coal,share-weight,2015,2030,0,0,fixed
AP,electricity,coal,share-weight,2015,2025,0.970588,0.970588,fixed
AR,electricity,coal,share-weight,2015,2025,0,0,fixed
AS,electricity,coal,share-weight,2015,2030,0.002,0.002,fixed
BR,electricity,coal,share-weight,2015,2025,1.91176,1.91176,fixed
CG,electricity,coal,share-weight,2015,2025,1.91176,1.91176,fixed
CH,electricity,coal,share-weight,2015,2030,0,0,fixed
DD,electricity,coal,share-weight,2015,2030,0,0,fixed
DL,electricity,coal,share-weight,2015,2030,0.947059,0.947059,fixed
DN,electricity,coal,share-weight,2015,2030,0,0,fixed
GA,electricity,coal,share-weight,2015,2030,0,0,fixed
GJ,electricity,coal,share-weight,2015,2025,0.04,0.04,fixed
HP,electricity,coal,share-weight,2015,2030,0,0,fixed
HR,electricity,coal,share-weight,2015,2030,0.0194118,0.0194118,fixed
JH,electricity,coal,share-weight,2015,2025,1,1,fixed
JK,electricity,coal,share-weight,2015,2030,0,0,fixed
KA,electricity,coal,share-weight,2015,2025,0.947059,0.947059,fixed
KL,electricity,coal,share-weight,2015,2030,0,0,fixed
LA,electricity,coal,share-weight,2015,2030,0,0,fixed
LD,electricity,coal,share-weight,2015,2030,0,0,fixed
MH,electricity,coal,share-weight,2015,2025,0.001,1,fixed
ML,electricity,coal,share-weight,2015,2030,0,0,fixed
MN,electricity,coal,share-weight,2015,2030,0,0,fixed
MP,electricity,coal,share-weight,2015,2025,0.0612941,0.0612941,fixed
MZ,electricity,coal,share-weight,2015,2030,0,0,fixed
NL,electricity,coal,share-weight,2015,2030,0,0,fixed
OD,electricity,coal,share-weight,2015,2025,1.15882,1.15882,fixed
PB,electricity,coal,share-weight,2015,2030,1.04118,1.04118,fixed
PC,electricity,coal,share-weight,2015,2030,0,0,fixed
RJ,electricity,coal,share-weight,2015,2030,0.947059,0.947059,fixed
SK,electricity,coal,share-weight,2015,2030,0,0,fixed
TN,electricity,coal,share-weight,2015,2025,1.88824,1.88824,fixed
TR,electricity,coal,share-weight,2015,2030,0,0,fixed
TS,electricity,coal,share-weight,2015,2025,0.970588,0.970588,fixed
UK,electricity,coal,share-weight,2015,2030,0,0,fixed
UP,electricity,coal,share-weight,2015,2025,0.476471,0.476471,fixed
WB,electricity,coal,share-weight,2015,2025,0.970588,0.970588,fixed
AN,electricity,coal,share-weight,2025,2100,0,0,fixed
AP,electricity,coal,share-weight,2020,2100,1,1,fixed
AR,electricity,coal,share-weight,2020,2100,0,0,fixed
AS,electricity,coal,share-weight,2025,2100,1,1,fixed
BR,electricity,coal,share-weight,2020,2100,1,1,fixed
CG,electricity,coal,share-weight,2020,2100,1,1,fixed
CH,electricity,coal,share-weight,2025,2100,0,0,fixed
DD,electricity,coal,share-weight,2025,2100,0,0,fixed
DL,electricity,coal,share-weight,2025,2100,1,1,fixed
DN,electricity,coal,share-weight,2025,2100,0,0,fixed
GA,electricity,coal,share-weight,2025,2100,0,0,fixed
GJ,electricity,coal,share-weight,2020,2100,1,1,fixed
HP,electricity,coal,share-weight,2025,2100,0,0,fixed
HR,electricity,coal,share-weight,2025,2100,1,1,fixed
JH,electricity,coal,share-weight,2020,2100,1,1,fixed
JK,electricity,coal,share-weight,2025,2100,0,0,fixed
KA,electricity,coal,share-weight,2020,2100,1,1,fixed
KL,electricity,coal,share-weight,2025,2100,0,0,fixed
LA,electricity,coal,share-weight,2025,2100,0,0,fixed
LD,electricity,coal,share-weight,2025,2100,0,0,fixed
MH,electricity,coal,share-weight,2020,2100,1,1,fixed
ML,electricity,coal,share-weight,2025,2100,0,0,fixed
MN,electricity,coal,share-weight,2025,2100,0,0,fixed
MP,electricity,coal,share-weight,2020,2100,1,1,fixed
MZ,electricity,coal,share-weight,2025,2100,0,0,fixed
NL,electricity,coal,share-weight,2025,2100,0,0,fixed
OD,electricity,coal,share-weight,2020,2100,1,1,fixed
PB,electricity,coal,share-weight,2025,2100,1,1,fixed
PC,electricity,coal,share-weight,2025,2100,0,0,fixed
RJ,electricity,coal,share-weight,2025,2100,1,1,fixed
SK,electricity,coal,share-weight,2025,2100,0,0,fixed
TN,electricity,coal,share-weight,2020,2100,1,1,fixed
TR,electricity,coal,share-weight,2025,2100,0,0,fixed
TS,electricity,coal,share-weight,2020,2100,1,1,fixed
UK,electricity,coal,share-weight,2025,2100,0,0,fixed
UP,electricity,coal,share-weight,2020,2100,1,1,fixed
WB,electricity,coal,share-weight,2020,2100,1,1,fixed
AN,electricity,gas,share-weight,2010,2020,0,0,fixed
AP,electricity,gas,share-weight,2010,2020,0.7,0.7,fixed
AR,electricity,gas,share-weight,2010,2020,0,0,fixed
AS,electricity,gas,share-weight,2010,2020,0.1,0.1,fixed
BR,electricity,gas,share-weight,2010,2020,0,0,fixed
CG,electricity,gas,share-weight,2010,2020,0,0,fixed
CH,electricity,gas,share-weight,2010,2020,0,0,fixed
DD,electricity,gas,share-weight,2010,2020,0,0,fixed
DL,electricity,gas,share-weight,2010,2020,0.5,0.5,fixed
DN,electricity,gas,share-weight,2010,2020,0,0,fixed
GA,electricity,gas,share-weight,2010,2020,0,0,fixed
GJ,electricity,gas,share-weight,2010,2020,0.3,0.3,fixed
HP,electricity,gas,share-weight,2010,2020,0,0,fixed
HR,electricity,gas,share-weight,2010,2020,0.1,0.1,fixed
JH,electricity,gas,share-weight,2010,2020,0,0,fixed
JK,electricity,gas,share-weight,2010,2020,0.1,0.1,fixed
KA,electricity,gas,share-weight,2010,2020,0.1,0.1,fixed
KL,electricity,gas,share-weight,2010,2020,0.1,0.1,fixed
LA,electricity,gas,share-weight,2010,2020,0,0,fixed
LD,electricity,gas,share-weight,2010,2020,0,0,fixed
MH,electricity,gas,share-weight,2010,2020,0.05,0.05,fixed
ML,electricity,gas,share-weight,2010,2020,0,0,fixed
MN,electricity,gas,share-weight,2010,2020,0,0,fixed
MP,electricity,gas,share-weight,2010,2020,0,0,fixed
MZ,electricity,gas,share-weight,2010,2020,0,0,fixed
NL,electricity,gas,share-weight,2010,2020,0,0,fixed
OD,electricity,gas,share-weight,2010,2020,0,0,fixed
PB,electricity,gas,share-weight,2010,2020,0,0,fixed
PC,electricity,gas,share-weight,2010,2020,0.5,0.5,fixed
RJ,electricity,gas,share-weight,2010,2020,0.1,0.1,fixed
SK,electricity,gas,share-weight,2010,2020,0,0,fixed
TN,electricity,gas,share-weight,2010,2020,1,1,fixed
TR,electricity,gas,share-weight,2010,2020,0.1,0.1,fixed
TS,electricity,gas,share-weight,2010,2020,0.1,0.1,fixed
UK,electricity,gas,share-weight,2010,2020,0,0,fixed
UP,electricity,gas,share-weight,2010,2020,0.6,0.6,fixed
WB,electricity,gas,share-weight,2010,2020,0.1,0.1,fixed
AN,electricity,gas,share-weight,2015,2025,0.0588235,0.0588235,fixed
AP,electricity,gas,share-weight,2015,2025,0.717647,0.717647,fixed
AR,electricity,gas,share-weight,2015,2025,0,0,fixed
AS,electricity,gas,share-weight,2015,2025,0.111765,0.111765,fixed
BR,electricity,gas,share-weight,2015,2025,0,0,fixed
CG,electricity,gas,share-weight,2015,2025,0,0,fixed
CH,electricity,gas,share-weight,2015,2025,0,0,fixed
DD,electricity,gas,share-weight,2015,2025,0,0,fixed
DL,electricity,gas,share-weight,2015,2025,0.511765,0.511765,fixed
DN,electricity,gas,share-weight,2015,2025,0,0,fixed
GA,electricity,gas,share-weight,2015,2025,0,0,fixed
GJ,electricity,gas,share-weight,2015,2025,0.3,0.3,fixed
HP,electricity,gas,share-weight,2015,2025,0,0,fixed
HR,electricity,gas,share-weight,2015,2025,0.111765,0.111765,fixed
JH,electricity,gas,share-weight,2015,2025,0,0,fixed
JK,electricity,gas,share-weight,2015,2025,0.111765,0.111765,fixed
KA,electricity,gas,share-weight,2015,2025,0.111765,0.111765,fixed
KL,electricity,gas,share-weight,2015,2025,0.152941,0.152941,fixed
LA,electricity,gas,share-weight,2015,2025,0,0,fixed
LD,electricity,gas,share-weight,2015,2025,0,0,fixed
MH,electricity,gas,share-weight,2015,2025,0.05,6,fixed
ML,electricity,gas,share-weight,2015,2025,0,0,fixed
MN,electricity,gas,share-weight,2015,2025,0,0,fixed
MP,electricity,gas,share-weight,2015,2025,0,0,fixed
MZ,electricity,gas,share-weight,2015,2025,0,0,fixed
NL,electricity,gas,share-weight,2015,2025,0,0,fixed
