INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
RegionTechCapital,,,,,,,
,,,,,,,
region,supplysector,subsector,technology,year,input.capital,capital.overnight,fixed.charge.rate
India,electricity,biomass,biomass (IGCC CCS),1975,capital,2742,0.13
India,electricity,biomass,biomass (IGCC CCS),1990,capital,2742,0.13
India,electricity,biomass,biomass (IGCC CCS),2005,capital,2742,0.13
India,electricity,biomass,biomass (IGCC CCS),2010,capital,2742,0.13
India,electricity,biomass,biomass (IGCC CCS),2015,capital,2742,0.13
India,electricity,biomass,biomass (IGCC CCS),2020,capital,2583,0.13
India,electricity,biomass,biomass (IGCC CCS),2025,capital,2454,0.13
India,electricity,biomass,biomass (IGCC CCS),2030,capital,2348,0.13
India,electricity,biomass,biomass (IGCC CCS),2035,capital,2261,0.13
India,electricity,biomass,biomass (IGCC CCS),2040,capital,2189,0.13
India,electricity,biomass,biomass (IGCC CCS),2045,capital,2131,0.13
India,electricity,biomass,biomass (IGCC CCS),2050,capital,2082,0.13
India,electricity,biomass,biomass (IGCC CCS),2055,capital,2041,0.13
India,electricity,biomass,biomass (IGCC CCS),2060,capital,2008,0.13
India,electricity,biomass,biomass (IGCC CCS),2065,capital,1980,0.13
India,electricity,biomass,biomass (IGCC CCS),2070,capital,1957,0.13
India,electricity,biomass,biomass (IGCC CCS),2075,capital,1937,0.13
India,electricity,biomass,biomass (IGCC CCS),2080,capital,1921,0.13
India,electricity,biomass,biomass (IGCC CCS),2085,capital,1907,0.13
India,electricity,biomass,biomass (IGCC CCS),2090,capital,1895,0.13
India,electricity,biomass,biomass (IGCC CCS),2095,capital,1886,0.13
India,electricity,biomass,biomass (IGCC CCS),2100,capital,1877,0.13
India,electricity,biomass,biomass (IGCC),1975,capital,1859,0.13
India,electricity,biomass,biomass (IGCC),1990,capital,1859,0.13
India,electricity,biomass,biomass (IGCC),2005,capital,1859,0.13
India,electricity,biomass,biomass (IGCC),2010,capital,1859,0.13
India,electricity,biomass,biomass (IGCC),2015,capital,1859,0.13
India,electricity,biomass,biomass (IGCC),2020,capital,1780,0.13
India,electricity,biomass,biomass (IGCC),2025,capital,1713,0.13
India,electricity,biomass,biomass (IGCC),2030,capital,1654,0.13
India,electricity,biomass,biomass (IGCC),2035,capital,1605,0.13
India,electricity,biomass,biomass (IGCC),2040,capital,1562,0.13
India,electricity,biomass,biomass (IGCC),2045,capital,1525,0.13
India,electricity,biomass,biomass (IGCC),2050,capital,1493,0.13
India,electricity,biomass,biomass (IGCC),2055,capital,1466,0.13
India,electricity,biomass,biomass (IGCC),2060,capital,1443,0.13
India,electricity,biomass,biomass (IGCC),2065,capital,1423,0.13
India,electricity,biomass,biomass (IGCC),2070,capital,1406,0.13
India,electricity,biomass,biomass (IGCC),2075,capital,1391,0.13
India,electricity,biomass,biomass (IGCC),2080,capital,1378,0.13
India,electricity,biomass,biomass (IGCC),2085,capital,1367,0.13
India,electricity,biomass,biomass (IGCC),2090,capital,1358,0.13
India,electricity,biomass,biomass (IGCC),2095,capital,1350,0.13
India,electricity,biomass,biomass (IGCC),2100,capital,1343,0.13
India,electricity,biomass,biomass (conv CCS),1975,capital,2386,0.13
India,electricity,biomass,biomass (conv CCS),1990,capital,2386,0.13
India,electricity,biomass,biomass (conv CCS),2005,capital,2386,0.13
India,electricity,biomass,biomass (conv CCS),2010,capital,2386,0.13
India,electricity,biomass,biomass (conv CCS),2015,capital,2386,0.13
India,electricity,biomass,biomass (conv CCS),2020,capital,2267,0.13
India,electricity,biomass,biomass (conv CCS),2025,capital,2172,0.13
India,electricity,biomass,biomass (conv CCS),2030,capital,2096,0.13
India,electricity,biomass,biomass (conv CCS),2035,capital,2035,0.13
India,electricity,biomass,biomass (conv CCS),2040,capital,1985,0.13
India,electricity,biomass,biomass (conv CCS),2045,capital,1945,0.13
India,electricity,biomass,biomass (conv CCS),2050,capital,1911,0.13
India,electricity,biomass,biomass (conv CCS),2055,capital,1883,0.13
India,electricity,biomass,biomass (conv CCS),2060,capital,1860,0.13
India,electricity,biomass,biomass (conv CCS),2065,capital,1840,0.13
India,electricity,biomass,biomass (conv CCS),2070,capital,1823,0.13
India,electricity,biomass,biomass (conv CCS),2075,capital,1808,0.13
India,electricity,biomass,biomass (conv CCS),2080,capital,1795,0.13
India,electricity,biomass,biomass (conv CCS),2085,capital,1783,0.13
India,electricity,biomass,biomass (conv CCS),2090,capital,1773,0.13
India,electricity,biomass,biomass (conv CCS),2095,capital,1764,0.13
India,electricity,biomass,biomass (conv CCS),2100,capital,1755,0.13
India,electricity,biomass,biomass (conv),1975,capital,1239,0.13
India,electricity,biomass,biomass (conv),1990,capital,1239,0.13
India,electricity,biomass,biomass (conv),2005,capital,1239,0.13
India,electricity,biomass,biomass (conv),2010,capital,1239,0.13
India,electricity,biomass,biomass (conv),2015,capital,294,0.18355
India,electricity,biomass,biomass (conv),2020,capital,294,0.18355
India,electricity,biomass,biomass (conv),2025,capital,294,0.18355
India,electricity,biomass,biomass (conv),2030,capital,294,0.18355
India,electricity,biomass,biomass (conv),2035,capital,294,0.18355
India,electricity,biomass,biomass (conv),2040,capital,294,0.18355
India,electricity,biomass,biomass (conv),2045,capital,294,0.18355
India,electricity,biomass,biomass (conv),2050,capital,294,0.18355
India,electricity,biomass,biomass (conv),2055,capital,294,0.18355
India,electricity,biomass,biomass (conv),2060,capital,294,0.18355
India,electricity,biomass,biomass (conv),2065,capital,294,0.18355
India,electricity,biomass,biomass (conv),2070,capital,294,0.18355
India,electricity,biomass,biomass (conv),2075,capital,294,0.18355
India,electricity,biomass,biomass (conv),2080,capital,294,0.18355
India,electricity,biomass,biomass (conv),2085,capital,294,0.18355
India,electricity,biomass,biomass (conv),2090,capital,294,0.18355
India,electricity,biomass,biomass (conv),2095,capital,294,0.18355
India,electricity,biomass,biomass (conv),2100,capital,294,0.18355
India,electricity,coal,coal (IGCC CCS),1975,capital,1337,0.13
India,electricity,coal,coal (IGCC CCS),1990,capital,1337,0.13
India,electricity,coal,coal (IGCC CCS),2005,capital,1337,0.13
India,electricity,coal,coal (IGCC CCS),2010,capital,1337,0.13
India,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
India,electricity,coal,coal (IGCC CCS),2020,capital,1335,0.13
India,electricity,coal,coal (IGCC CCS),2025,capital,1139,0.13
India,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
India,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
India,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
India,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
India,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
